office,town,candidate,party,votes,vote_percent
State Senate 36 District To Fill a Vacancy,statewide,Alexis Gevanter,D,8460,47.58%
State Senate 36 District To Fill a Vacancy,statewide,Ryan Fazio,R,8913,50.13%
State Senate 36 District To Fill a Vacancy,statewide,John H. Blankley,PC,408,2.29%
State Senate 36 District To Fill a Vacancy,Greenwich,Alexis Gevanter,D,5252,45.37%
State Senate 36 District To Fill a Vacancy,Greenwich,Ryan Fazio,R,6012,51.93%
State Senate 36 District To Fill a Vacancy,Greenwich,John H. Blankley,PC,313,2.70%
State Senate 36 District To Fill a Vacancy,New Canaan,Alexis Gevanter,D,746,39.70%
State Senate 36 District To Fill a Vacancy,New Canaan,Ryan Fazio,R,1116,59.39%
State Senate 36 District To Fill a Vacancy,New Canaan,John H. Blankley,PC,17,0.90%
State Senate 36 District To Fill a Vacancy,Stamford,Alexis Gevanter,D,2462,56.92%
State Senate 36 District To Fill a Vacancy,Stamford,Ryan Fazio,R,1785,41.27%
State Senate 36 District To Fill a Vacancy,Stamford,John H. Blankley,PC,78,1.80%
