office,town,candidate,party,votes,vote_percent
State Representative To Fill Vacancy,statewide,John M. Egan,D,512,26.36%
State Representative To Fill Vacancy,statewide,William Pizzuto,R,1430,73.64%
State Representative To Fill Vacancy,Middlebury,John M. Egan,D,249,23.08%
State Representative To Fill Vacancy,Middlebury,William Pizzuto,R,830,76.92%
State Representative To Fill Vacancy,Waterbury,John M. Egan,D,263,30.48%
State Representative To Fill Vacancy,Waterbury,William Pizzuto,R,600,69.52%
