office,town,candidate,party,votes,vote_percent
State Representative 40,statewide,Dan Gaiewski,D,1518,66.03%
State Representative 40,statewide,Robert Boris,R,716,31.14%
State Representative 40,statewide,Dan Gaiewski,WF,65,2.83%
State Representative 40,Groton,Dan Gaiewski,D,1053,64.56%
State Representative 40,Groton,Robert Boris,R,531,32.56%
State Representative 40,Groton,Dan Gaiewski,WF,47,2.88%
State Representative 40,New London,Dan Gaiewski,D,465,69.61%
State Representative 40,New London,Robert Boris,R,185,27.69%
State Representative 40,New London,Dan Gaiewski,WF,18,2.69%
