office,town,candidate,party,votes,vote_percent
Presidential Electors for,statewide,Harris and Walz,D,994287,56.38%
Presidential Electors for,statewide,Trump and Vance,R,739317,41.92%
Presidential Electors for,statewide,Stein and Ware,G,14316,0.81%
Presidential Electors for,statewide,Oliver and ter Maat,LI,6742,0.38%
Presidential Electors for,statewide,"Kennedy, Jr. and Shanahan",PC,8457,0.48%
Presidential Electors for,statewide,De la Cruz and Garcia,WI,257,0.01%
Presidential Electors for,statewide,Fox and McVay,WI,4,0.00%
Presidential Electors for,statewide,McNeil and McNeil,WI,0,0.00%
Presidential Electors for,statewide,Potus and Kennedy,WI,2,0.00%
Presidential Electors for,statewide,Ayyadurai and Ellis,WI,20,0.00%
Presidential Electors for,statewide,Sonski and Onak,WI,158,0.01%
Presidential Electors for,statewide,West and Abdullah,WI,127,0.01%
United States Senator,statewide,Christopher S. Murphy,D,955783,55.83%
United States Senator,statewide,Matthew M. Corey,R,679789,39.71%
United States Senator,statewide,Christopher S. Murphy,WF,47146,2.75%
United States Senator,statewide,Justin C. Paglino,G,14466,0.84%
United States Senator,statewide,Robert Finley Hyde,CGG,14901,0.87%
United States Senator,statewide,John Flynn,WI,7,0.00%
Representative in Congress 1,statewide,John B. Larson,D,197788,59.85%
Representative in Congress 1,statewide,Jim Griffin,R,115065,34.82%
Representative in Congress 1,statewide,John B. Larson,WF,10861,3.29%
Representative in Congress 1,statewide,Mary L. Sanders,G,6768,2.05%
Representative in Congress 2,statewide,Joe Courtney,D,218162,58.01%
Representative in Congress 2,statewide,Mike France,R,157878,41.98%
Representative in Congress 2,statewide,"Kenneth Kusmierski, Jr.",WI,3,0.00%
Representative in Congress 2,statewide,Jeffery Russell,WI,4,0.00%
Representative in Congress 3,statewide,Rosa L. DeLauro,D,196712,58.83%
Representative in Congress 3,statewide,Michael Massey,R,132464,39.62%
Representative in Congress 3,statewide,Michael Massey,IND,5058,1.51%
Representative in Congress 3,statewide,Leo Almoney,WI,0,0.00%
Representative in Congress 3,statewide,Omar Scott Antar,WI,2,0.00%
Representative in Congress 3,statewide,Shahd Omar,WI,124,0.04%
Representative in Congress 4,statewide,Jim Himes,D,200866,61.01%
Representative in Congress 4,statewide,Michael Goldstein,R,123094,37.39%
Representative in Congress 4,statewide,Benjamin Wesley,IND,5283,1.60%
Representative in Congress 5,statewide,Jahana Hayes,D,170243,50.72%
Representative in Congress 5,statewide,George Logan,R,156470,46.61%
Representative in Congress 5,statewide,Jahana Hayes,WF,8886,2.65%
