office,town,candidate,party,votes,vote_percent
Judge of Probate To Fill Vacancy,statewide,William C. Rivera,D,1230,51.29%
Judge of Probate To Fill Vacancy,statewide,"Robert A. Scalise, Jr.",D,1168,48.71%
Judge of Probate To Fill Vacancy,Berlin,William C. Rivera,D,176,42.11%
Judge of Probate To Fill Vacancy,Berlin,"Robert A. Scalise, Jr.",D,242,57.89%
Judge of Probate To Fill Vacancy,New Britain,William C. Rivera,D,1054,53.23%
Judge of Probate To Fill Vacancy,New Britain,"Robert A. Scalise, Jr.",D,926,46.77%
