office,town,candidate,party,votes,vote_percent
Judge of Probate To Fill Vacancy,statewide,William C. Rivera,D,6070,43.26%
Judge of Probate To Fill Vacancy,statewide,Michael A. Carrier,R,7962,56.74%
Judge of Probate to Fill Vacancy,statewide,Ben Gettinger,D,9851,50.15%
Judge of Probate to Fill Vacancy,statewide,Win Smith,R,9793,49.85%
Judge of Probate To Fill Vacancy,Berlin,William C. Rivera,D,2080,38.01%
Judge of Probate To Fill Vacancy,Berlin,Michael A. Carrier,R,3392,61.99%
Judge of Probate to Fill Vacancy,Milford,Ben Gettinger,D,7767,52.66%
Judge of Probate to Fill Vacancy,Milford,Win Smith,R,6982,47.34%
Judge of Probate To Fill Vacancy,New Britain,William C. Rivera,D,3990,46.61%
Judge of Probate To Fill Vacancy,New Britain,Michael A. Carrier,R,4570,53.39%
Judge of Probate to Fill Vacancy,Orange,Ben Gettinger,D,2084,42.57%
Judge of Probate to Fill Vacancy,Orange,Win Smith,R,2811,57.43%
