office,town,candidate,party,votes,vote_percent
Board of Education,statewide,Laura Rodriguez,D,426,48.24%
Board of Education,statewide,Arthur Christensen,R,457,51.76%
Town Council,statewide,Bill Dauphin,D,1767,51.97%
Town Council,statewide,Bill Campbell,R,1633,48.03%
Regional Board of Education,statewide,Melissa McKinnon,D,413,46.83%
Regional Board of Education,statewide,Arthur Christensen,R,469,53.17%
Town Council,Vernon,Bill Dauphin,D,1767,51.97%
Town Council,Vernon,Bill Campbell,R,1633,48.03%
Board of Education,Willington,Laura Rodriguez,D,426,48.24%
Board of Education,Willington,Arthur Christensen,R,457,51.76%
Regional Board of Education,Willington,Melissa McKinnon,D,413,46.83%
Regional Board of Education,Willington,Arthur Christensen,R,469,53.17%
