office,town,candidate,party,votes,vote_percent
Governor,statewide,Mark Boughton,R,30475,21.33%
Governor,statewide,Timothy M Herbst,R,25063,17.54%
Governor,statewide,Steve Obsitnik,R,19102,13.37%
Governor,statewide,Bob Stefanowski,R,42041,29.43%
Governor,statewide,David Stemerman,R,26177,18.32%
Lieutenant Governor,statewide,Joe Markley,R,65919,47.64%
Lieutenant Governor,statewide,Jayme Stevenson,R,27156,19.62%
Lieutenant Governor,statewide,Erin E Stewart,R,45307,32.74%
United States Senator,statewide,Matthew Corey,R,99899,76.54%
United States Senator,statewide,Dominic Rapini,R,30624,23.46%
Representative in Congress 05,statewide,Manny Santos,R,16816,52.39%
Representative in Congress 05,statewide,Ruby Corby-O'Neill,R,8419,26.23%
Representative in Congress 05,statewide,Richard DuPont,R,6863,21.38%
State Senator 09,statewide,Ed Charamut,R,1966,51.81%
State Senator 09,statewide,Tyler Flanigan,R,1829,48.19%
State Senator 14,statewide,Anthony Giannattasio,R,1520,35.26%
State Senator 14,statewide,Pam Staneski,R,2791,64.74%
State Senator 23,statewide,John Rodriguez,R,148,51.21%
State Senator 23,statewide,"Casimir ""Caz"" Mizera",R,141,48.79%
State Representative 100,statewide,Tyrell Brown,R,247,35.49%
State Representative 100,statewide,Anthony Gennaro,R,449,64.51%
State Representative 116,statewide,Richard D DePalma,R,141,63.51%
State Representative 116,statewide,Roman Khondker,R,81,36.49%
State Representative 128,statewide,Luis A Colon,R,10,21.28%
State Representative 128,statewide,Ethan Book,R,37,78.72%
State Representative 147,statewide,Anzelmo Graziosi,R,706,62.15%
State Representative 147,statewide,Marcy Minnick,R,430,37.85%
Treasurer,statewide,Thad Gray,R,74042,56.04%
Treasurer,statewide,Art Linares,R,58087,43.96%
Comptroller,statewide,Kurt Miller,R,68846,52.44%
Comptroller,statewide,Mark Greenberg,R,62440,47.56%
Attorney General,statewide,Sue Hatfield,R,106076,79.33%
Attorney General,statewide,John Shaban,R,27639,20.67%
Registrar of Voters,statewide,David Papcin,R,371,55.04%
Registrar of Voters,statewide,Nancy Valentine,R,303,44.96%
Governor,Andover,Mark Boughton,R,22,9.73%
Governor,Andover,Timothy M Herbst,R,69,30.53%
Governor,Andover,Steve Obsitnik,R,35,15.49%
Governor,Andover,Bob Stefanowski,R,56,24.78%
Governor,Andover,David Stemerman,R,44,19.47%
Lieutenant Governor,Andover,Joe Markley,R,102,47.00%
