office,town,candidate,party,votes,vote_percent
Lieutenant Governor,Andover,Jayme Stevenson,R,28,12.90%
Lieutenant Governor,Andover,Erin E Stewart,R,87,40.09%
United States Senator,Andover,Matthew Corey,R,164,81.19%
United States Senator,Andover,Dominic Rapini,R,38,18.81%
Treasurer,Andover,Thad Gray,R,117,55.45%
Treasurer,Andover,Art Linares,R,94,44.55%
Comptroller,Andover,Kurt Miller,R,99,47.60%
Comptroller,Andover,Mark Greenberg,R,109,52.40%
Attorney General,Andover,Sue Hatfield,R,164,79.61%
Attorney General,Andover,John Shaban,R,42,20.39%
Governor,Ansonia,Mark Boughton,R,125,18.77%
Governor,Ansonia,Timothy M Herbst,R,174,26.13%
Governor,Ansonia,Steve Obsitnik,R,74,11.11%
Governor,Ansonia,Bob Stefanowski,R,214,32.13%
Governor,Ansonia,David Stemerman,R,79,11.86%
Lieutenant Governor,Ansonia,Joe Markley,R,311,48.37%
Lieutenant Governor,Ansonia,Jayme Stevenson,R,130,20.22%
Lieutenant Governor,Ansonia,Erin E Stewart,R,202,31.42%
United States Senator,Ansonia,Matthew Corey,R,407,65.43%
United States Senator,Ansonia,Dominic Rapini,R,215,34.57%
Treasurer,Ansonia,Thad Gray,R,370,58.82%
Treasurer,Ansonia,Art Linares,R,259,41.18%
Comptroller,Ansonia,Kurt Miller,R,399,62.05%
Comptroller,Ansonia,Mark Greenberg,R,244,37.95%
Attorney General,Ansonia,Sue Hatfield,R,490,76.80%
Attorney General,Ansonia,John Shaban,R,148,23.20%
Registrar of Voters,Ansonia,David Papcin,R,371,55.04%
Registrar of Voters,Ansonia,Nancy Valentine,R,303,44.96%
Governor,Ashford,Mark Boughton,R,29,12.83%
Governor,Ashford,Timothy M Herbst,R,85,37.61%
Governor,Ashford,Steve Obsitnik,R,21,9.29%
Governor,Ashford,Bob Stefanowski,R,65,28.76%
Governor,Ashford,David Stemerman,R,26,11.50%
Lieutenant Governor,Ashford,Joe Markley,R,129,57.85%
Lieutenant Governor,Ashford,Jayme Stevenson,R,37,16.59%
Lieutenant Governor,Ashford,Erin E Stewart,R,57,25.56%
United States Senator,Ashford,Matthew Corey,R,172,79.26%
United States Senator,Ashford,Dominic Rapini,R,45,20.74%
Treasurer,Ashford,Thad Gray,R,106,49.30%
Treasurer,Ashford,Art Linares,R,109,50.70%
Comptroller,Ashford,Kurt Miller,R,107,49.31%
Comptroller,Ashford,Mark Greenberg,R,110,50.69%
Attorney General,Ashford,Sue Hatfield,R,176,80.00%
Attorney General,Ashford,John Shaban,R,44,20.00%
Governor,Avon,Mark Boughton,R,210,14.60%
Governor,Avon,Timothy M Herbst,R,190,13.21%
Governor,Avon,Steve Obsitnik,R,178,12.38%
Governor,Avon,Bob Stefanowski,R,404,28.09%
Governor,Avon,David Stemerman,R,456,31.71%
Lieutenant Governor,Avon,Joe Markley,R,566,40.46%
Lieutenant Governor,Avon,Jayme Stevenson,R,163,11.65%
Lieutenant Governor,Avon,Erin E Stewart,R,670,47.89%
United States Senator,Avon,Matthew Corey,R,1077,82.97%
United States Senator,Avon,Dominic Rapini,R,221,17.03%
Representative in Congress 05,Avon,Manny Santos,R,693,52.82%
Representative in Congress 05,Avon,Ruby Corby-O'Neill,R,356,27.13%
Representative in Congress 05,Avon,Richard DuPont,R,263,20.05%
Treasurer,Avon,Thad Gray,R,723,55.06%
Treasurer,Avon,Art Linares,R,590,44.94%
Comptroller,Avon,Kurt Miller,R,593,44.92%
Comptroller,Avon,Mark Greenberg,R,727,55.08%
Attorney General,Avon,Sue Hatfield,R,1051,79.32%
Attorney General,Avon,John Shaban,R,274,20.68%
Governor,Barkhamsted,Mark Boughton,R,41,12.62%
Governor,Barkhamsted,Timothy M Herbst,R,64,19.69%
Governor,Barkhamsted,Steve Obsitnik,R,27,8.31%
Governor,Barkhamsted,Bob Stefanowski,R,107,32.92%
Governor,Barkhamsted,David Stemerman,R,86,26.46%
Lieutenant Governor,Barkhamsted,Joe Markley,R,177,55.84%
Lieutenant Governor,Barkhamsted,Jayme Stevenson,R,45,14.20%
Lieutenant Governor,Barkhamsted,Erin E Stewart,R,95,29.97%
United States Senator,Barkhamsted,Matthew Corey,R,252,84.00%
United States Senator,Barkhamsted,Dominic Rapini,R,48,16.00%
Treasurer,Barkhamsted,Thad Gray,R,148,49.66%
Treasurer,Barkhamsted,Art Linares,R,150,50.34%
Comptroller,Barkhamsted,Kurt Miller,R,129,44.03%
Comptroller,Barkhamsted,Mark Greenberg,R,164,55.97%
Attorney General,Barkhamsted,Sue Hatfield,R,239,79.93%
Attorney General,Barkhamsted,John Shaban,R,60,20.07%
Governor,Beacon Falls,Mark Boughton,R,74,21.20%
Governor,Beacon Falls,Timothy M Herbst,R,62,17.77%
Governor,Beacon Falls,Steve Obsitnik,R,31,8.88%
Governor,Beacon Falls,Bob Stefanowski,R,134,38.40%
Governor,Beacon Falls,David Stemerman,R,48,13.75%
Lieutenant Governor,Beacon Falls,Joe Markley,R,183,54.14%
Lieutenant Governor,Beacon Falls,Jayme Stevenson,R,60,17.75%
Lieutenant Governor,Beacon Falls,Erin E Stewart,R,95,28.11%
United States Senator,Beacon Falls,Matthew Corey,R,246,76.40%
United States Senator,Beacon Falls,Dominic Rapini,R,76,23.60%
Treasurer,Beacon Falls,Thad Gray,R,199,61.42%
Treasurer,Beacon Falls,Art Linares,R,125,38.58%
Comptroller,Beacon Falls,Kurt Miller,R,178,54.43%
Comptroller,Beacon Falls,Mark Greenberg,R,149,45.57%
Attorney General,Beacon Falls,Sue Hatfield,R,268,81.21%
Attorney General,Beacon Falls,John Shaban,R,62,18.79%
Governor,Berlin,Mark Boughton,R,173,12.86%
Governor,Berlin,Timothy M Herbst,R,254,18.88%
Governor,Berlin,Steve Obsitnik,R,184,13.68%
Governor,Berlin,Bob Stefanowski,R,409,30.41%
Governor,Berlin,David Stemerman,R,325,24.16%
Lieutenant Governor,Berlin,Joe Markley,R,503,37.54%
Lieutenant Governor,Berlin,Jayme Stevenson,R,110,8.21%
Lieutenant Governor,Berlin,Erin E Stewart,R,727,54.25%
United States Senator,Berlin,Matthew Corey,R,956,77.79%
United States Senator,Berlin,Dominic Rapini,R,273,22.21%
Treasurer,Berlin,Thad Gray,R,638,52.38%
Treasurer,Berlin,Art Linares,R,580,47.62%
Comptroller,Berlin,Kurt Miller,R,554,45.63%
Comptroller,Berlin,Mark Greenberg,R,660,54.37%
Attorney General,Berlin,Sue Hatfield,R,952,76.71%
Attorney General,Berlin,John Shaban,R,289,23.29%
Governor,Bethany,Mark Boughton,R,78,19.02%
Governor,Bethany,Timothy M Herbst,R,72,17.56%
Governor,Bethany,Steve Obsitnik,R,54,13.17%
Governor,Bethany,Bob Stefanowski,R,138,33.66%
Governor,Bethany,David Stemerman,R,68,16.59%
Lieutenant Governor,Bethany,Joe Markley,R,194,48.50%
Lieutenant Governor,Bethany,Jayme Stevenson,R,81,20.25%
Lieutenant Governor,Bethany,Erin E Stewart,R,125,31.25%
United States Senator,Bethany,Matthew Corey,R,255,67.11%
United States Senator,Bethany,Dominic Rapini,R,125,32.89%
Treasurer,Bethany,Thad Gray,R,244,63.54%
Treasurer,Bethany,Art Linares,R,140,36.46%
Comptroller,Bethany,Kurt Miller,R,239,62.08%
Comptroller,Bethany,Mark Greenberg,R,146,37.92%
Attorney General,Bethany,Sue Hatfield,R,300,78.33%
Attorney General,Bethany,John Shaban,R,83,21.67%
Governor,Bethel,Mark Boughton,R,721,64.26%
Governor,Bethel,Timothy M Herbst,R,89,7.93%
Governor,Bethel,Steve Obsitnik,R,48,4.28%
Governor,Bethel,Bob Stefanowski,R,180,16.04%
Governor,Bethel,David Stemerman,R,84,7.49%
Lieutenant Governor,Bethel,Joe Markley,R,699,65.39%
Lieutenant Governor,Bethel,Jayme Stevenson,R,181,16.93%
Lieutenant Governor,Bethel,Erin E Stewart,R,189,17.68%
United States Senator,Bethel,Matthew Corey,R,846,83.02%
United States Senator,Bethel,Dominic Rapini,R,173,16.98%
Representative in Congress 05,Bethel,Manny Santos,R,633,61.64%
Representative in Congress 05,Bethel,Ruby Corby-O'Neill,R,256,24.93%
Representative in Congress 05,Bethel,Richard DuPont,R,138,13.44%
Treasurer,Bethel,Thad Gray,R,735,72.13%
Treasurer,Bethel,Art Linares,R,284,27.87%
Comptroller,Bethel,Kurt Miller,R,639,62.16%
Comptroller,Bethel,Mark Greenberg,R,389,37.84%
Attorney General,Bethel,Sue Hatfield,R,858,82.18%
Attorney General,Bethel,John Shaban,R,186,17.82%
Governor,Bethlehem,Mark Boughton,R,96,27.27%
Governor,Bethlehem,Timothy M Herbst,R,57,16.19%
Governor,Bethlehem,Steve Obsitnik,R,36,10.23%
Governor,Bethlehem,Bob Stefanowski,R,118,33.52%
Governor,Bethlehem,David Stemerman,R,45,12.78%
Lieutenant Governor,Bethlehem,Joe Markley,R,167,48.83%
Lieutenant Governor,Bethlehem,Jayme Stevenson,R,33,9.65%
Lieutenant Governor,Bethlehem,Erin E Stewart,R,142,41.52%
United States Senator,Bethlehem,Matthew Corey,R,253,78.82%
United States Senator,Bethlehem,Dominic Rapini,R,68,21.18%
Representative in Congress 05,Bethlehem,Manny Santos,R,117,35.89%
Representative in Congress 05,Bethlehem,Ruby Corby-O'Neill,R,103,31.60%
Representative in Congress 05,Bethlehem,Richard DuPont,R,106,32.52%
Treasurer,Bethlehem,Thad Gray,R,184,58.60%
Treasurer,Bethlehem,Art Linares,R,130,41.40%
Comptroller,Bethlehem,Kurt Miller,R,134,41.10%
Comptroller,Bethlehem,Mark Greenberg,R,192,58.90%
Attorney General,Bethlehem,Sue Hatfield,R,252,78.26%
Attorney General,Bethlehem,John Shaban,R,70,21.74%
Governor,Bloomfield,Mark Boughton,R,61,12.15%
Governor,Bloomfield,Timothy M Herbst,R,66,13.15%
Governor,Bloomfield,Steve Obsitnik,R,77,15.34%
Governor,Bloomfield,Bob Stefanowski,R,136,27.09%
Governor,Bloomfield,David Stemerman,R,162,32.27%
Lieutenant Governor,Bloomfield,Joe Markley,R,164,33.54%
Lieutenant Governor,Bloomfield,Jayme Stevenson,R,92,18.81%
Lieutenant Governor,Bloomfield,Erin E Stewart,R,233,47.65%
United States Senator,Bloomfield,Matthew Corey,R,372,81.22%
United States Senator,Bloomfield,Dominic Rapini,R,86,18.78%
Treasurer,Bloomfield,Thad Gray,R,251,53.86%
Treasurer,Bloomfield,Art Linares,R,215,46.14%
Comptroller,Bloomfield,Kurt Miller,R,232,49.89%
Comptroller,Bloomfield,Mark Greenberg,R,233,50.11%
Attorney General,Bloomfield,Sue Hatfield,R,376,79.66%
Attorney General,Bloomfield,John Shaban,R,96,20.34%
Governor,Bolton,Mark Boughton,R,56,15.86%
Governor,Bolton,Timothy M Herbst,R,61,17.28%
Governor,Bolton,Steve Obsitnik,R,54,15.30%
Governor,Bolton,Bob Stefanowski,R,107,30.31%
Governor,Bolton,David Stemerman,R,75,21.25%
Lieutenant Governor,Bolton,Joe Markley,R,151,43.64%
Lieutenant Governor,Bolton,Jayme Stevenson,R,58,16.76%
Lieutenant Governor,Bolton,Erin E Stewart,R,137,39.60%
United States Senator,Bolton,Matthew Corey,R,272,83.95%
United States Senator,Bolton,Dominic Rapini,R,52,16.05%
Treasurer,Bolton,Thad Gray,R,178,54.60%
Treasurer,Bolton,Art Linares,R,148,45.40%
Comptroller,Bolton,Kurt Miller,R,171,52.62%
Comptroller,Bolton,Mark Greenberg,R,154,47.38%
Attorney General,Bolton,Sue Hatfield,R,270,81.82%
Attorney General,Bolton,John Shaban,R,60,18.18%
Governor,Bozrah,Mark Boughton,R,17,12.41%
Governor,Bozrah,Timothy M Herbst,R,37,27.01%
Governor,Bozrah,Steve Obsitnik,R,22,16.06%
Governor,Bozrah,Bob Stefanowski,R,39,28.47%
Governor,Bozrah,David Stemerman,R,22,16.06%
Lieutenant Governor,Bozrah,Joe Markley,R,62,46.97%
Lieutenant Governor,Bozrah,Jayme Stevenson,R,25,18.94%
Lieutenant Governor,Bozrah,Erin E Stewart,R,45,34.09%
United States Senator,Bozrah,Matthew Corey,R,97,78.23%
United States Senator,Bozrah,Dominic Rapini,R,27,21.77%
Treasurer,Bozrah,Thad Gray,R,57,44.19%
Treasurer,Bozrah,Art Linares,R,72,55.81%
Comptroller,Bozrah,Kurt Miller,R,61,49.59%
Comptroller,Bozrah,Mark Greenberg,R,62,50.41%
Attorney General,Bozrah,Sue Hatfield,R,107,79.85%
Attorney General,Bozrah,John Shaban,R,27,20.15%
Governor,Branford,Mark Boughton,R,171,13.85%
Governor,Branford,Timothy M Herbst,R,204,16.52%
Governor,Branford,Steve Obsitnik,R,159,12.87%
Governor,Branford,Bob Stefanowski,R,555,44.94%
Governor,Branford,David Stemerman,R,146,11.82%
Lieutenant Governor,Branford,Joe Markley,R,532,45.20%
Lieutenant Governor,Branford,Jayme Stevenson,R,296,25.15%
Lieutenant Governor,Branford,Erin E Stewart,R,349,29.65%
United States Senator,Branford,Matthew Corey,R,678,59.63%
United States Senator,Branford,Dominic Rapini,R,459,40.37%
Treasurer,Branford,Thad Gray,R,672,58.54%
Treasurer,Branford,Art Linares,R,476,41.46%
Comptroller,Branford,Kurt Miller,R,549,47.91%
Comptroller,Branford,Mark Greenberg,R,597,52.09%
Attorney General,Branford,Sue Hatfield,R,930,79.97%
Attorney General,Branford,John Shaban,R,233,20.03%
Governor,Bridgeport,Mark Boughton,R,178,22.45%
Governor,Bridgeport,Timothy M Herbst,R,140,17.65%
Governor,Bridgeport,Steve Obsitnik,R,92,11.60%
Governor,Bridgeport,Bob Stefanowski,R,247,31.15%
Governor,Bridgeport,David Stemerman,R,136,17.15%
Lieutenant Governor,Bridgeport,Joe Markley,R,292,38.83%
Lieutenant Governor,Bridgeport,Jayme Stevenson,R,228,30.32%
Lieutenant Governor,Bridgeport,Erin E Stewart,R,232,30.85%
United States Senator,Bridgeport,Matthew Corey,R,510,73.17%
United States Senator,Bridgeport,Dominic Rapini,R,187,26.83%
State Senator 23,Bridgeport,John Rodriguez,R,132,60.27%
State Senator 23,Bridgeport,"Casimir ""Caz"" Mizera",R,87,39.73%
State Representative 128,Bridgeport,Luis A Colon,R,10,21.28%
State Representative 128,Bridgeport,Ethan Book,R,37,78.72%
Treasurer,Bridgeport,Thad Gray,R,396,55.23%
Treasurer,Bridgeport,Art Linares,R,321,44.77%
Comptroller,Bridgeport,Kurt Miller,R,379,53.08%
Comptroller,Bridgeport,Mark Greenberg,R,335,46.92%
Attorney General,Bridgeport,Sue Hatfield,R,525,72.02%
Attorney General,Bridgeport,John Shaban,R,204,27.98%
Governor,Bridgewater,Mark Boughton,R,112,58.95%
Governor,Bridgewater,Timothy M Herbst,R,14,7.37%
Governor,Bridgewater,Steve Obsitnik,R,8,4.21%
Governor,Bridgewater,Bob Stefanowski,R,38,20.00%
Governor,Bridgewater,David Stemerman,R,18,9.47%
Lieutenant Governor,Bridgewater,Joe Markley,R,96,54.24%
Lieutenant Governor,Bridgewater,Jayme Stevenson,R,43,24.29%
Lieutenant Governor,Bridgewater,Erin E Stewart,R,38,21.47%
United States Senator,Bridgewater,Matthew Corey,R,143,85.63%
United States Senator,Bridgewater,Dominic Rapini,R,24,14.37%
Representative in Congress 05,Bridgewater,Manny Santos,R,90,48.91%
Representative in Congress 05,Bridgewater,Ruby Corby-O'Neill,R,77,41.85%
Representative in Congress 05,Bridgewater,Richard DuPont,R,17,9.24%
Treasurer,Bridgewater,Thad Gray,R,135,78.03%
Treasurer,Bridgewater,Art Linares,R,38,21.97%
Comptroller,Bridgewater,Kurt Miller,R,110,63.22%
Comptroller,Bridgewater,Mark Greenberg,R,64,36.78%
Attorney General,Bridgewater,Sue Hatfield,R,142,82.08%
Attorney General,Bridgewater,John Shaban,R,31,17.92%
Governor,Bristol,Mark Boughton,R,324,14.34%
Governor,Bristol,Timothy M Herbst,R,405,17.93%
Governor,Bristol,Steve Obsitnik,R,309,13.68%
Governor,Bristol,Bob Stefanowski,R,773,34.22%
Governor,Bristol,David Stemerman,R,448,19.83%
Lieutenant Governor,Bristol,Joe Markley,R,995,44.36%
Lieutenant Governor,Bristol,Jayme Stevenson,R,223,9.94%
Lieutenant Governor,Bristol,Erin E Stewart,R,1025,45.70%
United States Senator,Bristol,Matthew Corey,R,1654,77.65%
United States Senator,Bristol,Dominic Rapini,R,476,22.35%
Treasurer,Bristol,Thad Gray,R,1090,51.22%
Treasurer,Bristol,Art Linares,R,1038,48.78%
Comptroller,Bristol,Kurt Miller,R,971,45.67%
Comptroller,Bristol,Mark Greenberg,R,1155,54.33%
Attorney General,Bristol,Sue Hatfield,R,1726,79.65%
Attorney General,Bristol,John Shaban,R,441,20.35%
Governor,Brookfield,Mark Boughton,R,854,66.05%
Governor,Brookfield,Timothy M Herbst,R,105,8.12%
Governor,Brookfield,Steve Obsitnik,R,68,5.26%
Governor,Brookfield,Bob Stefanowski,R,175,13.53%
Governor,Brookfield,David Stemerman,R,91,7.04%
Lieutenant Governor,Brookfield,Joe Markley,R,768,62.29%
Lieutenant Governor,Brookfield,Jayme Stevenson,R,212,17.19%
Lieutenant Governor,Brookfield,Erin E Stewart,R,253,20.52%
United States Senator,Brookfield,Matthew Corey,R,1003,85.51%
United States Senator,Brookfield,Dominic Rapini,R,170,14.49%
Representative in Congress 05,Brookfield,Manny Santos,R,749,63.10%
Representative in Congress 05,Brookfield,Ruby Corby-O'Neill,R,297,25.02%
Representative in Congress 05,Brookfield,Richard DuPont,R,141,11.88%
Treasurer,Brookfield,Thad Gray,R,844,71.46%
Treasurer,Brookfield,Art Linares,R,337,28.54%
Comptroller,Brookfield,Kurt Miller,R,797,66.92%
Comptroller,Brookfield,Mark Greenberg,R,394,33.08%
Attorney General,Brookfield,Sue Hatfield,R,981,82.92%
Attorney General,Brookfield,John Shaban,R,202,17.08%
Governor,Brooklyn,Mark Boughton,R,32,9.67%
Governor,Brooklyn,Timothy M Herbst,R,74,22.36%
Governor,Brooklyn,Steve Obsitnik,R,53,16.01%
Governor,Brooklyn,Bob Stefanowski,R,123,37.16%
Governor,Brooklyn,David Stemerman,R,49,14.80%
Lieutenant Governor,Brooklyn,Joe Markley,R,190,59.19%
Lieutenant Governor,Brooklyn,Jayme Stevenson,R,64,19.94%
Lieutenant Governor,Brooklyn,Erin E Stewart,R,67,20.87%
United States Senator,Brooklyn,Matthew Corey,R,246,79.61%
United States Senator,Brooklyn,Dominic Rapini,R,63,20.39%
Treasurer,Brooklyn,Thad Gray,R,197,62.74%
Treasurer,Brooklyn,Art Linares,R,117,37.26%
Comptroller,Brooklyn,Kurt Miller,R,139,45.13%
Comptroller,Brooklyn,Mark Greenberg,R,169,54.87%
Attorney General,Brooklyn,Sue Hatfield,R,237,75.00%
Attorney General,Brooklyn,John Shaban,R,79,25.00%
Governor,Burlington,Mark Boughton,R,97,14.00%
Governor,Burlington,Timothy M Herbst,R,99,14.29%
Governor,Burlington,Steve Obsitnik,R,94,13.56%
Governor,Burlington,Bob Stefanowski,R,204,29.44%
Governor,Burlington,David Stemerman,R,199,28.72%
Lieutenant Governor,Burlington,Joe Markley,R,280,41.48%
Lieutenant Governor,Burlington,Jayme Stevenson,R,80,11.85%
Lieutenant Governor,Burlington,Erin E Stewart,R,315,46.67%
United States Senator,Burlington,Matthew Corey,R,511,82.02%
United States Senator,Burlington,Dominic Rapini,R,112,17.98%
Representative in Congress 05,Burlington,Manny Santos,R,331,52.54%
Representative in Congress 05,Burlington,Ruby Corby-O'Neill,R,153,24.29%
Representative in Congress 05,Burlington,Richard DuPont,R,146,23.17%
Treasurer,Burlington,Thad Gray,R,348,55.50%
Treasurer,Burlington,Art Linares,R,279,44.50%
Comptroller,Burlington,Kurt Miller,R,310,48.97%
Comptroller,Burlington,Mark Greenberg,R,323,51.03%
Attorney General,Burlington,Sue Hatfield,R,517,80.16%
Attorney General,Burlington,John Shaban,R,128,19.84%
Governor,Canaan,Mark Boughton,R,34,39.08%
Governor,Canaan,Timothy M Herbst,R,18,20.69%
Governor,Canaan,Steve Obsitnik,R,4,4.60%
Governor,Canaan,Bob Stefanowski,R,19,21.84%
Governor,Canaan,David Stemerman,R,12,13.79%
Lieutenant Governor,Canaan,Joe Markley,R,41,48.24%
Lieutenant Governor,Canaan,Jayme Stevenson,R,18,21.18%
Lieutenant Governor,Canaan,Erin E Stewart,R,26,30.59%
United States Senator,Canaan,Matthew Corey,R,60,76.92%
United States Senator,Canaan,Dominic Rapini,R,18,23.08%
Representative in Congress 05,Canaan,Manny Santos,R,48,62.34%
Representative in Congress 05,Canaan,Ruby Corby-O'Neill,R,16,20.78%
Representative in Congress 05,Canaan,Richard DuPont,R,13,16.88%
Treasurer,Canaan,Thad Gray,R,58,71.60%
Treasurer,Canaan,Art Linares,R,23,28.40%
Comptroller,Canaan,Kurt Miller,R,41,52.56%
Comptroller,Canaan,Mark Greenberg,R,37,47.44%
Attorney General,Canaan,Sue Hatfield,R,75,91.46%
Attorney General,Canaan,John Shaban,R,7,8.54%
Governor,Canterbury,Mark Boughton,R,25,7.16%
Governor,Canterbury,Timothy M Herbst,R,83,23.78%
Governor,Canterbury,Steve Obsitnik,R,53,15.19%
Governor,Canterbury,Bob Stefanowski,R,159,45.56%
Governor,Canterbury,David Stemerman,R,29,8.31%
Lieutenant Governor,Canterbury,Joe Markley,R,225,65.60%
Lieutenant Governor,Canterbury,Jayme Stevenson,R,49,14.29%
Lieutenant Governor,Canterbury,Erin E Stewart,R,69,20.12%
United States Senator,Canterbury,Matthew Corey,R,261,81.06%
United States Senator,Canterbury,Dominic Rapini,R,61,18.94%
Treasurer,Canterbury,Thad Gray,R,181,55.86%
Treasurer,Canterbury,Art Linares,R,143,44.14%
Comptroller,Canterbury,Kurt Miller,R,155,48.59%
Comptroller,Canterbury,Mark Greenberg,R,164,51.41%
Attorney General,Canterbury,Sue Hatfield,R,272,81.19%
Attorney General,Canterbury,John Shaban,R,63,18.81%
Governor,Canton,Mark Boughton,R,130,17.33%
Governor,Canton,Timothy M Herbst,R,120,16.00%
Governor,Canton,Steve Obsitnik,R,89,11.87%
Governor,Canton,Bob Stefanowski,R,230,30.67%
Governor,Canton,David Stemerman,R,181,24.13%
Lieutenant Governor,Canton,Joe Markley,R,346,47.53%
Lieutenant Governor,Canton,Jayme Stevenson,R,99,13.60%
Lieutenant Governor,Canton,Erin E Stewart,R,283,38.87%
United States Senator,Canton,Matthew Corey,R,592,85.18%
United States Senator,Canton,Dominic Rapini,R,103,14.82%
Representative in Congress 05,Canton,Manny Santos,R,376,53.49%
Representative in Congress 05,Canton,Ruby Corby-O'Neill,R,192,27.31%
Representative in Congress 05,Canton,Richard DuPont,R,135,19.20%
Treasurer,Canton,Thad Gray,R,371,53.08%
Treasurer,Canton,Art Linares,R,328,46.92%
Comptroller,Canton,Kurt Miller,R,295,42.69%
Comptroller,Canton,Mark Greenberg,R,396,57.31%
Attorney General,Canton,Sue Hatfield,R,566,80.40%
Attorney General,Canton,John Shaban,R,138,19.60%
Governor,Chaplin,Mark Boughton,R,25,14.88%
Governor,Chaplin,Timothy M Herbst,R,42,25.00%
Governor,Chaplin,Steve Obsitnik,R,34,20.24%
Governor,Chaplin,Bob Stefanowski,R,44,26.19%
Governor,Chaplin,David Stemerman,R,23,13.69%
Lieutenant Governor,Chaplin,Joe Markley,R,87,53.37%
Lieutenant Governor,Chaplin,Jayme Stevenson,R,34,20.86%
Lieutenant Governor,Chaplin,Erin E Stewart,R,42,25.77%
United States Senator,Chaplin,Matthew Corey,R,117,78.00%
United States Senator,Chaplin,Dominic Rapini,R,33,22.00%
Treasurer,Chaplin,Thad Gray,R,76,49.35%
Treasurer,Chaplin,Art Linares,R,78,50.65%
Comptroller,Chaplin,Kurt Miller,R,75,49.34%
Comptroller,Chaplin,Mark Greenberg,R,77,50.66%
Attorney General,Chaplin,Sue Hatfield,R,115,72.78%
Attorney General,Chaplin,John Shaban,R,43,27.22%
Governor,Cheshire,Mark Boughton,R,310,17.79%
Governor,Cheshire,Timothy M Herbst,R,289,16.58%
Governor,Cheshire,Steve Obsitnik,R,238,13.65%
Governor,Cheshire,Bob Stefanowski,R,611,35.05%
Governor,Cheshire,David Stemerman,R,295,16.92%
Lieutenant Governor,Cheshire,Joe Markley,R,1191,69.65%
Lieutenant Governor,Cheshire,Jayme Stevenson,R,152,8.89%
Lieutenant Governor,Cheshire,Erin E Stewart,R,367,21.46%
United States Senator,Cheshire,Matthew Corey,R,1216,76.14%
United States Senator,Cheshire,Dominic Rapini,R,381,23.86%
Representative in Congress 05,Cheshire,Manny Santos,R,951,58.27%
Representative in Congress 05,Cheshire,Ruby Corby-O'Neill,R,339,20.77%
Representative in Congress 05,Cheshire,Richard DuPont,R,342,20.96%
Treasurer,Cheshire,Thad Gray,R,943,58.90%
Treasurer,Cheshire,Art Linares,R,658,41.10%
Comptroller,Cheshire,Kurt Miller,R,800,49.35%
Comptroller,Cheshire,Mark Greenberg,R,821,50.65%
Attorney General,Cheshire,Sue Hatfield,R,1346,82.17%
Attorney General,Cheshire,John Shaban,R,292,17.83%
Governor,Chester,Mark Boughton,R,28,14.43%
Governor,Chester,Timothy M Herbst,R,48,24.74%
Governor,Chester,Steve Obsitnik,R,26,13.40%
Governor,Chester,Bob Stefanowski,R,48,24.74%
Governor,Chester,David Stemerman,R,44,22.68%
