office,town,candidate,party,votes,vote_percent
State Representative 115th,statewide,William J. Heffernan III,D,1007,54.17%
State Representative 115th,statewide,Silvana Apicella,R,410,22.05%
State Representative 115th,statewide,Edward M. O'Brien,PC,390,20.98%
State Representative 115th,statewide,Victor Borras,WI,52,2.80%
State Representative 115th,West Haven,William J. Heffernan III,D,1007,54.17%
State Representative 115th,West Haven,Silvana Apicella,R,410,22.05%
State Representative 115th,West Haven,Edward M. O'Brien,PC,390,20.98%
State Representative 115th,West Haven,Victor Borras,WI,52,2.80%
