office,town,candidate,party,votes,vote_percent
Representative in Congress 5,statewide,Jahana Hayes,D,15058,51.35%
Representative in Congress 5,statewide,George Logan,R,13642,46.52%
Representative in Congress 5,statewide,Jahana Hayes,WF,627,2.14%
Representative in Congress 5,statewide,Ahmad AJ Darwish,WI,0,0.00%
Representative in Congress 5,statewide,Bertram Ferguson,WI,0,0.00%
State Senator 1,statewide,John W. Fonfara,D,0,0.00%
State Senator 1,statewide,Luis R. Delgado,G,0,0.00%
State Senator 2,statewide,Douglas McCrory,D,0,0.00%
State Senator 2,statewide,Kristin Hoffman,R,0,0.00%
State Senator 3,statewide,Saud Anwar,D,3086,52.07%
State Senator 3,statewide,Matt Siracusa,R,2661,44.90%
State Senator 3,statewide,Saud Anwar,WF,180,3.04%
State Senator 4,statewide,MD Rahman,D,999,48.78%
State Senator 4,statewide,Stephen King,R,992,48.44%
State Senator 4,statewide,MD Rahman,WF,57,2.78%
State Senator 5,statewide,Derek Slap,D,0,0.00%
State Senator 5,statewide,Kyla Zimmermann,R,0,0.00%
State Senator 6,statewide,Rick Lopes,D,0,0.00%
State Senator 6,statewide,Tremell Collins,R,0,0.00%
State Senator 6,statewide,Rick Lopes,WF,0,0.00%
State Senator 7,statewide,Cynthia Mangini,D,478,39.47%
State Senator 7,statewide,John A. Kissel,R,682,56.32%
State Senator 7,statewide,Cynthia Mangini,WF,32,2.64%
State Senator 7,statewide,John A. Kissel,IND,19,1.57%
State Senator 8,statewide,Paul Honig,D,9188,55.43%
State Senator 8,statewide,Lisa Seminara,R,6856,41.36%
State Senator 8,statewide,Paul Honig,WF,286,1.73%
State Senator 8,statewide,Lisa Seminara,IND,246,1.48%
State Senator 9,statewide,Matthew Lesser,D,0,0.00%
State Senator 9,statewide,Matthew Lesser,WF,0,0.00%
State Senator 9,statewide,Matthew Lesser,IND,0,0.00%
State Senator 10,statewide,Gary Winfield,D,0,0.00%
State Senator 10,statewide,Nyrell Moore,R,0,0.00%
State Senator 10,statewide,Gary Winfield,WF,0,0.00%
State Senator 10,statewide,Nyrell Moore,IND,0,0.00%
State Senator 11,statewide,Martin M. Looney,D,0,0.00%
State Senator 11,statewide,Steven Orosco,R,0,0.00%
State Senator 12,statewide,Christine Cohen,D,2099,48.89%
State Senator 12,statewide,Paul Crisci,R,2084,48.54%
State Senator 12,statewide,Christine Cohen,WF,58,1.35%
State Senator 12,statewide,Christine Cohen,IND,52,1.21%
State Senator 13,statewide,Jan Hochadel,D,0,0.00%
State Senator 13,statewide,Elain Cariati,R,0,0.00%
State Senator 13,statewide,Jan Hochadel,WF,0,0.00%
State Senator 13,statewide,Gwen Samuel,IND,0,0.00%
State Senator 13,statewide,Gwen Samuel,WI,0,0.00%
State Senator 14,statewide,James Maroney,D,0,0.00%
State Senator 14,statewide,Steven Johnstone,R,0,0.00%
State Senator 14,statewide,James Maroney,IND,0,0.00%
State Senator 15,statewide,Joan V. Hartley,D,0,0.00%
State Senator 15,statewide,Joan V. Hartley,IND,0,0.00%
State Senator 16,statewide,Christopher Robertson,D,0,0.00%
State Senator 16,statewide,Rob Sampson,R,0,0.00%
State Senator 16,statewide,Christopher Robertson,IND,0,0.00%
State Senator 17,statewide,Jorge Cabrera,D,3422,76.16%
State Senator 17,statewide,Jorge Cabrera,WF,563,12.53%
State Senator 17,statewide,Jorge Cabrera,IND,508,11.31%
State Senator 18,statewide,Andrew M. Parrella,D,4802,29.97%
State Senator 18,statewide,Heather Somers,R,10683,66.67%
State Senator 18,statewide,Heather Somers,IND,539,3.36%
State Senator 19,statewide,Catherine A. Osten,D,1665,47.91%
State Senator 19,statewide,Jason Guidone,R,1655,47.63%
State Senator 19,statewide,Catherine A. Osten,WF,97,2.79%
State Senator 19,statewide,Catherine A. Osten,IND,58,1.67%
State Senator 20,statewide,Martha Marx,D,2800,45.85%
State Senator 20,statewide,Shaun Mastroianni,R,3051,49.96%
State Senator 20,statewide,Martha Marx,WF,133,2.18%
State Senator 20,statewide,Shaun Mastroianni,IND,123,2.01%
State Senator 21,statewide,Kevin C. Kelly,R,0,0.00%
State Senator 22,statewide,Sujata Gadkar-Wilcox,D,0,0.00%
State Senator 22,statewide,Chris Carrena,R,0,0.00%
State Senator 22,statewide,Robert Edward Halstead,IND,0,0.00%
State Senator 22,statewide,Louis Anthony Bevilacqua,WI,0,0.00%
State Senator 23,statewide,Herron Gaston,D,0,0.00%
State Senator 23,statewide,Brian Banacowski,R,0,0.00%
State Senator 23,statewide,Herron Gaston,WF,0,0.00%
State Senator 24,statewide,Julie Kushner,D,0,0.00%
State Senator 24,statewide,Michelle Coelho,R,0,0.00%
State Senator 24,statewide,Julie Kushner,WF,0,0.00%
State Senator 24,statewide,Michelle Coelho,IND,0,0.00%
State Senator 25,statewide,Bob Duff,D,0,0.00%
State Senator 25,statewide,Martin Tagliaferro,R,0,0.00%
State Senator 25,statewide,Bob Duff,WF,0,0.00%
State Senator 26,statewide,Ceci Maher,D,3372,60.86%
State Senator 26,statewide,Kami Evans,R,2077,37.48%
State Senator 26,statewide,Kami Evans,IND,92,1.66%
State Senator 27,statewide,Pat Billie Miller,D,0,0.00%
State Senator 27,statewide,Nicola Tarzia,R,0,0.00%
State Senator 28,statewide,Rob Blanchard,D,0,0.00%
State Senator 28,statewide,Tony Hwang,R,0,0.00%
State Senator 28,statewide,Tony Hwang,IND,0,0.00%
State Senator 29,statewide,Mae Flexer,D,3198,42.15%
State Senator 29,statewide,Chris Reddy,R,4062,53.53%
State Senator 29,statewide,Mae Flexer,WF,138,1.82%
State Senator 29,statewide,Mae Flexer,IND,84,1.11%
State Senator 29,statewide,Alice Leibowitz,G,106,1.40%
State Senator 30,statewide,Justin Potter,D,2084,47.73%
State Senator 30,statewide,Stephen G. Harding,R,2208,50.57%
State Senator 30,statewide,Stephen G. Harding,IND,74,1.69%
State Senator 31,statewide,Henri Martin,R,5055,100.00%
State Senator 32,statewide,Jeff Desmarais,D,1365,52.56%
State Senator 32,statewide,Eric C. Berthel,R,1232,47.44%
State Senator 33,statewide,Norm Needleman,D,7522,50.06%
State Senator 33,statewide,Jeffery Duigou,R,7071,47.06%
State Senator 33,statewide,Norm Needleman,IND,433,2.88%
State Senator 34,statewide,Brandi Mandato,D,0,0.00%
State Senator 34,statewide,Paul Cicarella,R,0,0.00%
State Senator 34,statewide,Brandi Mandato,WF,0,0.00%
State Senator 34,statewide,Paul Cicarella,IND,0,0.00%
State Senator 34,statewide,David A. Bedell,G,0,0.00%
State Senator 35,statewide,Merry C. Garrett,D,3081,41.94%
State Senator 35,statewide,Jeff Gordon,R,4031,54.87%
State Senator 35,statewide,Merry C. Garrett,WF,139,1.89%
State Senator 35,statewide,Merry C. Garrett,IND,96,1.31%
State Senator 36,statewide,Nick Simmons,D,0,0.00%
State Senator 36,statewide,Ryan Fazio,R,0,0.00%
State Senator 36,statewide,Nick Simmons,IND,0,0.00%
State Representative 1,statewide,Matthew Ritter,D,0,0.00%
State Representative 2,statewide,Raghib Allie-Brennan,D,0,0.00%
State Representative 2,statewide,Bradley M. Koltz,R,0,0.00%
State Representative 2,statewide,Raghib Allie-Brennan,IND,0,0.00%
State Representative 3,statewide,Minnie Gonzalez,D,0,0.00%
State Representative 4,statewide,Julio A. Concepcion,D,0,0.00%
State Representative 5,statewide,Maryam Khan,D,0,0.00%
State Representative 5,statewide,Tracy L. Funnye,WI,0,0.00%
State Representative 6,statewide,"James ""Jimmy"" Sanchez",D,0,0.00%
State Representative 6,statewide,Alyssa Peterson,PC,0,0.00%
State Representative 7,statewide,Joshua M. Hall,D,0,0.00%
State Representative 8,statewide,Nancy Hammarstrom,D,0,0.00%
State Representative 8,statewide,Timothy Ackert,R,0,0.00%
State Representative 8,statewide,Nancy Hammarstrom,WF,0,0.00%
State Representative 9,statewide,Jason Rojas,D,0,0.00%
State Representative 10,statewide,Henry J. Genga,D,0,0.00%
State Representative 10,statewide,Chris Tierinni,R,0,0.00%
State Representative 11,statewide,Patrick Biggins,D,0,0.00%
State Representative 11,statewide,Salema Davis,R,0,0.00%
State Representative 12,statewide,Geoffrey Luxenberg,D,0,0.00%
State Representative 12,statewide,Robert Cormier,R,0,0.00%
State Representative 12,statewide,Geoffrey Luxenberg,WF,0,0.00%
State Representative 12,statewide,Joseph Arthur Young,PC,0,0.00%
State Representative 13,statewide,Jason Doucette,D,0,0.00%
State Representative 13,statewide,Donna C Meier,R,0,0.00%
State Representative 13,statewide,Jason Doucette,IND,0,0.00%
State Representative 14,statewide,"Steven King, Jr",D,0,0.00%
State Representative 14,statewide,Tom Delnicki,R,0,0.00%
State Representative 14,statewide,Tom Delnicki,IND,0,0.00%
State Representative 15,statewide,Bobby Gibson,D,0,0.00%
State Representative 15,statewide,Quentin Johnson,R,0,0.00%
State Representative 16,statewide,Melissa Osborne,D,9633,61.87%
State Representative 16,statewide,Michael Schulitz,R,5937,38.13%
State Representative 17,statewide,Eleni Kavros DeGraw,D,0,0.00%
State Representative 17,statewide,Manju Gerber,R,0,0.00%
State Representative 17,statewide,Eleni Kavros DeGraw,WF,0,0.00%
State Representative 17,statewide,Eleni Kavros DeGraw,IND,0,0.00%
State Representative 18,statewide,Jillian Gilchrest,D,0,0.00%
State Representative 19,statewide,Tammy Exum,D,0,0.00%
State Representative 20,statewide,Kate Farrar,D,0,0.00%
State Representative 20,statewide,Kate Farrar,WF,0,0.00%
State Representative 21,statewide,Mike Demicco,D,0,0.00%
State Representative 21,statewide,Johnny Carrier,R,0,0.00%
State Representative 21,statewide,Mike Demicco,WF,0,0.00%
State Representative 21,statewide,Mike Demicco,IND,0,0.00%
State Representative 22,statewide,Rebecca Martinez,D,0,0.00%
State Representative 22,statewide,Francis Rexford Cooley,R,0,0.00%
State Representative 22,statewide,Rebecca Martinez,WF,0,0.00%
State Representative 22,statewide,Rebecca Martinez,IND,0,0.00%
State Representative 23,statewide,Jane Wisialowski,D,871,53.70%
State Representative 23,statewide,Devin R Carney,R,690,42.54%
State Representative 23,statewide,Jane Wisialowski,WF,23,1.42%
State Representative 23,statewide,Devin R Carney,IND,38,2.34%
State Representative 24,statewide,"Emmanuel ""Manny"" Sanchez",D,0,0.00%
State Representative 24,statewide,Alden Russell,R,0,0.00%
State Representative 24,statewide,"Emmanuel ""Manny"" Sanchez",WF,0,0.00%
State Representative 24,statewide,Alfred P. Mayo,PC,0,0.00%
State Representative 25,statewide,"Robert ""Bobby"" Sanchez",D,0,0.00%
State Representative 25,statewide,Jamie Vaughan,R,0,0.00%
State Representative 26,statewide,David DeFronzo,D,0,0.00%
State Representative 26,statewide,Barbara Marino,R,0,0.00%
State Representative 26,statewide,David DeFronzo,WF,0,0.00%
State Representative 27,statewide,Gary Turco,D,0,0.00%
State Representative 27,statewide,Gary Turco,WF,0,0.00%
State Representative 27,statewide,Stephen P. Ellis,PC,0,0.00%
State Representative 28,statewide,Amy Morrin Bello,D,0,0.00%
State Representative 28,statewide,William Davidson,R,0,0.00%
State Representative 28,statewide,Amy Morrin Bello,WF,0,0.00%
State Representative 29,statewide,Kerry Szeps Wood,D,0,0.00%
State Representative 29,statewide,Edward V. Charamut,R,0,0.00%
State Representative 30,statewide,Donna M. Veach,R,0,0.00%
State Representative 31,statewide,Jill Barry,D,0,0.00%
State Representative 31,statewide,Jill Barry,IND,0,0.00%
State Representative 32,statewide,Christie M. Carpino,R,0,0.00%
State Representative 33,statewide,Brandon Chafee,D,0,0.00%
State Representative 33,statewide,Brandon Chafee,IND,0,0.00%
State Representative 33,statewide,Robert Kyle Hoggard,WE,0,0.00%
State Representative 33,statewide,Christine Leigh Rebstock,PC,0,0.00%
State Representative 34,statewide,Richard E. Knotek,D,3573,44.79%
State Representative 34,statewide,Irene Haines,R,4258,53.37%
State Representative 34,statewide,David Brice Cassenti,IND,147,1.84%
State Representative 35,statewide,Cinzia Lettieri,D,2068,48.28%
State Representative 35,statewide,Chris Aniskovich,R,2085,48.68%
State Representative 35,statewide,Cinzia Lettieri,WF,74,1.73%
State Representative 35,statewide,Chris Aniskovich,IND,56,1.31%
State Representative 36,statewide,Renee LaMark Muir,D,2383,44.07%
State Representative 36,statewide,Kathryn Russell,R,3024,55.93%
State Representative 37,statewide,Nick Menapace,D,974,43.93%
State Representative 37,statewide,Holly H. Cheeseman,R,1141,51.47%
State Representative 37,statewide,Nick Menapace,WF,58,2.62%
State Representative 37,statewide,Holly H. Cheeseman,IND,44,1.98%
State Representative 38,statewide,Nick Gauthier,D,1282,47.60%
State Representative 38,statewide,Kathleen M. McCarty,R,1296,48.12%
State Representative 38,statewide,Nick Gauthier,WF,71,2.64%
State Representative 38,statewide,Nick Gauthier,IND,44,1.63%
State Representative 39,statewide,Anthony Nolan,D,0,0.00%
State Representative 39,statewide,Beloved Grace Carter,R,0,0.00%
State Representative 39,statewide,Anthony Nolan,WF,0,0.00%
State Representative 40,statewide,Christine Conley,D,0,0.00%
State Representative 40,statewide,Susan Deane-Shinbrot,R,0,0.00%
State Representative 40,statewide,Christine Conley,WF,0,0.00%
State Representative 40,statewide,Christine Conley,IND,0,0.00%
State Representative 41,statewide,Aundre Bumgardner,D,0,0.00%
State Representative 41,statewide,Aundre Bumgardner,WF,0,0.00%
State Representative 41,statewide,Aundre Bumgardner,IND,0,0.00%
State Representative 42,statewide,Savet Constantine,D,0,0.00%
State Representative 42,statewide,Kim Healy,R,0,0.00%
State Representative 42,statewide,Kim Healy,IND,0,0.00%
State Representative 43,statewide,Ty Lamb,D,0,0.00%
State Representative 43,statewide,Greg Howard,R,0,0.00%
State Representative 44,statewide,Samantha Derenthal,D,1901,31.54%
State Representative 44,statewide,Anne Dubay Dauphinais,R,3972,65.90%
State Representative 44,statewide,Samantha Derenthal,IND,154,2.56%
State Representative 45,statewide,Kayla Thompson,D,2462,33.69%
State Representative 45,statewide,Brian L. Lanoue,R,4845,66.31%
State Representative 46,statewide,Derell Wilson,D,0,0.00%
State Representative 46,statewide,Nicholas Casiano,R,0,0.00%
State Representative 46,statewide,Derell Wilson,WF,0,0.00%
State Representative 47,statewide,Aaron Spruance,D,1791,37.27%
State Representative 47,statewide,Doug Dubitsky,R,3014,62.73%
State Representative 48,statewide,Christopher Rivers,D,476,40.72%
State Representative 48,statewide,Mark DeCaprio,R,664,56.80%
State Representative 48,statewide,Christopher Rivers,WF,15,1.28%
State Representative 48,statewide,Lance Lusignan,IND,14,1.20%
State Representative 49,statewide,Susan Johnson,D,0,0.00%
State Representative 49,statewide,Susan Johnson,WF,0,0.00%
State Representative 50,statewide,Pat Boyd,D,3852,100.00%
State Representative 51,statewide,Renee LaPalme Waldron,D,1827,42.82%
State Representative 51,statewide,Chris Stewart,R,2238,52.45%
State Representative 51,statewide,Renee LaPalme Waldron,WF,111,2.60%
State Representative 51,statewide,Renee LaPalme Waldron,IND,91,2.13%
State Representative 52,statewide,Ethan R Werstler,D,229,42.57%
State Representative 52,statewide,Kurt Vail,R,309,57.43%
State Representative 53,statewide,Ann Bonney,D,0,0.00%
State Representative 53,statewide,Tammy Nuccio,R,0,0.00%
State Representative 53,statewide,Ann Bonney,WF,0,0.00%
State Representative 53,statewide,Tammy Nuccio,IND,0,0.00%
State Representative 54,statewide,Gregg Haddad,D,0,0.00%
State Representative 54,statewide,Aaron Bowman,R,0,0.00%
State Representative 54,statewide,Gregg Haddad,WF,0,0.00%
State Representative 55,statewide,Amanda Veneziano,D,842,40.77%
State Representative 55,statewide,Steve Weir,R,1173,56.80%
State Representative 55,statewide,Amanda Veneziano,WF,30,1.45%
State Representative 55,statewide,Amanda Veneziano,IND,20,0.97%
State Representative 56,statewide,Kevin Brown,D,0,0.00%
State Representative 56,statewide,Brian Motola,R,0,0.00%
State Representative 56,statewide,Kevin Brown,WF,0,0.00%
State Representative 56,statewide,Kevin Brown,IND,0,0.00%
State Representative 57,statewide,Jaime S. Foster,D,4671,50.08%
State Representative 57,statewide,Jennifer Dzen,R,4418,47.36%
State Representative 57,statewide,Jaime S. Foster,IND,239,2.56%
State Representative 58,statewide,John Santanella,D,0,0.00%
State Representative 58,statewide,Robert Hendrickson,R,0,0.00%
State Representative 58,statewide,John Santanella,IND,0,0.00%
State Representative 59,statewide,Rick LeBorious,D,0,0.00%
State Representative 59,statewide,Carol Hall,R,0,0.00%
State Representative 60,statewide,Jane Garibay,D,0,0.00%
State Representative 60,statewide,Lenworth Walker,R,0,0.00%
State Representative 60,statewide,Jane Garibay,WF,0,0.00%
State Representative 60,statewide,Jane Garibay,IND,0,0.00%
State Representative 61,statewide,Michael Malloy,D,0,0.00%
State Representative 61,statewide,Tami Zawistowski,R,0,0.00%
State Representative 62,statewide,Kim Becker,D,0,0.00%
State Representative 62,statewide,Mark W. Anderson,R,0,0.00%
State Representative 62,statewide,Kim Becker,WF,0,0.00%
State Representative 62,statewide,Mark W. Anderson,IND,0,0.00%
State Representative 63,statewide,Jay M. Case,R,693,100.00%
State Representative 64,statewide,Maria Horn,D,1103,55.23%
State Representative 64,statewide,Barbara L. Breor,R,851,42.61%
State Representative 64,statewide,Maria Horn,WF,31,1.55%
State Representative 64,statewide,Maria Horn,IND,12,0.60%
State Representative 65,statewide,Michelle L. Cook,D,0,0.00%
State Representative 65,statewide,Joe Canino,R,0,0.00%
State Representative 66,statewide,Sharon Sherman,D,985,41.58%
State Representative 66,statewide,Karen Reddington-Hughes,R,1384,58.42%
State Representative 67,statewide,Alexandra Thomas,D,0,0.00%
State Representative 67,statewide,William Buckbee,R,0,0.00%
State Representative 67,statewide,William Buckbee,IND,0,0.00%
State Representative 68,statewide,Joe Polletta,R,0,0.00%
State Representative 69,statewide,Ed Edelson,D,1259,48.33%
State Representative 69,statewide,Jason Buchsbaum,R,1346,51.67%
State Representative 70,statewide,Jeff Litke,D,0,0.00%
State Representative 70,statewide,Seth Bronko,R,0,0.00%
State Representative 70,statewide,Jeff Litke,IND,0,0.00%
State Representative 71,statewide,William J. Pizzuto,R,0,0.00%
State Representative 72,statewide,Larry B. Butler,D,0,0.00%
State Representative 72,statewide,Larry B. Butler,IND,0,0.00%
State Representative 73,statewide,Ronald A Napoli Jr,D,0,0.00%
State Representative 73,statewide,Abigail Pizarro,R,0,0.00%
State Representative 73,statewide,Ronald A Napoli Jr,WF,0,0.00%
State Representative 73,statewide,Ronald A Napoli Jr,IND,0,0.00%
State Representative 74,statewide,Michael DiGiovancarlo,D,0,0.00%
State Representative 75,statewide,Geraldo C. Reyes Jr.,D,0,0.00%
State Representative 76,statewide,Stephen Simonin,D,1612,25.23%
State Representative 76,statewide,John Piscopo,R,4777,74.77%
State Representative 77,statewide,Cara C. Pavalock-D'Amato,R,0,0.00%
State Representative 77,statewide,"Mary ""Mim"" Rydingsward",WF,0,0.00%
State Representative 77,statewide,"Mary ""Mim"" Rydingsward",IND,0,0.00%
State Representative 78,statewide,Joe Hoxha,R,0,0.00%
State Representative 79,statewide,Mary B. Fortier,D,0,0.00%
State Representative 79,statewide,David Schrager,R,0,0.00%
State Representative 79,statewide,Mary B. Fortier,WF,0,0.00%
State Representative 79,statewide,Mary B. Fortier,IND,0,0.00%
State Representative 80,statewide,Gale L. Mastrofrancesco,R,0,0.00%
State Representative 80,statewide,Ashley Kathleen Frazer,WI,0,0.00%
State Representative 81,statewide,Chris Poulos,D,0,0.00%
State Representative 81,statewide,James E. Morelli Jr.,R,0,0.00%
State Representative 81,statewide,Chris Poulos,IND,0,0.00%
State Representative 82,statewide,Michael D. Quinn,D,0,0.00%
State Representative 82,statewide,Lamar Terrell,R,0,0.00%
State Representative 82,statewide,Michael D. Quinn,WF,0,0.00%
State Representative 83,statewide,Jack Fazzino,D,0,0.00%
State Representative 83,statewide,Joseph Vollano,R,0,0.00%
State Representative 83,statewide,Jack Fazzino,WF,0,0.00%
State Representative 83,statewide,Jack Fazzino,IND,0,0.00%
State Representative 84,statewide,Hilda E. Santiago,D,0,0.00%
State Representative 85,statewide,Mary M. Mushinsky,D,0,0.00%
State Representative 85,statewide,"Jerry Farrell, Jr.",R,0,0.00%
State Representative 85,statewide,Mary M. Mushinsky,WF,0,0.00%
State Representative 85,statewide,Mary M. Mushinsky,IND,0,0.00%
State Representative 86,statewide,Vincent J. Candelora,R,0,0.00%
State Representative 87,statewide,Kieran Ahern,D,0,0.00%
State Representative 87,statewide,David W. Yaccarino,R,0,0.00%
State Representative 87,statewide,Kieran Ahern,WF,0,0.00%
State Representative 88,statewide,Joshua Elliott,D,0,0.00%
State Representative 88,statewide,Joshua Elliott,WF,0,0.00%
State Representative 89,statewide,Lezlye Zupkus,R,2325,100.00%
State Representative 89,statewide,Stuart R. Korchin,WI,0,0.00%
State Representative 90,statewide,Rebecca Hyland,D,0,0.00%
State Representative 90,statewide,Craig Fishbein,R,0,0.00%
State Representative 90,statewide,Rebecca Hyland,WF,0,0.00%
State Representative 90,statewide,Craig Fishbein,IND,0,0.00%
State Representative 91,statewide,Laurie Sweet,D,0,0.00%
State Representative 91,statewide,Laurie Sweet,WF,0,0.00%
State Representative 92,statewide,Patricia A. Dillon,D,0,0.00%
State Representative 92,statewide,Morris Sumpter,R,0,0.00%
State Representative 93,statewide,Toni E. Walker,D,0,0.00%
State Representative 94,statewide,Steven B. Winter,D,0,0.00%
State Representative 95,statewide,Juan Candelaria,D,0,0.00%
State Representative 96,statewide,Roland J. Lemar,D,0,0.00%
State Representative 96,statewide,Andrea DiLieto Zola,R,0,0.00%
State Representative 96,statewide,Andrea DiLieto Zola,IND,0,0.00%
State Representative 97,statewide,Alphonse Paolillo Jr.,D,0,0.00%
State Representative 97,statewide,Anthony Acri,R,0,0.00%
State Representative 98,statewide,Moira Rader,D,0,0.00%
State Representative 98,statewide,Richard S. DiNardo,R,0,0.00%
State Representative 98,statewide,Moira Rader,WF,0,0.00%
State Representative 99,statewide,Joe Zullo,R,0,0.00%
State Representative 100,statewide,Kai Juanna Belton,D,0,0.00%
State Representative 100,statewide,Nigel Macon-Wilson,R,0,0.00%
State Representative 100,statewide,Kai Juanna Belton,WF,0,0.00%
State Representative 101,statewide,John-Michael Parker,D,0,0.00%
State Representative 101,statewide,Lisa Deane,R,0,0.00%
State Representative 101,statewide,John-Michael Parker,WF,0,0.00%
State Representative 101,statewide,John-Michael Parker,IND,0,0.00%
State Representative 102,statewide,Robin Comey,D,0,0.00%
State Representative 102,statewide,Ray Ingraham,R,0,0.00%
State Representative 102,statewide,Robin Comey,WF,0,0.00%
State Representative 103,statewide,Liz Linehan,D,0,0.00%
State Representative 104,statewide,Kara Rochelle,D,0,0.00%
State Representative 104,statewide,David S Cassetti,R,0,0.00%
State Representative 104,statewide,Kara Rochelle,WF,0,0.00%
State Representative 104,statewide,Thomas G. Egan,IND,0,0.00%
State Representative 105,statewide,Nicole Klarides-Ditria,R,2737,100.00%
State Representative 106,statewide,Michelle Embree Ku,D,0,0.00%
State Representative 106,statewide,Mitch Bolinsky,R,0,0.00%
State Representative 106,statewide,Michelle Embree Ku,IND,0,0.00%
State Representative 107,statewide,Aaron Zimmer,D,0,0.00%
State Representative 107,statewide,Martin J. Foncello,R,0,0.00%
State Representative 107,statewide,Aaron Zimmer,WF,0,0.00%
State Representative 107,statewide,Aaron Zimmer,IND,0,0.00%
State Representative 108,statewide,Anne Weisberg,D,0,0.00%
State Representative 108,statewide,Patrick Callahan,R,0,0.00%
State Representative 108,statewide,Anne Weisberg,WF,0,0.00%
State Representative 109,statewide,Farley A. Santos,D,0,0.00%
State Representative 109,statewide,Brenda Santopolo Hefferon,R,0,0.00%
State Representative 109,statewide,Farley A. Santos,WF,0,0.00%
State Representative 109,statewide,Farley A. Santos,IND,0,0.00%
State Representative 110,statewide,Bob Godfrey,D,0,0.00%
State Representative 110,statewide,Austin Monteiro,R,0,0.00%
State Representative 110,statewide,Bob Godfrey,WF,0,0.00%
State Representative 111,statewide,Aimee Berger-Girvalo,D,0,0.00%
State Representative 111,statewide,Colette Kabasakalian,R,0,0.00%
State Representative 111,statewide,Aimee Berger-Girvalo,IND,0,0.00%
State Representative 112,statewide,Beth Cliff,D,0,0.00%
State Representative 112,statewide,Tony Scott,R,0,0.00%
State Representative 112,statewide,Beth Cliff,WF,0,0.00%
State Representative 112,statewide,Beth Cliff,IND,0,0.00%
State Representative 113,statewide,Jason Perillo,R,0,0.00%
State Representative 114,statewide,Mary Welander,D,0,0.00%
State Representative 114,statewide,Mary Welander,IND,0,0.00%
State Representative 115,statewide,William J. Heffernan III,D,0,0.00%
State Representative 116,statewide,Trenee McGee,D,0,0.00%
State Representative 117,statewide,MJ Shannon,D,0,0.00%
State Representative 117,statewide,Raymond V. Collins III,R,0,0.00%
State Representative 117,statewide,MJ Shannon,WF,0,0.00%
State Representative 117,statewide,MJ Shannon,IND,0,0.00%
State Representative 118,statewide,Frank Smith,D,0,0.00%
State Representative 118,statewide,Mark Macchio,R,0,0.00%
State Representative 118,statewide,Frank Smith,WF,0,0.00%
State Representative 119,statewide,Etan Hirsch,D,0,0.00%
State Representative 119,statewide,Kathy Kennedy,R,0,0.00%
State Representative 119,statewide,Kathy Kennedy,IND,0,0.00%
State Representative 120,statewide,Kaitlyn Shake,D,0,0.00%
State Representative 120,statewide,Laura Dancho,R,0,0.00%
State Representative 120,statewide,Kaitlyn Shake,WF,0,0.00%
State Representative 120,statewide,Laura Dancho,IND,0,0.00%
State Representative 121,statewide,Joseph P. Gresko,D,0,0.00%
State Representative 121,statewide,Rafael Irizarry,R,0,0.00%
State Representative 122,statewide,"Dorothy ""Dottie"" Lerner",D,0,0.00%
