office,town,candidate,party,votes,vote_percent
Presidential Electors for,statewide,Harris and Walz,D,56263,49.04%
Presidential Electors for,statewide,Trump and Vance,R,56608,49.34%
Presidential Electors for,statewide,Stein and Ware,G,634,0.55%
Presidential Electors for,statewide,Oliver and ter Maat,LI,543,0.47%
Presidential Electors for,statewide,"Kennedy, Jr. and Shanahan",PC,663,0.58%
Presidential Electors for,statewide,De la Cruz and Garcia,WI,8,0.01%
Presidential Electors for,statewide,Fox and McVay,WI,0,0.00%
Presidential Electors for,statewide,McNeil and McNeil,WI,0,0.00%
Presidential Electors for,statewide,Potus and Kennedy,WI,0,0.00%
Presidential Electors for,statewide,Ayyadurai and Ellis,WI,0,0.00%
Presidential Electors for,statewide,Sonski and Onak,WI,5,0.00%
Presidential Electors for,statewide,West and Abdullah,WI,4,0.00%
United States Senator,statewide,Christopher S. Murphy,D,55092,48.88%
United States Senator,statewide,Matthew M. Corey,R,52753,46.80%
United States Senator,statewide,Christopher S. Murphy,WF,2986,2.65%
United States Senator,statewide,Justin C. Paglino,G,795,0.71%
United States Senator,statewide,Robert Finley Hyde,CGG,1083,0.96%
United States Senator,statewide,John Flynn,WI,2,0.00%
Representative in Congress 1,statewide,John B. Larson,D,395,42.16%
Representative in Congress 1,statewide,Jim Griffin,R,502,53.58%
Representative in Congress 1,statewide,John B. Larson,WF,29,3.09%
Representative in Congress 1,statewide,Mary L. Sanders,G,11,1.17%
Representative in Congress 2,statewide,Joe Courtney,D,36062,51.93%
Representative in Congress 2,statewide,Mike France,R,33384,48.07%
Representative in Congress 2,statewide,"Kenneth Kusmierski, Jr.",WI,0,0.00%
Representative in Congress 2,statewide,Jeffery Russell,WI,2,0.00%
Representative in Congress 3,statewide,Rosa L. DeLauro,D,3346,47.17%
Representative in Congress 3,statewide,Michael Massey,R,3615,50.97%
Representative in Congress 3,statewide,Michael Massey,IND,131,1.85%
Representative in Congress 3,statewide,Leo Almoney,WI,0,0.00%
Representative in Congress 3,statewide,Omar Scott Antar,WI,1,0.01%
Representative in Congress 3,statewide,Shahd Omar,WI,0,0.00%
Representative in Congress 4,statewide,Jim Himes,D,3526,63.02%
Representative in Congress 4,statewide,Michael Goldstein,R,1978,35.35%
Representative in Congress 4,statewide,Benjamin Wesley,IND,91,1.63%
