office,town,candidate,party,votes,vote_percent
Treasurer,Bethany,Shawn Wooden,D,251,54.57%
Treasurer,Bethany,Dita Bhargava,D,209,45.43%
Attorney General,Bethany,William Tong,D,293,64.25%
Attorney General,Bethany,Paul R Doyle,D,22,4.82%
Attorney General,Bethany,Chris Mattei,D,141,30.92%
Governor,Bethel,Ned Lamont,D,886,85.52%
Governor,Bethel,Joe Ganim,D,150,14.48%
Lieutenant Governor,Bethel,Susan Bysiewicz,D,660,64.45%
Lieutenant Governor,Bethel,Eva Bermudez Zimmerman,D,364,35.55%
Representative in Congress 05,Bethel,Mary Messina Glassman,D,354,34.24%
Representative in Congress 05,Bethel,Jahana Hayes,D,680,65.76%
Treasurer,Bethel,Shawn Wooden,D,475,47.12%
Treasurer,Bethel,Dita Bhargava,D,533,52.88%
Attorney General,Bethel,William Tong,D,626,61.61%
Attorney General,Bethel,Paul R Doyle,D,122,12.01%
Attorney General,Bethel,Chris Mattei,D,268,26.38%
Governor,Bethlehem,Ned Lamont,D,245,80.86%
Governor,Bethlehem,Joe Ganim,D,58,19.14%
Lieutenant Governor,Bethlehem,Susan Bysiewicz,D,204,68.92%
Lieutenant Governor,Bethlehem,Eva Bermudez Zimmerman,D,92,31.08%
Representative in Congress 05,Bethlehem,Mary Messina Glassman,D,82,27.24%
Representative in Congress 05,Bethlehem,Jahana Hayes,D,219,72.76%
Treasurer,Bethlehem,Shawn Wooden,D,153,53.13%
Treasurer,Bethlehem,Dita Bhargava,D,135,46.88%
Attorney General,Bethlehem,William Tong,D,185,63.57%
Attorney General,Bethlehem,Paul R Doyle,D,41,14.09%
Attorney General,Bethlehem,Chris Mattei,D,65,22.34%
Governor,Bloomfield,Ned Lamont,D,2451,81.78%
Governor,Bloomfield,Joe Ganim,D,546,18.22%
Lieutenant Governor,Bloomfield,Susan Bysiewicz,D,1786,59.51%
Lieutenant Governor,Bloomfield,Eva Bermudez Zimmerman,D,1215,40.49%
Treasurer,Bloomfield,Shawn Wooden,D,2182,73.92%
Treasurer,Bloomfield,Dita Bhargava,D,770,26.08%
Attorney General,Bloomfield,William Tong,D,1824,61.48%
Attorney General,Bloomfield,Paul R Doyle,D,288,9.71%
Attorney General,Bloomfield,Chris Mattei,D,855,28.82%
Governor,Bolton,Ned Lamont,D,330,87.77%
Governor,Bolton,Joe Ganim,D,46,12.23%
Lieutenant Governor,Bolton,Susan Bysiewicz,D,238,63.13%
Lieutenant Governor,Bolton,Eva Bermudez Zimmerman,D,139,36.87%
Treasurer,Bolton,Shawn Wooden,D,181,51.27%
Treasurer,Bolton,Dita Bhargava,D,172,48.73%
Attorney General,Bolton,William Tong,D,209,57.26%
Attorney General,Bolton,Paul R Doyle,D,41,11.23%
Attorney General,Bolton,Chris Mattei,D,115,31.51%
Governor,Bozrah,Ned Lamont,D,112,77.78%
Governor,Bozrah,Joe Ganim,D,32,22.22%
Lieutenant Governor,Bozrah,Susan Bysiewicz,D,103,67.76%
Lieutenant Governor,Bozrah,Eva Bermudez Zimmerman,D,49,32.24%
Treasurer,Bozrah,Shawn Wooden,D,90,60.40%
Treasurer,Bozrah,Dita Bhargava,D,59,39.60%
Attorney General,Bozrah,William Tong,D,88,58.67%
Attorney General,Bozrah,Paul R Doyle,D,17,11.33%
Attorney General,Bozrah,Chris Mattei,D,45,30.00%
Governor,Branford,Ned Lamont,D,1983,85.84%
Governor,Branford,Joe Ganim,D,327,14.16%
Lieutenant Governor,Branford,Susan Bysiewicz,D,1439,62.24%
Lieutenant Governor,Branford,Eva Bermudez Zimmerman,D,873,37.76%
Treasurer,Branford,Shawn Wooden,D,1262,55.91%
Treasurer,Branford,Dita Bhargava,D,995,44.09%
Attorney General,Branford,William Tong,D,1289,56.83%
Attorney General,Branford,Paul R Doyle,D,201,8.86%
Attorney General,Branford,Chris Mattei,D,778,34.30%
Governor,Bridgeport,Ned Lamont,D,3703,42.50%
Governor,Bridgeport,Joe Ganim,D,5009,57.50%
Lieutenant Governor,Bridgeport,Susan Bysiewicz,D,3353,44.34%
Lieutenant Governor,Bridgeport,Eva Bermudez Zimmerman,D,4209,55.66%
State Senator 23,Bridgeport,Dennis Bradley,D,2727,56.15%
State Senator 23,Bridgeport,Aaron Turner,D,2130,43.85%
State Representative 126,Bridgeport,Shante Hanks,D,1037,47.53%
State Representative 126,Bridgeport,Charlie Stallworth,D,1145,52.47%
Treasurer,Bridgeport,Shawn Wooden,D,3870,50.67%
Treasurer,Bridgeport,Dita Bhargava,D,3767,49.33%
Attorney General,Bridgeport,William Tong,D,3745,47.87%
Attorney General,Bridgeport,Paul R Doyle,D,3163,40.43%
Attorney General,Bridgeport,Chris Mattei,D,915,11.70%
Governor,Bridgewater,Ned Lamont,D,154,90.59%
Governor,Bridgewater,Joe Ganim,D,16,9.41%
Lieutenant Governor,Bridgewater,Susan Bysiewicz,D,122,69.32%
Lieutenant Governor,Bridgewater,Eva Bermudez Zimmerman,D,54,30.68%
Representative in Congress 05,Bridgewater,Mary Messina Glassman,D,65,36.72%
Representative in Congress 05,Bridgewater,Jahana Hayes,D,112,63.28%
Treasurer,Bridgewater,Shawn Wooden,D,96,57.83%
Treasurer,Bridgewater,Dita Bhargava,D,70,42.17%
Attorney General,Bridgewater,William Tong,D,110,65.48%
Attorney General,Bridgewater,Paul R Doyle,D,21,12.50%
Attorney General,Bridgewater,Chris Mattei,D,37,22.02%
Governor,Bristol,Ned Lamont,D,2480,83.84%
Governor,Bristol,Joe Ganim,D,478,16.16%
Lieutenant Governor,Bristol,Susan Bysiewicz,D,2027,68.60%
Lieutenant Governor,Bristol,Eva Bermudez Zimmerman,D,928,31.40%
Treasurer,Bristol,Shawn Wooden,D,1761,60.56%
Treasurer,Bristol,Dita Bhargava,D,1147,39.44%
Attorney General,Bristol,William Tong,D,1686,57.27%
Attorney General,Bristol,Paul R Doyle,D,437,14.84%
Attorney General,Bristol,Chris Mattei,D,821,27.89%
Governor,Brookfield,Ned Lamont,D,663,88.52%
Governor,Brookfield,Joe Ganim,D,86,11.48%
Lieutenant Governor,Brookfield,Susan Bysiewicz,D,505,66.89%
Lieutenant Governor,Brookfield,Eva Bermudez Zimmerman,D,250,33.11%
Representative in Congress 05,Brookfield,Mary Messina Glassman,D,285,38.10%
Representative in Congress 05,Brookfield,Jahana Hayes,D,463,61.90%
Treasurer,Brookfield,Shawn Wooden,D,375,52.01%
Treasurer,Brookfield,Dita Bhargava,D,346,47.99%
Attorney General,Brookfield,William Tong,D,443,60.11%
Attorney General,Brookfield,Paul R Doyle,D,81,10.99%
Attorney General,Brookfield,Chris Mattei,D,213,28.90%
Governor,Brooklyn,Ned Lamont,D,246,84.83%
Governor,Brooklyn,Joe Ganim,D,44,15.17%
Lieutenant Governor,Brooklyn,Susan Bysiewicz,D,186,63.70%
Lieutenant Governor,Brooklyn,Eva Bermudez Zimmerman,D,106,36.30%
Treasurer,Brooklyn,Shawn Wooden,D,161,56.29%
Treasurer,Brooklyn,Dita Bhargava,D,125,43.71%
Attorney General,Brooklyn,William Tong,D,182,62.98%
Attorney General,Brooklyn,Paul R Doyle,D,28,9.69%
Attorney General,Brooklyn,Chris Mattei,D,79,27.34%
Governor,Burlington,Ned Lamont,D,490,89.42%
Governor,Burlington,Joe Ganim,D,58,10.58%
Lieutenant Governor,Burlington,Susan Bysiewicz,D,343,62.36%
Lieutenant Governor,Burlington,Eva Bermudez Zimmerman,D,207,37.64%
Representative in Congress 05,Burlington,Mary Messina Glassman,D,280,51.28%
Representative in Congress 05,Burlington,Jahana Hayes,D,266,48.72%
Treasurer,Burlington,Shawn Wooden,D,298,56.02%
Treasurer,Burlington,Dita Bhargava,D,234,43.98%
Attorney General,Burlington,William Tong,D,329,60.59%
Attorney General,Burlington,Paul R Doyle,D,59,10.87%
Attorney General,Burlington,Chris Mattei,D,155,28.55%
Governor,Canaan,Ned Lamont,D,121,92.37%
Governor,Canaan,Joe Ganim,D,10,7.63%
Lieutenant Governor,Canaan,Susan Bysiewicz,D,82,64.06%
Lieutenant Governor,Canaan,Eva Bermudez Zimmerman,D,46,35.94%
Representative in Congress 05,Canaan,Mary Messina Glassman,D,17,12.69%
Representative in Congress 05,Canaan,Jahana Hayes,D,117,87.31%
Treasurer,Canaan,Shawn Wooden,D,71,58.68%
Treasurer,Canaan,Dita Bhargava,D,50,41.32%
Attorney General,Canaan,William Tong,D,91,73.39%
Attorney General,Canaan,Paul R Doyle,D,12,9.68%
Attorney General,Canaan,Chris Mattei,D,21,16.94%
Governor,Canterbury,Ned Lamont,D,209,90.09%
Governor,Canterbury,Joe Ganim,D,23,9.91%
Lieutenant Governor,Canterbury,Susan Bysiewicz,D,169,74.12%
Lieutenant Governor,Canterbury,Eva Bermudez Zimmerman,D,59,25.88%
Treasurer,Canterbury,Shawn Wooden,D,128,57.40%
Treasurer,Canterbury,Dita Bhargava,D,95,42.60%
Attorney General,Canterbury,William Tong,D,148,66.07%
Attorney General,Canterbury,Paul R Doyle,D,25,11.16%
Attorney General,Canterbury,Chris Mattei,D,51,22.77%
Judge of Probate 27,Canterbury,Andrea Truppa,D,171,74.67%
Judge of Probate 27,Canterbury,Michael J Cartier,D,58,25.33%
Governor,Canton,Ned Lamont,D,787,90.67%
Governor,Canton,Joe Ganim,D,81,9.33%
Lieutenant Governor,Canton,Susan Bysiewicz,D,505,58.79%
Lieutenant Governor,Canton,Eva Bermudez Zimmerman,D,354,41.21%
Representative in Congress 05,Canton,Mary Messina Glassman,D,431,48.98%
Representative in Congress 05,Canton,Jahana Hayes,D,449,51.02%
Treasurer,Canton,Shawn Wooden,D,440,52.95%
Treasurer,Canton,Dita Bhargava,D,391,47.05%
Attorney General,Canton,William Tong,D,537,63.10%
Attorney General,Canton,Paul R Doyle,D,70,8.23%
Attorney General,Canton,Chris Mattei,D,244,28.67%
Governor,Chaplin,Ned Lamont,D,131,94.24%
Governor,Chaplin,Joe Ganim,D,8,5.76%
Lieutenant Governor,Chaplin,Susan Bysiewicz,D,77,55.80%
Lieutenant Governor,Chaplin,Eva Bermudez Zimmerman,D,61,44.20%
Treasurer,Chaplin,Shawn Wooden,D,88,64.71%
Treasurer,Chaplin,Dita Bhargava,D,48,35.29%
Attorney General,Chaplin,William Tong,D,91,67.91%
Attorney General,Chaplin,Paul R Doyle,D,14,10.45%
Attorney General,Chaplin,Chris Mattei,D,29,21.64%
Governor,Cheshire,Ned Lamont,D,1675,84.72%
Governor,Cheshire,Joe Ganim,D,302,15.28%
Lieutenant Governor,Cheshire,Susan Bysiewicz,D,1312,66.00%
Lieutenant Governor,Cheshire,Eva Bermudez Zimmerman,D,676,34.00%
Representative in Congress 05,Cheshire,Mary Messina Glassman,D,656,32.92%
Representative in Congress 05,Cheshire,Jahana Hayes,D,1337,67.08%
State Senator 13,Cheshire,Mary Daugherty Abrams,D,1138,77.15%
State Senator 13,Cheshire,Alex Tiktinsky,D,337,22.85%
State Senator 16,Cheshire,Dagmara Scalise,D,205,43.34%
State Senator 16,Cheshire,Vickie Orsini Nardello,D,268,56.66%
Treasurer,Cheshire,Shawn Wooden,D,985,50.77%
Treasurer,Cheshire,Dita Bhargava,D,955,49.23%
Attorney General,Cheshire,William Tong,D,1188,60.64%
Attorney General,Cheshire,Paul R Doyle,D,224,11.43%
Attorney General,Cheshire,Chris Mattei,D,547,27.92%
Governor,Chester,Ned Lamont,D,375,93.52%
Governor,Chester,Joe Ganim,D,26,6.48%
Lieutenant Governor,Chester,Susan Bysiewicz,D,257,63.77%
Lieutenant Governor,Chester,Eva Bermudez Zimmerman,D,146,36.23%
Treasurer,Chester,Shawn Wooden,D,255,66.06%
Treasurer,Chester,Dita Bhargava,D,131,33.94%
Attorney General,Chester,William Tong,D,268,68.54%
Attorney General,Chester,Paul R Doyle,D,33,8.44%
Attorney General,Chester,Chris Mattei,D,90,23.02%
Governor,Clinton,Ned Lamont,D,709,84.71%
Governor,Clinton,Joe Ganim,D,128,15.29%
Lieutenant Governor,Clinton,Susan Bysiewicz,D,565,67.83%
Lieutenant Governor,Clinton,Eva Bermudez Zimmerman,D,268,32.17%
Treasurer,Clinton,Shawn Wooden,D,501,61.70%
Treasurer,Clinton,Dita Bhargava,D,311,38.30%
Attorney General,Clinton,William Tong,D,528,64.08%
Attorney General,Clinton,Paul R Doyle,D,80,9.71%
Attorney General,Clinton,Chris Mattei,D,216,26.21%
Governor,Colchester,Ned Lamont,D,840,88.79%
Governor,Colchester,Joe Ganim,D,106,11.21%
Lieutenant Governor,Colchester,Susan Bysiewicz,D,618,64.92%
Lieutenant Governor,Colchester,Eva Bermudez Zimmerman,D,334,35.08%
Treasurer,Colchester,Shawn Wooden,D,518,56.30%
Treasurer,Colchester,Dita Bhargava,D,402,43.70%
Attorney General,Colchester,William Tong,D,511,54.36%
Attorney General,Colchester,Paul R Doyle,D,130,13.83%
Attorney General,Colchester,Chris Mattei,D,299,31.81%
Governor,Colebrook,Ned Lamont,D,77,85.56%
Governor,Colebrook,Joe Ganim,D,13,14.44%
Lieutenant Governor,Colebrook,Susan Bysiewicz,D,64,71.11%
Lieutenant Governor,Colebrook,Eva Bermudez Zimmerman,D,26,28.89%
Treasurer,Colebrook,Shawn Wooden,D,48,54.55%
Treasurer,Colebrook,Dita Bhargava,D,40,45.45%
Attorney General,Colebrook,William Tong,D,66,74.16%
Attorney General,Colebrook,Paul R Doyle,D,6,6.74%
Attorney General,Colebrook,Chris Mattei,D,17,19.10%
Governor,Columbia,Ned Lamont,D,385,91.67%
Governor,Columbia,Joe Ganim,D,35,8.33%
Lieutenant Governor,Columbia,Susan Bysiewicz,D,237,57.66%
Lieutenant Governor,Columbia,Eva Bermudez Zimmerman,D,174,42.34%
Treasurer,Columbia,Shawn Wooden,D,225,56.68%
Treasurer,Columbia,Dita Bhargava,D,172,43.32%
Attorney General,Columbia,William Tong,D,232,57.43%
Attorney General,Columbia,Paul R Doyle,D,47,11.63%
Attorney General,Columbia,Chris Mattei,D,125,30.94%
Governor,Cornwall,Ned Lamont,D,286,93.16%
Governor,Cornwall,Joe Ganim,D,21,6.84%
Lieutenant Governor,Cornwall,Susan Bysiewicz,D,165,55.18%
Lieutenant Governor,Cornwall,Eva Bermudez Zimmerman,D,134,44.82%
Representative in Congress 05,Cornwall,Mary Messina Glassman,D,49,15.65%
Representative in Congress 05,Cornwall,Jahana Hayes,D,264,84.35%
Treasurer,Cornwall,Shawn Wooden,D,171,58.97%
Treasurer,Cornwall,Dita Bhargava,D,119,41.03%
Attorney General,Cornwall,William Tong,D,233,80.34%
Attorney General,Cornwall,Paul R Doyle,D,26,8.97%
Attorney General,Cornwall,Chris Mattei,D,31,10.69%
Governor,Coventry,Ned Lamont,D,707,91.11%
Governor,Coventry,Joe Ganim,D,69,8.89%
Lieutenant Governor,Coventry,Susan Bysiewicz,D,477,61.39%
Lieutenant Governor,Coventry,Eva Bermudez Zimmerman,D,300,38.61%
Treasurer,Coventry,Shawn Wooden,D,408,53.54%
Treasurer,Coventry,Dita Bhargava,D,354,46.46%
Attorney General,Coventry,William Tong,D,468,60.86%
Attorney General,Coventry,Paul R Doyle,D,77,10.01%
Attorney General,Coventry,Chris Mattei,D,224,29.13%
Governor,Cromwell,Ned Lamont,D,970,85.46%
Governor,Cromwell,Joe Ganim,D,165,14.54%
Lieutenant Governor,Cromwell,Susan Bysiewicz,D,759,66.70%
Lieutenant Governor,Cromwell,Eva Bermudez Zimmerman,D,379,33.30%
State Senator 09,Cromwell,"Antonio ""Tony"" Guerrera",D,394,34.50%
State Senator 09,Cromwell,Matt Lesser,D,748,65.50%
Treasurer,Cromwell,Shawn Wooden,D,595,53.60%
Treasurer,Cromwell,Dita Bhargava,D,515,46.40%
Attorney General,Cromwell,William Tong,D,428,37.19%
Attorney General,Cromwell,Paul R Doyle,D,502,43.61%
Attorney General,Cromwell,Chris Mattei,D,221,19.20%
Governor,Danbury,Ned Lamont,D,2259,84.20%
Governor,Danbury,Joe Ganim,D,424,15.80%
Lieutenant Governor,Danbury,Susan Bysiewicz,D,1635,60.98%
Lieutenant Governor,Danbury,Eva Bermudez Zimmerman,D,1046,39.02%
Representative in Congress 05,Danbury,Mary Messina Glassman,D,966,35.41%
Representative in Congress 05,Danbury,Jahana Hayes,D,1762,64.59%
Treasurer,Danbury,Shawn Wooden,D,1395,52.98%
Treasurer,Danbury,Dita Bhargava,D,1238,47.02%
Attorney General,Danbury,William Tong,D,1576,59.03%
Attorney General,Danbury,Paul R Doyle,D,405,15.17%
Attorney General,Danbury,Chris Mattei,D,689,25.81%
Governor,Darien,Ned Lamont,D,679,94.31%
Governor,Darien,Joe Ganim,D,41,5.69%
Lieutenant Governor,Darien,Susan Bysiewicz,D,562,80.63%
Lieutenant Governor,Darien,Eva Bermudez Zimmerman,D,135,19.37%
Treasurer,Darien,Shawn Wooden,D,366,53.35%
Treasurer,Darien,Dita Bhargava,D,320,46.65%
Attorney General,Darien,William Tong,D,595,83.68%
Attorney General,Darien,Paul R Doyle,D,38,5.34%
Attorney General,Darien,Chris Mattei,D,78,10.97%
Governor,Deep River,Ned Lamont,D,338,88.95%
Governor,Deep River,Joe Ganim,D,42,11.05%
Lieutenant Governor,Deep River,Susan Bysiewicz,D,258,68.25%
Lieutenant Governor,Deep River,Eva Bermudez Zimmerman,D,120,31.75%
Treasurer,Deep River,Shawn Wooden,D,208,56.37%
Treasurer,Deep River,Dita Bhargava,D,161,43.63%
Attorney General,Deep River,William Tong,D,236,65.01%
Attorney General,Deep River,Paul R Doyle,D,38,10.47%
Attorney General,Deep River,Chris Mattei,D,89,24.52%
Governor,Derby,Ned Lamont,D,449,62.97%
Governor,Derby,Joe Ganim,D,264,37.03%
Lieutenant Governor,Derby,Susan Bysiewicz,D,483,69.30%
Lieutenant Governor,Derby,Eva Bermudez Zimmerman,D,214,30.70%
State Senator 17,Derby,Jorge Cabrera,D,293,41.68%
State Senator 17,Derby,Sean Grace,D,220,31.29%
State Senator 17,Derby,Valerie Horsley,D,190,27.03%
Treasurer,Derby,Shawn Wooden,D,398,59.14%
Treasurer,Derby,Dita Bhargava,D,275,40.86%
Attorney General,Derby,William Tong,D,328,47.13%
Attorney General,Derby,Paul R Doyle,D,104,14.94%
Attorney General,Derby,Chris Mattei,D,264,37.93%
Governor,Durham,Ned Lamont,D,436,87.20%
Governor,Durham,Joe Ganim,D,64,12.80%
Lieutenant Governor,Durham,Susan Bysiewicz,D,324,64.16%
Lieutenant Governor,Durham,Eva Bermudez Zimmerman,D,181,35.84%
State Senator 34,Durham,Aili McKeen,D,85,66.93%
State Senator 34,Durham,Josh Balter,D,42,33.07%
Treasurer,Durham,Shawn Wooden,D,274,57.08%
Treasurer,Durham,Dita Bhargava,D,206,42.92%
Attorney General,Durham,William Tong,D,261,52.94%
Attorney General,Durham,Paul R Doyle,D,72,14.60%
Attorney General,Durham,Chris Mattei,D,160,32.45%
Governor,Eastford,Ned Lamont,D,98,89.09%
Governor,Eastford,Joe Ganim,D,12,10.91%
Lieutenant Governor,Eastford,Susan Bysiewicz,D,54,48.21%
Lieutenant Governor,Eastford,Eva Bermudez Zimmerman,D,58,51.79%
Treasurer,Eastford,Shawn Wooden,D,78,70.27%
Treasurer,Eastford,Dita Bhargava,D,33,29.73%
Attorney General,Eastford,William Tong,D,73,65.18%
Attorney General,Eastford,Paul R Doyle,D,18,16.07%
Attorney General,Eastford,Chris Mattei,D,21,18.75%
Governor,East Granby,Ned Lamont,D,281,90.06%
Governor,East Granby,Joe Ganim,D,31,9.94%
Lieutenant Governor,East Granby,Susan Bysiewicz,D,211,67.20%
Lieutenant Governor,East Granby,Eva Bermudez Zimmerman,D,103,32.80%
