office,town,candidate,party,votes,vote_percent
Governor,statewide,Ned Lamont,D,172567,81.19%
Governor,statewide,Joe Ganim,D,39976,18.81%
Lieutenant Governor,statewide,Susan Bysiewicz,D,130451,62.20%
Lieutenant Governor,statewide,Eva Bermudez Zimmerman,D,79281,37.80%
Representative in Congress 05,statewide,Mary Messina Glassman,D,14964,37.73%
Representative in Congress 05,statewide,Jahana Hayes,D,24693,62.27%
State Senator 09,statewide,"Antonio ""Tony"" Guerrera",D,3699,43.63%
State Senator 09,statewide,Matt Lesser,D,4779,56.37%
State Senator 13,statewide,Mary Daugherty Abrams,D,4296,73.21%
State Senator 13,statewide,Alex Tiktinsky,D,1572,26.79%
State Senator 16,statewide,Dagmara Scalise,D,2642,49.65%
State Senator 16,statewide,Vickie Orsini Nardello,D,2679,50.35%
State Senator 17,statewide,Jorge Cabrera,D,2508,38.82%
State Senator 17,statewide,Sean Grace,D,1832,28.35%
State Senator 17,statewide,Valerie Horsley,D,2121,32.83%
State Senator 23,statewide,Dennis Bradley,D,2989,54.78%
State Senator 23,statewide,Aaron Turner,D,2467,45.22%
State Senator 34,statewide,Aili McKeen,D,3242,70.88%
State Senator 34,statewide,Josh Balter,D,1332,29.12%
State Representative 03,statewide,Minnie Gonzalez,D,847,65.15%
State Representative 03,statewide,Gannon R Long,D,453,34.85%
State Representative 05,statewide,Lawrence O Jaggon,D,597,25.95%
State Representative 05,statewide,Brandon McGee,D,1704,74.05%
State Representative 18,statewide,Andy Fleischmann,D,1558,47.72%
State Representative 18,statewide,Jillian Gilchrest,D,1707,52.28%
State Representative 29,statewide,Christopher Duff,D,994,46.17%
State Representative 29,statewide,Kerry Szeps Wood,D,1159,53.83%
State Representative 38,statewide,Baird Welch-Collins,D,616,36.84%
State Representative 38,statewide,Nick Gauthier,D,448,26.79%
State Representative 38,statewide,Patrick Murphy,D,608,36.36%
State Representative 43,statewide,Kate Rotella,D,1151,52.99%
State Representative 43,statewide,Chris Donahue,D,1021,47.01%
State Representative 60,statewide,Jane M Garibay,D,1368,67.39%
State Representative 60,statewide,Kathleen Tracy,D,662,32.61%
State Representative 126,statewide,Shante Hanks,D,1037,47.53%
State Representative 126,statewide,Charlie Stallworth,D,1145,52.47%
State Representative 140,statewide,Travis Simms,D,562,53.22%
State Representative 140,statewide,Colin Anthony Hosten,D,494,46.78%
State Representative 146,statewide,David Michel,D,1063,68.49%
State Representative 146,statewide,Terry B Adams,D,489,31.51%
Treasurer,statewide,Shawn Wooden,D,116167,56.82%
Treasurer,statewide,Dita Bhargava,D,88298,43.18%
Attorney General,statewide,William Tong,D,119574,57.43%
Attorney General,statewide,Paul R Doyle,D,34822,16.72%
Attorney General,statewide,Chris Mattei,D,53822,25.85%
Judge of Probate 27,statewide,Andrea Truppa,D,1132,65.43%
Judge of Probate 27,statewide,Michael J Cartier,D,598,34.57%
Judge of Probate 51,statewide,Doug Stern,D,3680,72.93%
Judge of Probate 51,statewide,Darnell D Crosland,D,1366,27.07%
Registrar of Voters,statewide,Donna Ferguson,D,376,44.71%
Registrar of Voters,statewide,James D Pape,D,465,55.29%
Registrar of Voters,statewide,Karen Stockton,D,151,63.71%
Registrar of Voters,statewide,Cheryl A. Roberts,D,86,36.29%
Registrar of Voters,statewide,Mary Hegarty,D,2269,85.98%
Registrar of Voters,statewide,Joseph S Huley,D,370,14.02%
Governor,Andover,Ned Lamont,D,218,87.20%
Governor,Andover,Joe Ganim,D,32,12.80%
Lieutenant Governor,Andover,Susan Bysiewicz,D,155,62.00%
Lieutenant Governor,Andover,Eva Bermudez Zimmerman,D,95,38.00%
Treasurer,Andover,Shawn Wooden,D,121,50.00%
Treasurer,Andover,Dita Bhargava,D,121,50.00%
Attorney General,Andover,William Tong,D,126,52.07%
Attorney General,Andover,Paul R Doyle,D,42,17.36%
Attorney General,Andover,Chris Mattei,D,74,30.58%
Governor,Ansonia,Ned Lamont,D,517,62.14%
Governor,Ansonia,Joe Ganim,D,315,37.86%
Lieutenant Governor,Ansonia,Susan Bysiewicz,D,522,63.35%
Lieutenant Governor,Ansonia,Eva Bermudez Zimmerman,D,302,36.65%
State Senator 17,Ansonia,Jorge Cabrera,D,303,36.82%
State Senator 17,Ansonia,Sean Grace,D,255,30.98%
State Senator 17,Ansonia,Valerie Horsley,D,265,32.20%
Treasurer,Ansonia,Shawn Wooden,D,471,58.51%
Treasurer,Ansonia,Dita Bhargava,D,334,41.49%
Attorney General,Ansonia,William Tong,D,379,46.50%
Attorney General,Ansonia,Paul R Doyle,D,175,21.47%
Attorney General,Ansonia,Chris Mattei,D,261,32.02%
Governor,Ashford,Ned Lamont,D,344,88.43%
Governor,Ashford,Joe Ganim,D,45,11.57%
Lieutenant Governor,Ashford,Susan Bysiewicz,D,247,63.50%
Lieutenant Governor,Ashford,Eva Bermudez Zimmerman,D,142,36.50%
Treasurer,Ashford,Shawn Wooden,D,208,54.59%
Treasurer,Ashford,Dita Bhargava,D,173,45.41%
Attorney General,Ashford,William Tong,D,251,65.71%
Attorney General,Ashford,Paul R Doyle,D,35,9.16%
Attorney General,Ashford,Chris Mattei,D,96,25.13%
Governor,Avon,Ned Lamont,D,1330,92.75%
Governor,Avon,Joe Ganim,D,104,7.25%
Lieutenant Governor,Avon,Susan Bysiewicz,D,943,65.90%
Lieutenant Governor,Avon,Eva Bermudez Zimmerman,D,488,34.10%
Representative in Congress 05,Avon,Mary Messina Glassman,D,844,58.45%
Representative in Congress 05,Avon,Jahana Hayes,D,600,41.55%
Treasurer,Avon,Shawn Wooden,D,768,55.29%
Treasurer,Avon,Dita Bhargava,D,621,44.71%
Attorney General,Avon,William Tong,D,906,64.16%
Attorney General,Avon,Paul R Doyle,D,128,9.07%
Attorney General,Avon,Chris Mattei,D,378,26.77%
Governor,Barkhamsted,Ned Lamont,D,179,90.40%
Governor,Barkhamsted,Joe Ganim,D,19,9.60%
Lieutenant Governor,Barkhamsted,Susan Bysiewicz,D,137,67.82%
Lieutenant Governor,Barkhamsted,Eva Bermudez Zimmerman,D,65,32.18%
Treasurer,Barkhamsted,Shawn Wooden,D,105,54.12%
Treasurer,Barkhamsted,Dita Bhargava,D,89,45.88%
Attorney General,Barkhamsted,William Tong,D,120,60.00%
Attorney General,Barkhamsted,Paul R Doyle,D,19,9.50%
Attorney General,Barkhamsted,Chris Mattei,D,61,30.50%
Governor,Beacon Falls,Ned Lamont,D,255,74.34%
Governor,Beacon Falls,Joe Ganim,D,88,25.66%
Lieutenant Governor,Beacon Falls,Susan Bysiewicz,D,244,71.76%
Lieutenant Governor,Beacon Falls,Eva Bermudez Zimmerman,D,96,28.24%
State Senator 17,Beacon Falls,Jorge Cabrera,D,76,22.29%
State Senator 17,Beacon Falls,Sean Grace,D,200,58.65%
State Senator 17,Beacon Falls,Valerie Horsley,D,65,19.06%
Treasurer,Beacon Falls,Shawn Wooden,D,195,59.27%
Treasurer,Beacon Falls,Dita Bhargava,D,134,40.73%
Attorney General,Beacon Falls,William Tong,D,185,54.90%
Attorney General,Beacon Falls,Paul R Doyle,D,50,14.84%
Attorney General,Beacon Falls,Chris Mattei,D,102,30.27%
Governor,Berlin,Ned Lamont,D,1107,81.76%
Governor,Berlin,Joe Ganim,D,247,18.24%
Lieutenant Governor,Berlin,Susan Bysiewicz,D,923,68.37%
Lieutenant Governor,Berlin,Eva Bermudez Zimmerman,D,427,31.63%
Treasurer,Berlin,Shawn Wooden,D,759,58.47%
Treasurer,Berlin,Dita Bhargava,D,539,41.53%
Attorney General,Berlin,William Tong,D,750,56.39%
Attorney General,Berlin,Paul R Doyle,D,264,19.85%
Attorney General,Berlin,Chris Mattei,D,316,23.76%
Governor,Bethany,Ned Lamont,D,409,87.02%
Governor,Bethany,Joe Ganim,D,61,12.98%
Lieutenant Governor,Bethany,Susan Bysiewicz,D,299,63.62%
Lieutenant Governor,Bethany,Eva Bermudez Zimmerman,D,171,36.38%
State Senator 17,Bethany,Jorge Cabrera,D,248,53.22%
State Senator 17,Bethany,Sean Grace,D,63,13.52%
State Senator 17,Bethany,Valerie Horsley,D,155,33.26%
