office,town,candidate,party,votes,vote_percent
State Senator 2,statewide,Douglas McCrory,D,3673,59.60%
State Senator 2,statewide,Shellye Davis,D,525,8.52%
State Senator 2,statewide,Ayana Taylor,D,1965,31.88%
State Senator 7,statewide,Cynthia Mangini,D,1656,66.03%
State Senator 7,statewide,Nathan Wolliston,D,852,33.97%
State Senator 22,statewide,No Party Endorsement,D,0,0.00%
State Senator 22,statewide,Scott Burns,D,596,13.96%
State Senator 22,statewide,William A. Finch,D,1188,27.83%
State Senator 22,statewide,Tyler Mack,D,732,17.15%
State Senator 22,statewide,Sujata Gadkar-Wilcox,D,1753,41.06%
State Senator 23,statewide,Herron Gaston,D,1824,71.61%
State Senator 23,statewide,"Ernest E. Newton, II",D,723,28.39%
State Representative 15,statewide,Jennifer A. Marshall-Nealy,D,793,29.89%
State Representative 15,statewide,Bobby Gibson,D,1860,70.11%
State Representative 26,statewide,David DeFronzo,D,484,66.12%
State Representative 26,statewide,Aram Ayalon,D,248,33.88%
State Representative 58,statewide,John Santanella,D,704,76.69%
State Representative 58,statewide,David Alexander,D,214,23.31%
State Representative 88,statewide,Joshua Elliott,D,1425,82.18%
State Representative 88,statewide,Dan Garrett,D,309,17.82%
State Representative 91,statewide,Jennifer Pope,D,932,49.60%
State Representative 91,statewide,Laurie Sweet,D,947,50.40%
State Representative 94,statewide,Steven B. Winter,D,738,60.94%
State Representative 94,statewide,Tarolyn Moore,D,85,7.02%
State Representative 94,statewide,Abdul Osmanu,D,388,32.04%
State Representative 110,statewide,Bob Godfrey,D,406,74.09%
State Representative 110,statewide,Melissa B. Santana,D,142,25.91%
State Representative 124,statewide,Eneida Martinez,D,469,48.55%
State Representative 124,statewide,"Andre Baker, Jr.",D,497,51.45%
State Representative 140,statewide,No Party Endorsement,D,0,0.00%
State Representative 140,statewide,Carleton Giles,D,214,44.49%
State Representative 140,statewide,Travis Simms,D,267,55.51%
State Representative 146,statewide,Eilish Collins Main,D,548,55.75%
State Representative 146,statewide,David Michel,D,435,44.25%
