office,town,candidate,party,votes,vote_percent
Presidential Electors for,statewide,Biden and Harris,D,1080831,59.26%
Presidential Electors for,statewide,Trump and Pence,R,714717,39.19%
Presidential Electors for,statewide,Jorgensen and Cohen,LI,20230,1.11%
Presidential Electors for,statewide,Hawkins and Walker,G,7538,0.41%
Presidential Electors for,statewide,Carroll and Patel,WI,219,0.01%
Presidential Electors for,statewide,Charles and Wallace,WI,11,0.00%
Presidential Electors for,statewide,De La Fuenta and Richardson,WI,13,0.00%
Presidential Electors for,statewide,Howard and Howard,WI,12,0.00%
Presidential Electors for,statewide,Klojzy and LeMay,WI,0,0.00%
Presidential Electors for,statewide,Simmons and Dow,WI,2,0.00%
Presidential Electors for,statewide,Simmons and Roze,WI,22,0.00%
Presidential Electors for,statewide,Weinstein and Weinstein,WI,1,0.00%
Presidential Electors for,statewide,Wells and Wells,WI,6,0.00%
Presidential Electors for,statewide,West and Tidball,WI,255,0.01%
Representative in Congress 01,statewide,John B. Larson,D,213001,60.99%
Representative in Congress 01,statewide,Mary Fay,R,122111,34.97%
Representative in Congress 01,statewide,John B. Larson,WF,9667,2.77%
Representative in Congress 01,statewide,Thomas E. McCormick,G,4458,1.28%
Representative in Congress 02,statewide,Joe Courtney,D,207303,56.43%
Representative in Congress 02,statewide,Justin Anderson,R,140356,38.21%
Representative in Congress 02,statewide,Joe Courtney,WF,10816,2.94%
Representative in Congress 02,statewide,Daniel Reale,LI,3903,1.06%
Representative in Congress 02,statewide,Cassandra Martineau,G,4960,1.35%
Representative in Congress 02,statewide,John M. Traceski,WI,9,0.00%
Representative in Congress 03,statewide,Rosa L. DeLauro,D,194259,56.13%
Representative in Congress 03,statewide,Margaret Streicker,R,131568,38.01%
Representative in Congress 03,statewide,Margaret Streicker,IND,6030,1.74%
Representative in Congress 03,statewide,Rosa L. DeLauro,WF,9006,2.60%
Representative in Congress 03,statewide,Justin C. Paglino,G,5240,1.51%
Representative in Congress 04,statewide,Jim Himes,D,224432,62.22%
Representative in Congress 04,statewide,Jonathan Riddle,R,130627,36.21%
Representative in Congress 04,statewide,Brian Merlen,IND,5647,1.57%
Representative in Congress 04,statewide,Yusheng Peng,WI,10,0.00%
Representative in Congress 05,statewide,Jahana Hayes,D,183797,52.58%
Representative in Congress 05,statewide,David X. Sullivan,R,151988,43.48%
Representative in Congress 05,statewide,Bruce W. Walczak,IND,5052,1.45%
Representative in Congress 05,statewide,Jahana Hayes,WF,8687,2.49%
Registrar of Voters,statewide,Pennell Hamilton,D,3294,60.01%
Registrar of Voters,statewide,Anna D.Dickerson,R,2195,39.99%
State Senator 01,statewide,John W. Fonfara,D,20583,71.78%
State Senator 01,statewide,Barbara Ruhe,R,7141,24.90%
State Senator 01,statewide,Mary L. Sanders,G,953,3.32%
State Senator 02,statewide,Douglas McCrory,D,33840,100.00%
State Senator 03,statewide,Saud Anwar,D,31543,89.45%
State Senator 03,statewide,Saud Anwar,WF,3720,10.55%
State Senator 04,statewide,Steve Cassano,D,30484,56.34%
State Senator 04,statewide,Matthew M. Corey,R,20737,38.33%
State Senator 04,statewide,Harold S. Harris,IND,830,1.53%
State Senator 04,statewide,Steve Cassano,WF,1230,2.27%
State Senator 04,statewide,Kelly Elizabeth Green,RECP,823,1.52%
State Senator 05,statewide,Derek Slap,D,37360,65.42%
State Senator 05,statewide,Phillip Chabot,R,17964,31.46%
State Senator 05,statewide,Joelle Nawrocki,IND,1780,3.12%
State Senator 06,statewide,Rick Lopes,D,19621,53.04%
State Senator 06,statewide,Gennaro Bizzarro,R,16372,44.26%
State Senator 06,statewide,Rick Lopes,WF,1000,2.70%
State Senator 07,statewide,Frederick A. Moffa,D,22890,43.62%
State Senator 07,statewide,John A. Kissel,R,26624,50.74%
State Senator 07,statewide,John A. Kissel,IND,1703,3.25%
State Senator 07,statewide,Frederick A. Moffa,WF,1254,2.39%
State Senator 08,statewide,Melissa E. Osborne,D,26811,46.53%
State Senator 08,statewide,Kevin Witkos,R,29694,51.54%
State Senator 08,statewide,Keith James McConnell,IND,1111,1.93%
State Senator 09,statewide,Matt Lesser,D,29473,54.85%
State Senator 09,statewide,Richard Ruglio,R,21609,40.22%
State Senator 09,statewide,Richard Ruglio,IND,1139,2.12%
State Senator 09,statewide,Matt Lesser,WF,1509,2.81%
State Senator 10,statewide,Gary Winfield,D,23237,78.14%
State Senator 10,statewide,Carlos M. Alvarado,R,4081,13.72%
State Senator 10,statewide,Gary Winfield,WF,1174,3.95%
State Senator 10,statewide,Jason W. Bartlett,PC,1246,4.19%
State Senator 11,statewide,Martin M. Looney,D,27336,74.70%
State Senator 11,statewide,Jameson White,R,8462,23.12%
State Senator 11,statewide,Alexander Taubes,PC,795,2.17%
State Senator 12,statewide,Christine Cohen,D,32161,53.38%
State Senator 12,statewide,Joe LaPorta,R,25900,42.99%
State Senator 12,statewide,Christine Cohen,IND,1232,2.04%
State Senator 12,statewide,Christine Cohen,WF,957,1.59%
State Senator 13,statewide,Mary Daugherty Abrams,D,23831,50.42%
State Senator 13,statewide,Len Suzio,R,20799,44.01%
State Senator 13,statewide,Len Suzio,IND,1532,3.24%
State Senator 13,statewide,Mary Daugherty Abrams,WF,1102,2.33%
State Senator 14,statewide,James Maroney,D,28388,53.06%
State Senator 14,statewide,Michael Southworth,R,22830,42.67%
State Senator 14,statewide,James Maroney,IND,1428,2.67%
State Senator 14,statewide,James Maroney,WF,854,1.60%
State Senator 15,statewide,Joan V. Hartley,D,20367,81.99%
State Senator 15,statewide,Joan V. Hartley,IND,4473,18.01%
State Senator 16,statewide,Jack Perry,D,22717,41.83%
State Senator 16,statewide,Rob Sampson,R,29209,53.79%
State Senator 16,statewide,Jack Perry,IND,1537,2.83%
State Senator 16,statewide,Jack Perry,WF,839,1.54%
State Senator 16,statewide,Paul J. Small,WI,4,0.01%
State Senator 17,statewide,Jorge Cabrera,D,23810,49.61%
State Senator 17,statewide,George Logan,R,21441,44.68%
State Senator 17,statewide,George Logan,IND,1517,3.16%
State Senator 17,statewide,Jorge Cabrera,WF,1224,2.55%
State Senator 18,statewide,Bob Statchen,D,22382,44.48%
State Senator 18,statewide,Heather Somers,R,26377,52.42%
State Senator 18,statewide,Bob Statchen,IND,883,1.75%
State Senator 18,statewide,Bob Statchen,WF,677,1.35%
State Senator 19,statewide,Catherine A. Osten,D,24456,50.51%
State Senator 19,statewide,Steve Weir,R,21680,44.77%
State Senator 19,statewide,William H. Russell,IND,892,1.84%
State Senator 19,statewide,Catherine A. Osten,WF,1392,2.87%
State Senator 20,statewide,Martha Marx,D,23399,46.09%
State Senator 20,statewide,Paul M. Formica,R,25680,50.58%
State Senator 20,statewide,Joseph Taraya,IND,586,1.15%
State Senator 20,statewide,Martha Marx,WF,1104,2.17%
State Senator 21,statewide,Kevin C. Kelly,R,37602,100.00%
State Senator 22,statewide,Marilyn Moore,D,25653,58.87%
State Senator 22,statewide,Steven S. Choi,R,17070,39.17%
State Senator 22,statewide,Stephen Dincher,IND,845,1.94%
State Senator 22,statewide,Devon Brown,WI,9,0.02%
State Senator 23,statewide,Dennis Bradley,D,20317,83.53%
State Senator 23,statewide,Josiah Israel,R,4006,16.47%
State Senator 24,statewide,Julie Kushner,D,23939,53.63%
State Senator 24,statewide,Susan Chapman,R,18778,42.07%
State Senator 24,statewide,Susan Chapman,IND,827,1.85%
State Senator 24,statewide,Julie Kushner,WF,1091,2.44%
State Senator 25,statewide,Bob Duff,D,29777,58.40%
State Senator 25,statewide,Ellie Kousidis,R,18954,37.17%
State Senator 25,statewide,Ellie Kousidis,IND,1324,2.60%
State Senator 25,statewide,Bob Duff,WF,931,1.83%
State Senator 26,statewide,Will Haskell,D,38581,58.34%
State Senator 26,statewide,Kim Healy,R,26095,39.46%
State Senator 26,statewide,Kim Healy,IND,1454,2.20%
State Senator 27,statewide,Carlo Leone,D,29279,63.83%
State Senator 27,statewide,Eva A. Maldonado,R,15307,33.37%
State Senator 27,statewide,Eva A. Maldonado,IND,1287,2.81%
State Senator 28,statewide,Michelle McCabe,D,28863,46.84%
State Senator 28,statewide,Tony Hwang,R,29835,48.42%
State Senator 28,statewide,Tony Hwang,IND,2022,3.28%
State Senator 28,statewide,Michelle McCabe,WF,896,1.45%
State Senator 28,statewide,"Christopher ""Chris"" DeMatteo",WI,4,0.01%
State Senator 29,statewide,Mae Flexer,D,19743,49.18%
State Senator 29,statewide,Jessica Alba,R,17884,44.55%
State Senator 29,statewide,Jessica Alba,IND,1248,3.11%
State Senator 29,statewide,Mae Flexer,WF,1267,3.16%
State Senator 30,statewide,David R. Gronbach,D,23130,42.99%
State Senator 30,statewide,Craig Miner,R,28719,53.38%
State Senator 30,statewide,Joseph A. Bongiorno,IND,937,1.74%
State Senator 30,statewide,David R. Gronbach,WF,1011,1.88%
State Senator 31,statewide,Mary B. Fortier,D,21591,41.93%
State Senator 31,statewide,Henri Martin,R,28184,54.73%
State Senator 31,statewide,Henri Martin,IND,1724,3.35%
State Senator 32,statewide,Jeffrey Desmarais,D,23760,41.82%
State Senator 32,statewide,Eric C. Berthel,R,33050,58.18%
State Senator 33,statewide,Norm Needleman,D,31256,50.59%
State Senator 33,statewide,Brendan Saunders,R,28432,46.02%
State Senator 33,statewide,Norm Needleman,IND,2095,3.39%
State Senator 34,statewide,April Capone,D,22773,42.79%
State Senator 34,statewide,Paul Cicarella,R,28204,52.99%
State Senator 34,statewide,Paul Cicarella,IND,1269,2.38%
State Senator 34,statewide,April Capone,WF,975,1.83%
State Senator 34,statewide,David Bedell,WI,2,0.00%
State Senator 35,statewide,Lisa Thomas,D,25871,45.47%
State Senator 35,statewide,Dan Champagne,R,28763,50.55%
State Senator 35,statewide,Lisa Thomas,IND,1208,2.12%
State Senator 35,statewide,Lisa Thomas,WF,1059,1.86%
State Senator 36,statewide,Alex Kasser,D,29137,51.38%
State Senator 36,statewide,Ryan Fazio,R,27575,48.62%
State Representative 01,statewide,Matthew Ritter,D,5193,91.77%
State Representative 01,statewide,Mark Stewart Greenstein,EP,290,5.12%
State Representative 01,statewide,Daniel Adam Piper,SR,176,3.11%
State Representative 02,statewide,Raghib Allie-Brennan,D,6848,51.29%
State Representative 02,statewide,Dan Carter,R,5885,44.08%
State Representative 02,statewide,Dan Carter,IND,330,2.47%
State Representative 02,statewide,Raghib Allie-Brennan,WF,288,2.16%
State Representative 03,statewide,Minnie Gonzalez,D,3983,100.00%
State Representative 04,statewide,Julio A. Concepcion,D,3944,86.09%
State Representative 04,statewide,Barry J. D'Andrea,R,637,13.91%
State Representative 05,statewide,Brandon L. McGee,D,8140,84.40%
State Representative 05,statewide,Charles Jackson,R,1303,13.51%
State Representative 05,statewide,Charles Jackson,IND,202,2.09%
State Representative 05,statewide,W. Michael Downes,WI,0,0.00%
State Representative 06,statewide,"Edwin Vargas, Jr.",D,5118,93.43%
State Representative 06,statewide,"Edwin Vargas, Jr.",WF,360,6.57%
State Representative 07,statewide,Joshua M. Hall,D,5663,100.00%
State Representative 08,statewide,Brenda Falusi,D,5874,39.15%
State Representative 08,statewide,Timothy Ackert,R,9128,60.85%
State Representative 09,statewide,Jason Rojas,D,7343,66.53%
State Representative 09,statewide,Cathy Hopperstad,R,3454,31.29%
State Representative 09,statewide,Cathy Hopperstad,IND,240,2.17%
State Representative 10,statewide,Henry J. Genga,D,7028,100.00%
State Representative 11,statewide,Jeff Currey,D,5845,69.72%
State Representative 11,statewide,Matt Harper,R,2329,27.78%
State Representative 11,statewide,Matt Harper,IND,210,2.50%
State Representative 11,statewide,Matthew Oakes,WI,0,0.00%
State Representative 12,statewide,Geoff Luxenberg,D,7457,63.69%
State Representative 12,statewide,Jeff Sullivan,R,3841,32.80%
State Representative 12,statewide,Geoff Luxenberg,WF,411,3.51%
State Representative 13,statewide,Jason Doucette,D,7803,60.38%
State Representative 13,statewide,Brian Marois,R,4553,35.23%
State Representative 13,statewide,Brian Marois,IND,216,1.67%
State Representative 13,statewide,Jason Doucette,WF,352,2.72%
State Representative 14,statewide,Genevieve Coursey,D,6349,44.17%
State Representative 14,statewide,Tom Delnicki,R,7104,49.42%
State Representative 14,statewide,Tom Delnicki,IND,649,4.52%
State Representative 14,statewide,Genevieve Coursey,WF,272,1.89%
State Representative 15,statewide,Bobby Gibson,D,10733,85.74%
State Representative 15,statewide,Bobby Gibson,WF,462,3.69%
State Representative 15,statewide,Danielle Cecil Wong,PC,1323,10.57%
State Representative 16,statewide,John K. Hampton,D,11730,100.00%
State Representative 17,statewide,Eleni Kavros DeGraw,D,7575,50.13%
State Representative 17,statewide,Leslee Hill,R,6971,46.13%
State Representative 17,statewide,Leslee Hill,IND,309,2.04%
State Representative 17,statewide,Eleni Kavros DeGraw,WF,257,1.70%
State Representative 18,statewide,Jillian Gilchrest,D,9030,72.72%
State Representative 18,statewide,Rick Bush,R,3387,27.28%
State Representative 19,statewide,Tammy Exum,D,11682,100.00%
State Representative 20,statewide,Kate Farrar,D,8382,90.64%
State Representative 20,statewide,Kate Farrar,WF,866,9.36%
State Representative 21,statewide,Mike Demicco,D,8740,59.50%
State Representative 21,statewide,John W. Brockelman,R,5316,36.19%
State Representative 21,statewide,David Paul Kramer,IND,224,1.53%
State Representative 21,statewide,Mike Demicco,WF,408,2.78%
State Representative 22,statewide,"William A. Petit, Jr.",R,7005,79.63%
State Representative 22,statewide,"William A. Petit, Jr.",IND,1792,20.37%
State Representative 23,statewide,David A. Rubino,D,7063,43.62%
State Representative 23,statewide,Devin R. Carney,R,8510,52.55%
State Representative 23,statewide,Devin R. Carney,IND,423,2.61%
State Representative 23,statewide,David A. Rubino,WF,197,1.22%
State Representative 24,statewide,"Emmanuel ""Manny"" Sanchez",D,5658,61.20%
State Representative 24,statewide,Alden Russell,R,3145,34.02%
State Representative 24,statewide,Alden Russell,IND,117,1.27%
State Representative 24,statewide,"Emmanuel ""Manny"" Sanchez",WF,325,3.52%
State Representative 25,statewide,"Robert ""Bobby"" Sanchez",D,3921,69.24%
State Representative 25,statewide,Jerrell Hargraves,R,1503,26.54%
State Representative 25,statewide,"Robert ""Bobby"" Sanchez",WF,239,4.22%
State Representative 26,statewide,Peter Tercyak,D,4650,61.10%
State Representative 26,statewide,Piotr S. Ceglarz,R,2420,31.80%
State Representative 26,statewide,Peter Tercyak,WF,250,3.28%
State Representative 26,statewide,Jonathan Milon Johnson,LI,291,3.82%
State Representative 27,statewide,Gary Turco,D,7833,57.49%
State Representative 27,statewide,Michael Camillo,R,5183,38.04%
State Representative 27,statewide,Michael Camillo,IND,192,1.41%
State Representative 27,statewide,Gary Turco,WF,417,3.06%
State Representative 28,statewide,Amy Morrin Bello,D,7708,53.61%
State Representative 28,statewide,Patrick Pentalow,R,6146,42.75%
State Representative 28,statewide,Henry Thayer,IND,168,1.17%
State Representative 28,statewide,Amy Morrin Bello,WF,355,2.47%
State Representative 29,statewide,Kerry Szeps Wood,D,7776,57.86%
State Representative 29,statewide,Henry Vasel,R,5419,40.32%
State Representative 29,statewide,Henry Vasel,IND,244,1.82%
State Representative 30,statewide,JoAnn Angelico-Stetson,D,6268,42.21%
State Representative 30,statewide,Donna Veach,R,8268,55.68%
State Representative 30,statewide,JoAnn Angelico-Stetson,WF,313,2.11%
State Representative 31,statewide,Jill Barry,D,8521,53.01%
State Representative 31,statewide,"Stewart ""Chip"" Beckett",R,7107,44.22%
State Representative 31,statewide,"Stewart ""Chip"" Beckett",IND,445,2.77%
State Representative 32,statewide,Christie M. Carpino,R,8524,77.50%
State Representative 32,statewide,Christie M. Carpino,IND,2475,22.50%
State Representative 33,statewide,Brandon Chafee,D,6618,59.98%
State Representative 33,statewide,Linda Szynkowicz,R,3689,33.43%
State Representative 33,statewide,Linda Szynkowicz,IND,270,2.45%
State Representative 33,statewide,Brandon Chafee,WF,457,4.14%
State Representative 34,statewide,Judd Melon,D,5816,41.01%
State Representative 34,statewide,Irene M. Haines,R,7912,55.79%
State Representative 34,statewide,Lance Lusignan,IND,227,1.60%
State Representative 34,statewide,Judd Melon,WF,228,1.61%
State Representative 35,statewide,Christine Goupil,D,6650,46.77%
State Representative 35,statewide,"John L. Hall, III",R,6793,47.78%
State Representative 35,statewide,Christine Goupil,IND,264,1.86%
State Representative 35,statewide,Christine Goupil,WF,153,1.08%
State Representative 35,statewide,John May,G,358,2.52%
State Representative 36,statewide,Christine Palm,D,8104,52.66%
State Representative 36,statewide,Robert Siegrist,R,6609,42.95%
State Representative 36,statewide,Robert Siegrist,IND,368,2.39%
State Representative 36,statewide,Christine Palm,WF,307,2.00%
State Representative 37,statewide,Cate Steel,D,6699,47.73%
State Representative 37,statewide,Holly H. Cheeseman,R,6800,48.45%
State Representative 37,statewide,Holly H. Cheeseman,IND,318,2.27%
State Representative 37,statewide,Cate Steel,WF,219,1.56%
State Representative 38,statewide,Baird Welch-Collins,D,6924,48.78%
State Representative 38,statewide,Kathleen M. McCarty,R,6833,48.14%
State Representative 38,statewide,Kathleen M. McCarty,IND,436,3.07%
State Representative 39,statewide,Anthony Nolan,D,4718,71.52%
State Representative 39,statewide,Kat Goulart,R,1280,19.40%
State Representative 39,statewide,Anthony Nolan,WF,361,5.47%
State Representative 39,statewide,Erycka Ortiz,G,238,3.61%
State Representative 40,statewide,Christine Conley,D,5011,56.15%
State Representative 40,statewide,Lauren Gauthier,R,3454,38.70%
State Representative 40,statewide,Lauren Gauthier,IND,217,2.43%
State Representative 40,statewide,Christine Conley,WF,242,2.71%
State Representative 41,statewide,Joe de la Cruz,D,7983,91.30%
State Representative 41,statewide,Joe de la Cruz,WF,761,8.70%
State Representative 42,statewide,Matt Geren,D,5134,43.33%
State Representative 42,statewide,Mike France,R,6013,50.75%
State Representative 42,statewide,Mike France,IND,311,2.62%
State Representative 42,statewide,Matt Geren,WF,294,2.48%
State Representative 42,statewide,Robert W. Lawrence,PC,96,0.81%
State Representative 43,statewide,Kate Rotella,D,7348,49.02%
State Representative 43,statewide,Greg Howard,R,7075,47.19%
State Representative 43,statewide,Greg Howard,IND,568,3.79%
State Representative 44,statewide,Christine Rosati Randall,D,4012,36.93%
State Representative 44,statewide,Anne Dubay Dauphinais,R,6206,57.12%
State Representative 44,statewide,Anne Dubay Dauphinais,IND,339,3.12%
State Representative 44,statewide,Christine Rosati Randall,WF,308,2.83%
State Representative 45,statewide,Mark DePonte,D,4790,40.81%
State Representative 45,statewide,Brian Lanoue,R,6640,56.57%
State Representative 45,statewide,Daniel Reale,IND,308,2.62%
State Representative 46,statewide,Emmett D. Riley,D,4625,58.66%
State Representative 46,statewide,Robert Bell,R,2711,34.38%
State Representative 46,statewide,Robert Bell,IND,256,3.25%
State Representative 46,statewide,Emmett D. Riley,WF,293,3.72%
State Representative 47,statewide,Kate Donnelly,D,5556,40.99%
State Representative 47,statewide,Doug Dubitsky,R,7315,53.97%
State Representative 47,statewide,Doug Dubitsky,IND,357,2.63%
State Representative 47,statewide,Kate Donnelly,WF,326,2.41%
State Representative 48,statewide,Brian Smith,D,6920,50.71%
State Representative 48,statewide,Julie Shilosky,R,6038,44.24%
State Representative 48,statewide,Julie Shilosky,IND,331,2.43%
State Representative 48,statewide,Brian Smith,WF,358,2.62%
State Representative 49,statewide,Susan Johnson,D,4900,87.00%
State Representative 49,statewide,Susan Johnson,WF,732,13.00%
State Representative 50,statewide,Pat Boyd,D,8564,100.00%
State Representative 51,statewide,"Larry Groh, Jr.",D,4961,42.94%
State Representative 51,statewide,Rick L. Hayes,R,6158,53.30%
State Representative 51,statewide,Rick L. Hayes,IND,435,3.76%
State Representative 52,statewide,Greg Post,D,3963,33.65%
State Representative 52,statewide,Kurt Vail,R,7205,61.18%
State Representative 52,statewide,Kurt Vail,IND,401,3.40%
State Representative 52,statewide,Greg Post,WF,208,1.77%
State Representative 53,statewide,Pat Wilson Pheanious,D,6396,46.14%
State Representative 53,statewide,Tammy Nuccio,R,6768,48.82%
State Representative 53,statewide,Tammy Nuccio,IND,400,2.89%
State Representative 53,statewide,Pat Wilson Pheanious,WF,299,2.16%
State Representative 54,statewide,Gregg Haddad,D,4491,90.16%
State Representative 54,statewide,Gregg Haddad,WF,490,9.84%
State Representative 55,statewide,John Collins,D,7125,46.65%
State Representative 55,statewide,Robin Green,R,7491,49.05%
State Representative 55,statewide,"Salvatore V. Sena, Jr.",PC,656,4.30%
State Representative 56,statewide,Michael Winkler,D,6594,55.19%
State Representative 56,statewide,Laura B. Bush,R,4782,40.03%
State Representative 56,statewide,Laura B. Bush,IND,284,2.38%
State Representative 56,statewide,Michael Winkler,WF,287,2.40%
State Representative 57,statewide,Jaime Foster,D,6191,47.11%
State Representative 57,statewide,David E. Stavens,R,6346,48.29%
State Representative 57,statewide,Jaime Foster,IND,326,2.48%
State Representative 57,statewide,Jaime Foster,WF,278,2.12%
State Representative 58,statewide,Tom Arnone,D,5608,52.40%
State Representative 58,statewide,Mary Ann Turner,R,4711,44.02%
State Representative 58,statewide,Tom Arnone,WF,384,3.59%
State Representative 59,statewide,Gerald Calnen,D,5006,46.03%
State Representative 59,statewide,Carol Hall,R,5407,49.71%
State Representative 59,statewide,Carol Hall,IND,463,4.26%
State Representative 60,statewide,Jane Garibay,D,7274,54.76%
State Representative 60,statewide,Scott A. Storms,R,5450,41.03%
State Representative 60,statewide,Scott A. Storms,IND,559,4.21%
State Representative 61,statewide,Jack Henrie,D,5535,41.35%
State Representative 61,statewide,Tami Zawistowski,R,7242,54.10%
State Representative 61,statewide,Tami Zawistowski,IND,609,4.55%
State Representative 62,statewide,Audrey Lampert,D,6713,43.80%
State Representative 62,statewide,Mark W. Anderson,R,8200,53.50%
State Representative 62,statewide,Mark W. Anderson,IND,413,2.69%
State Representative 63,statewide,Noel Rodriquez,D,3326,28.66%
State Representative 63,statewide,Jay Case,R,7981,68.77%
State Representative 63,statewide,Noel Rodriquez,IND,298,2.57%
State Representative 64,statewide,Maria Horn,D,6867,49.66%
State Representative 64,statewide,Brian M. Ohler,R,6205,44.88%
State Representative 64,statewide,Brian M. Ohler,IND,470,3.40%
State Representative 64,statewide,Maria Horn,WF,285,2.06%
State Representative 65,statewide,Michelle L. Cook,D,4401,47.53%
State Representative 65,statewide,Christopher Beyus,R,4221,45.59%
State Representative 65,statewide,Christopher Beyus,IND,256,2.76%
State Representative 65,statewide,Michelle L. Cook,WF,327,3.53%
State Representative 65,statewide,Don Vaniah Alexander,G,54,0.58%
State Representative 66,statewide,Matthew D. Dyer,D,6122,41.27%
State Representative 66,statewide,David T. Wilson,R,8209,55.34%
State Representative 66,statewide,David T. Wilson,IND,291,1.96%
State Representative 66,statewide,Matthew D. Dyer,WF,212,1.43%
