office,town,candidate,party,votes,vote_percent
United States Senator,statewide,Gerry Smith,R,0,0.00%
United States Senator,statewide,Matthew M. Corey,R,0,0.00%
Registrar of Voters,statewide,Michele May,R,0,0.00%
Registrar of Voters,statewide,John F. Richmond,R,0,0.00%
State Senator 29,statewide,Chris Reddy,R,0,0.00%
State Senator 29,statewide,Susanne Witkowski,R,0,0.00%
State Representative 69,statewide,Jason Buchsbaum,R,0,0.00%
State Representative 69,statewide,Edwin N. Cady,R,0,0.00%
Representative in Congress 4,statewide,Bob MacGuffie,R,0,0.00%
Representative in Congress 4,statewide,Michael Goldstein,R,0,0.00%
United States Senator,Andover,Gerry Smith,R,0,0.00%
United States Senator,Andover,Matthew M. Corey,R,0,0.00%
United States Senator,Ansonia,Gerry Smith,R,0,0.00%
United States Senator,Ansonia,Matthew M. Corey,R,0,0.00%
United States Senator,Ashford,Gerry Smith,R,0,0.00%
United States Senator,Ashford,Matthew M. Corey,R,0,0.00%
United States Senator,Avon,Gerry Smith,R,0,0.00%
United States Senator,Avon,Matthew M. Corey,R,0,0.00%
United States Senator,Barkhamsted,Gerry Smith,R,0,0.00%
United States Senator,Barkhamsted,Matthew M. Corey,R,0,0.00%
United States Senator,Beacon Falls,Gerry Smith,R,0,0.00%
United States Senator,Beacon Falls,Matthew M. Corey,R,0,0.00%
United States Senator,Berlin,Gerry Smith,R,0,0.00%
United States Senator,Berlin,Matthew M. Corey,R,0,0.00%
United States Senator,Bethany,Gerry Smith,R,0,0.00%
United States Senator,Bethany,Matthew M. Corey,R,0,0.00%
United States Senator,Bethel,Gerry Smith,R,0,0.00%
United States Senator,Bethel,Matthew M. Corey,R,0,0.00%
United States Senator,Bethlehem,Gerry Smith,R,0,0.00%
United States Senator,Bethlehem,Matthew M. Corey,R,0,0.00%
United States Senator,Bloomfield,Gerry Smith,R,0,0.00%
United States Senator,Bloomfield,Matthew M. Corey,R,0,0.00%
United States Senator,Bolton,Gerry Smith,R,0,0.00%
United States Senator,Bolton,Matthew M. Corey,R,0,0.00%
United States Senator,Bozrah,Gerry Smith,R,0,0.00%
United States Senator,Bozrah,Matthew M. Corey,R,0,0.00%
United States Senator,Branford,Gerry Smith,R,0,0.00%
United States Senator,Branford,Matthew M. Corey,R,0,0.00%
United States Senator,Bridgeport,Gerry Smith,R,0,0.00%
United States Senator,Bridgeport,Matthew M. Corey,R,0,0.00%
Representative in Congress 4,Bridgeport,Bob MacGuffie,R,0,0.00%
Representative in Congress 4,Bridgeport,Michael Goldstein,R,0,0.00%
United States Senator,Bridgewater,Gerry Smith,R,0,0.00%
United States Senator,Bridgewater,Matthew M. Corey,R,0,0.00%
State Representative 69,Bridgewater,Jason Buchsbaum,R,0,0.00%
State Representative 69,Bridgewater,Edwin N. Cady,R,0,0.00%
United States Senator,Bristol,Gerry Smith,R,0,0.00%
United States Senator,Bristol,Matthew M. Corey,R,0,0.00%
United States Senator,Brookfield,Gerry Smith,R,0,0.00%
United States Senator,Brookfield,Matthew M. Corey,R,0,0.00%
United States Senator,Brooklyn,Gerry Smith,R,0,0.00%
United States Senator,Brooklyn,Matthew M. Corey,R,0,0.00%
State Senator 29,Brooklyn,Chris Reddy,R,0,0.00%
State Senator 29,Brooklyn,Susanne Witkowski,R,0,0.00%
United States Senator,Burlington,Gerry Smith,R,0,0.00%
United States Senator,Burlington,Matthew M. Corey,R,0,0.00%
United States Senator,Canaan,Gerry Smith,R,0,0.00%
United States Senator,Canaan,Matthew M. Corey,R,0,0.00%
United States Senator,Canterbury,Gerry Smith,R,0,0.00%
United States Senator,Canterbury,Matthew M. Corey,R,0,0.00%
State Senator 29,Canterbury,Chris Reddy,R,0,0.00%
State Senator 29,Canterbury,Susanne Witkowski,R,0,0.00%
United States Senator,Canton,Gerry Smith,R,0,0.00%
United States Senator,Canton,Matthew M. Corey,R,0,0.00%
United States Senator,Chaplin,Gerry Smith,R,0,0.00%
United States Senator,Chaplin,Matthew M. Corey,R,0,0.00%
United States Senator,Cheshire,Gerry Smith,R,0,0.00%
United States Senator,Cheshire,Matthew M. Corey,R,0,0.00%
United States Senator,Chester,Gerry Smith,R,0,0.00%
United States Senator,Chester,Matthew M. Corey,R,0,0.00%
United States Senator,Clinton,Gerry Smith,R,0,0.00%
United States Senator,Clinton,Matthew M. Corey,R,0,0.00%
United States Senator,Colchester,Gerry Smith,R,0,0.00%
United States Senator,Colchester,Matthew M. Corey,R,0,0.00%
United States Senator,Colebrook,Gerry Smith,R,0,0.00%
United States Senator,Colebrook,Matthew M. Corey,R,0,0.00%
United States Senator,Columbia,Gerry Smith,R,0,0.00%
United States Senator,Columbia,Matthew M. Corey,R,0,0.00%
United States Senator,Cornwall,Gerry Smith,R,0,0.00%
United States Senator,Cornwall,Matthew M. Corey,R,0,0.00%
United States Senator,Coventry,Gerry Smith,R,0,0.00%
United States Senator,Coventry,Matthew M. Corey,R,0,0.00%
United States Senator,Cromwell,Gerry Smith,R,0,0.00%
United States Senator,Cromwell,Matthew M. Corey,R,0,0.00%
United States Senator,Danbury,Gerry Smith,R,0,0.00%
United States Senator,Danbury,Matthew M. Corey,R,0,0.00%
United States Senator,Darien,Gerry Smith,R,0,0.00%
United States Senator,Darien,Matthew M. Corey,R,0,0.00%
Representative in Congress 4,Darien,Bob MacGuffie,R,0,0.00%
Representative in Congress 4,Darien,Michael Goldstein,R,0,0.00%
United States Senator,Deep River,Gerry Smith,R,0,0.00%
United States Senator,Deep River,Matthew M. Corey,R,0,0.00%
United States Senator,Derby,Gerry Smith,R,0,0.00%
United States Senator,Derby,Matthew M. Corey,R,0,0.00%
United States Senator,Durham,Gerry Smith,R,0,0.00%
United States Senator,Durham,Matthew M. Corey,R,0,0.00%
United States Senator,Eastford,Gerry Smith,R,0,0.00%
United States Senator,Eastford,Matthew M. Corey,R,0,0.00%
United States Senator,East Granby,Gerry Smith,R,0,0.00%
United States Senator,East Granby,Matthew M. Corey,R,0,0.00%
United States Senator,East Haddam,Gerry Smith,R,0,0.00%
United States Senator,East Haddam,Matthew M. Corey,R,0,0.00%
United States Senator,East Hampton,Gerry Smith,R,0,0.00%
United States Senator,East Hampton,Matthew M. Corey,R,0,0.00%
United States Senator,East Hartford,Gerry Smith,R,0,0.00%
United States Senator,East Hartford,Matthew M. Corey,R,0,0.00%
United States Senator,East Haven,Gerry Smith,R,0,0.00%
United States Senator,East Haven,Matthew M. Corey,R,0,0.00%
United States Senator,East Lyme,Gerry Smith,R,0,0.00%
United States Senator,East Lyme,Matthew M. Corey,R,0,0.00%
United States Senator,Easton,Gerry Smith,R,0,0.00%
United States Senator,Easton,Matthew M. Corey,R,0,0.00%
Representative in Congress 4,Easton,Bob MacGuffie,R,0,0.00%
Representative in Congress 4,Easton,Michael Goldstein,R,0,0.00%
United States Senator,East Windsor,Gerry Smith,R,0,0.00%
United States Senator,East Windsor,Matthew M. Corey,R,0,0.00%
United States Senator,Ellington,Gerry Smith,R,0,0.00%
United States Senator,Ellington,Matthew M. Corey,R,0,0.00%
United States Senator,Enfield,Gerry Smith,R,0,0.00%
United States Senator,Enfield,Matthew M. Corey,R,0,0.00%
United States Senator,Essex,Gerry Smith,R,0,0.00%
United States Senator,Essex,Matthew M. Corey,R,0,0.00%
United States Senator,Fairfield,Gerry Smith,R,0,0.00%
United States Senator,Fairfield,Matthew M. Corey,R,0,0.00%
Representative in Congress 4,Fairfield,Bob MacGuffie,R,0,0.00%
Representative in Congress 4,Fairfield,Michael Goldstein,R,0,0.00%
United States Senator,Farmington,Gerry Smith,R,0,0.00%
United States Senator,Farmington,Matthew M. Corey,R,0,0.00%
United States Senator,Franklin,Gerry Smith,R,0,0.00%
United States Senator,Franklin,Matthew M. Corey,R,0,0.00%
United States Senator,Glastonbury,Gerry Smith,R,0,0.00%
United States Senator,Glastonbury,Matthew M. Corey,R,0,0.00%
