office,town,candidate,party,votes,vote_percent
State Senate 27 To Fill a Vacancy,statewide,Pat Billie Miller,D,4692,59.48%
State Senate 27 To Fill a Vacancy,statewide,Joshua A. Esses,R,3109,39.41%
State Senate 27 To Fill a Vacancy,statewide,Brian David Merlen,IND,87,1.10%
State Senate 27 To Fill a Vacancy,Darien,Pat Billie Miller,D,263,30.02%
State Senate 27 To Fill a Vacancy,Darien,Joshua A. Esses,R,607,69.29%
State Senate 27 To Fill a Vacancy,Darien,Brian David Merlen,IND,6,0.68%
State Senate 27 To Fill a Vacancy,Stamford,Pat Billie Miller,D,4429,63.16%
State Senate 27 To Fill a Vacancy,Stamford,Joshua A. Esses,R,2502,35.68%
State Senate 27 To Fill a Vacancy,Stamford,Brian David Merlen,IND,81,1.16%
