office,town,candidate,party,votes,vote_percent
Board of Finance,statewide,Robert T. England,D,244,25.79%
Board of Finance,statewide,Marc J. Brinker,D,245,25.90%
Board of Finance,statewide,Joanne Hebert,R,232,24.52%
Board of Finance,statewide,Bill Desrosiers,R,225,23.78%
Board of Education,statewide,Gerard J. Creme,D,213,26.89%
Board of Education,statewide,Edmund J. Smith,D,172,21.72%
Board of Education,statewide,Celeste Willard,R,232,29.29%
Board of Education,statewide,Adrian Mandeville,R,175,22.10%
First Selectman,statewide,David D. Eaton,R,97,100.00%
First Selectman,statewide,Clark D. Hurlburt,D,834,40.96%
First Selectman,statewide,Paula Cofrancesco,R,1202,59.04%
Planning & Zoning Commission,statewide,Steven M. Nelson,D,213,31.23%
Planning & Zoning Commission,statewide,Brian B. Briggs,D,212,31.09%
Planning & Zoning Commission,statewide,Leigh Ann Hutchinson,R,257,37.68%
First Selectman,statewide,Beth Heller,D,1641,100.00%
Planning & Zoning Commission Alternate,statewide,Susan England,D,296,100.00%
Zoning Board of Appeals,statewide,Walter Weir,D,231,33.33%
Zoning Board of Appeals,statewide,Gerard J. Creme,D,230,33.19%
Zoning Board of Appeals,statewide,Ylo Anson,R,232,33.48%
Zoning Board of Appeals Alternate,statewide,Mary E. Holer,D,181,45.14%
Zoning Board of Appeals Alternate,statewide,David Gostanian,R,220,54.86%
Selectmen,statewide,David M. Heck,D,56,53.85%
Selectmen,statewide,Mary M. Huda,R,48,46.15%
Board of Fire Commissioners,statewide,Scott E. Yeomans,D,300,52.36%
Board of Fire Commissioners,statewide,Gerry Wright,R,273,47.64%
Board of Selectmen,statewide,Paul Kuriakose,D,1273,17.30%
Board of Selectmen,statewide,Joe Crisco,D,1303,17.71%
Board of Selectmen,statewide,Sheila McCreven,D,1287,17.49%
Board of Selectmen,statewide,David Vogel,R,1190,16.18%
Board of Selectmen,statewide,David A. Lober,R,1153,15.67%
Board of Selectmen,statewide,Stephen B. Francis,R,1151,15.64%
Board of Selectmen,statewide,Elizabeth A. Appel,D,880,43.39%
Board of Selectmen,statewide,Donald R. Shea,R,1148,56.61%
Town Clerk,statewide,Heidi O. Bradrick,R,97,100.00%
Town Treasurer,statewide,Lawrence B. Eisner,D,892,44.18%
Town Treasurer,statewide,Steven Massey,R,1127,55.82%
Board of Education Full Term,statewide,Jay Dahya,D,1314,17.94%
Board of Education Full Term,statewide,Michael Strambler,D,1305,17.82%
Board of Education Full Term,statewide,Maria Madonick,D,1343,18.34%
Board of Education Full Term,statewide,Daniel Cowan,R,1100,15.02%
Board of Education Full Term,statewide,Brooke Hopkins,R,1129,15.42%
Board of Education Full Term,statewide,Sarah Beth Del Prete,R,1132,15.46%
Town Treasurer,statewide,Amanda D. Gaug,R,89,100.00%
Tax Collector,statewide,Frances K. Doba,D,1198,100.00%
Board of Education To Fill Vacancy for Two Years,statewide,David A. Ross,D,1369,55.74%
Board of Education To Fill Vacancy for Two Years,statewide,Jeffrey Luck,R,1087,44.26%
Tax Collector,statewide,Maureen M. Eaton,R,89,100.00%
Board of Finance,statewide,Elizabeth L. Thornquist,D,965,30.29%
Board of Finance,statewide,Kathleen M. Barone,D,1031,32.36%
Board of Finance,statewide,John Grabowski,R,1190,37.35%
Board of Assessment Appeals,statewide,Andrew I. Schaffer,D,1344,54.66%
Board of Assessment Appeals,statewide,Janet Barillari,R,1115,45.34%
Board of Finance,statewide,Charles Singer III,R,87,100.00%
Zoning Board of Appeals,statewide,Celia Waters,D,1269,17.38%
Zoning Board of Appeals,statewide,Henry Nusbaum,D,1242,17.01%
Zoning Board of Appeals,statewide,Jeffrey Atwood,D,1221,16.72%
Zoning Board of Appeals,statewide,Barbara Hagan-Smith,R,1180,16.16%
Zoning Board of Appeals,statewide,Muffy K. German,R,1156,15.83%
Zoning Board of Appeals,statewide,Robert Wiznia,R,1233,16.89%
Board of Education,statewide,"Angelo L. Amato, III",D,954,23.99%
Board of Education,statewide,Shannon R. Lane,D,907,22.81%
Board of Education,statewide,Angel L. Irigoyen,R,1015,25.53%
Board of Education,statewide,Amy Lestinsky,R,1100,27.67%
Board of Finance Alternate,statewide,Roger Bragdon,R,92,100.00%
Zoning Board of Appeals Alternate,statewide,Aldon Hynes,D,1233,50.31%
Zoning Board of Appeals Alternate,statewide,Lin Yang,R,1218,49.69%
Board of Assessment Appeals,statewide,Virginia M. Teixeira,D,854,21.53%
Board of Assessment Appeals,statewide,Nancy M. Spagnolo,D,863,21.75%
Board of Assessment Appeals,statewide,Richard Huxley,R,1096,27.63%
Board of Assessment Appeals,statewide,Gary Ross,R,1154,29.09%
Board of Education Full Term,statewide,Andrea Estell,D,59,23.60%
Board of Education Full Term,statewide,Edward Fournier,D,55,22.00%
