office,town,candidate,party,votes,vote_percent
Board of Education Full Term,statewide,Robert D. Fischetti,R,50,20.00%
Board of Education Full Term,statewide,Heidi Bradway,R,86,34.40%
Regional Board Of Education,statewide,Carol Oladele,D,1320,27.04%
Regional Board Of Education,statewide,Donna Schuster,D,1282,26.26%
Regional Board Of Education,statewide,Roy Ivins,R,1073,21.98%
Regional Board Of Education,statewide,Sanjay Gupta,R,1207,24.72%
Planning & Zoning Commission,statewide,Steven C. Thornquist,D,958,18.57%
Planning & Zoning Commission,statewide,Robert Harrison,D,923,17.89%
Planning & Zoning Commission,statewide,Alexander Hutchinson,D,1011,19.60%
Planning & Zoning Commission,statewide,John Corbo,R,1128,21.86%
Planning & Zoning Commission,statewide,Donna Shea,R,1139,22.08%
Planning & Zoning Alternate,statewide,Michael L. Riley,D,932,46.79%
Planning & Zoning Alternate,statewide,Karen Muller,R,1060,53.21%
Board of Assessment Appeals,statewide,David Heck,D,67,47.18%
Board of Assessment Appeals,statewide,Herbert Kingsbury,R,75,52.82%
Zoning Board of Appeals,statewide,Cynthia M. Megyola,D,897,22.66%
Zoning Board of Appeals,statewide,Scott M. Kealey,D,874,22.08%
Zoning Board of Appeals,statewide,Nick Poulmas,R,1126,28.44%
Zoning Board of Appeals,statewide,"Armand JR L. Rivellini, Jr.",R,1062,26.82%
Planning and Zoning Term Begins 2021,statewide,Barry Kapplan,R,84,100.00%
Zoning Board of Appeals Alternate,statewide,June G. Riley,D,1188,100.00%
Planning and Zoning Term Begins 2022,statewide,Mathieu Silbermann,R,87,100.00%
Regional Board of Education,statewide,"Gordon D. LeVasseur, Jr",D,876,43.65%
Regional Board of Education,statewide,Andrea Hubbard,R,1131,56.35%
Planning and Zoning Alternate,statewide,Carol Berner,D,68,100.00%
Zoning Board of Appeals Term Begins 2022,statewide,Arthur Murdock,R,89,100.00%
Zoning Board of Appeals Alternate,statewide,Jessica Garden,D,66,100.00%
Constables,statewide,Albert L. Goodhall,R,81,51.27%
Constables,statewide,Albert L. Goodhall Jr,R,77,48.73%
Library Directors Full Term,statewide,Erin K. Grabel,PC,64,50.00%
Library Directors Full Term,statewide,Edward Capomacchio,D,64,50.00%
Library Directors To Fill Vacancy for Four Years,statewide,Bertha O. Syphers,PC,69,100.00%
Board of Finance,Andover,Robert T. England,D,244,25.79%
Board of Finance,Andover,Marc J. Brinker,D,245,25.90%
Board of Finance,Andover,Joanne Hebert,R,232,24.52%
Board of Finance,Andover,Bill Desrosiers,R,225,23.78%
Board of Education,Andover,Gerard J. Creme,D,213,26.89%
Board of Education,Andover,Edmund J. Smith,D,172,21.72%
Board of Education,Andover,Celeste Willard,R,232,29.29%
Board of Education,Andover,Adrian Mandeville,R,175,22.10%
Planning & Zoning Commission,Andover,Steven M. Nelson,D,213,31.23%
Planning & Zoning Commission,Andover,Brian B. Briggs,D,212,31.09%
Planning & Zoning Commission,Andover,Leigh Ann Hutchinson,R,257,37.68%
Planning & Zoning Commission Alternate,Andover,Susan England,D,296,100.00%
Zoning Board of Appeals,Andover,Walter Weir,D,231,33.33%
Zoning Board of Appeals,Andover,Gerard J. Creme,D,230,33.19%
Zoning Board of Appeals,Andover,Ylo Anson,R,232,33.48%
Zoning Board of Appeals Alternate,Andover,Mary E. Holer,D,181,45.14%
Zoning Board of Appeals Alternate,Andover,David Gostanian,R,220,54.86%
Board of Fire Commissioners,Andover,Scott E. Yeomans,D,300,52.36%
Board of Fire Commissioners,Andover,Gerry Wright,R,273,47.64%
First Selectman,Bethany,Clark D. Hurlburt,D,834,40.96%
First Selectman,Bethany,Paula Cofrancesco,R,1202,59.04%
Board of Selectmen,Bethany,Elizabeth A. Appel,D,880,43.39%
Board of Selectmen,Bethany,Donald R. Shea,R,1148,56.61%
Town Treasurer,Bethany,Lawrence B. Eisner,D,892,44.18%
Town Treasurer,Bethany,Steven Massey,R,1127,55.82%
Tax Collector,Bethany,Frances K. Doba,D,1198,100.00%
Board of Finance,Bethany,Elizabeth L. Thornquist,D,965,30.29%
Board of Finance,Bethany,Kathleen M. Barone,D,1031,32.36%
Board of Finance,Bethany,John Grabowski,R,1190,37.35%
Board of Education,Bethany,"Angelo L. Amato, III",D,954,23.99%
Board of Education,Bethany,Shannon R. Lane,D,907,22.81%
Board of Education,Bethany,Angel L. Irigoyen,R,1015,25.53%
Board of Education,Bethany,Amy Lestinsky,R,1100,27.67%
Board of Assessment Appeals,Bethany,Virginia M. Teixeira,D,854,21.53%
Board of Assessment Appeals,Bethany,Nancy M. Spagnolo,D,863,21.75%
Board of Assessment Appeals,Bethany,Richard Huxley,R,1096,27.63%
Board of Assessment Appeals,Bethany,Gary Ross,R,1154,29.09%
Planning & Zoning Commission,Bethany,Steven C. Thornquist,D,958,18.57%
Planning & Zoning Commission,Bethany,Robert Harrison,D,923,17.89%
Planning & Zoning Commission,Bethany,Alexander Hutchinson,D,1011,19.60%
Planning & Zoning Commission,Bethany,John Corbo,R,1128,21.86%
Planning & Zoning Commission,Bethany,Donna Shea,R,1139,22.08%
Planning & Zoning Alternate,Bethany,Michael L. Riley,D,932,46.79%
Planning & Zoning Alternate,Bethany,Karen Muller,R,1060,53.21%
Zoning Board of Appeals,Bethany,Cynthia M. Megyola,D,897,22.66%
Zoning Board of Appeals,Bethany,Scott M. Kealey,D,874,22.08%
Zoning Board of Appeals,Bethany,Nick Poulmas,R,1126,28.44%
Zoning Board of Appeals,Bethany,"Armand JR L. Rivellini, Jr.",R,1062,26.82%
Zoning Board of Appeals Alternate,Bethany,June G. Riley,D,1188,100.00%
Regional Board of Education,Bethany,"Gordon D. LeVasseur, Jr",D,876,43.65%
Regional Board of Education,Bethany,Andrea Hubbard,R,1131,56.35%
First Selectman,Union,David D. Eaton,R,97,100.00%
Selectmen,Union,David M. Heck,D,56,53.85%
Selectmen,Union,Mary M. Huda,R,48,46.15%
Town Clerk,Union,Heidi O. Bradrick,R,97,100.00%
Town Treasurer,Union,Amanda D. Gaug,R,89,100.00%
Tax Collector,Union,Maureen M. Eaton,R,89,100.00%
Board of Finance,Union,Charles Singer III,R,87,100.00%
Board of Finance Alternate,Union,Roger Bragdon,R,92,100.00%
Board of Education Full Term,Union,Andrea Estell,D,59,23.60%
Board of Education Full Term,Union,Edward Fournier,D,55,22.00%
Board of Education Full Term,Union,Robert D. Fischetti,R,50,20.00%
Board of Education Full Term,Union,Heidi Bradway,R,86,34.40%
Board of Assessment Appeals,Union,David Heck,D,67,47.18%
Board of Assessment Appeals,Union,Herbert Kingsbury,R,75,52.82%
Planning and Zoning Term Begins 2021,Union,Barry Kapplan,R,84,100.00%
Planning and Zoning Term Begins 2022,Union,Mathieu Silbermann,R,87,100.00%
Planning and Zoning Alternate,Union,Carol Berner,D,68,100.00%
Zoning Board of Appeals Term Begins 2022,Union,Arthur Murdock,R,89,100.00%
Zoning Board of Appeals Alternate,Union,Jessica Garden,D,66,100.00%
Constables,Union,Albert L. Goodhall,R,81,51.27%
Constables,Union,Albert L. Goodhall Jr,R,77,48.73%
Library Directors Full Term,Union,Edward Capomacchio,D,64,50.00%
Library Directors Full Term,Union,Erin K. Grabel,PC,64,50.00%
Library Directors To Fill Vacancy for Four Years,Union,Bertha O. Syphers,PC,69,100.00%
First Selectman,Woodbridge,Beth Heller,D,1641,100.00%
Board of Selectmen,Woodbridge,Paul Kuriakose,D,1273,17.30%
Board of Selectmen,Woodbridge,Joe Crisco,D,1303,17.71%
Board of Selectmen,Woodbridge,Sheila McCreven,D,1287,17.49%
Board of Selectmen,Woodbridge,David Vogel,R,1190,16.18%
Board of Selectmen,Woodbridge,David A. Lober,R,1153,15.67%
Board of Selectmen,Woodbridge,Stephen B. Francis,R,1151,15.64%
Board of Education Full Term,Woodbridge,Jay Dahya,D,1314,17.94%
Board of Education Full Term,Woodbridge,Michael Strambler,D,1305,17.82%
Board of Education Full Term,Woodbridge,Maria Madonick,D,1343,18.34%
Board of Education Full Term,Woodbridge,Daniel Cowan,R,1100,15.02%
Board of Education Full Term,Woodbridge,Brooke Hopkins,R,1129,15.42%
Board of Education Full Term,Woodbridge,Sarah Beth Del Prete,R,1132,15.46%
Board of Education To Fill Vacancy for Two Years,Woodbridge,David A. Ross,D,1369,55.74%
Board of Education To Fill Vacancy for Two Years,Woodbridge,Jeffrey Luck,R,1087,44.26%
Board of Assessment Appeals,Woodbridge,Andrew I. Schaffer,D,1344,54.66%
Board of Assessment Appeals,Woodbridge,Janet Barillari,R,1115,45.34%
Zoning Board of Appeals,Woodbridge,Celia Waters,D,1269,17.38%
Zoning Board of Appeals,Woodbridge,Henry Nusbaum,D,1242,17.01%
Zoning Board of Appeals,Woodbridge,Jeffrey Atwood,D,1221,16.72%
Zoning Board of Appeals,Woodbridge,Barbara Hagan-Smith,R,1180,16.16%
Zoning Board of Appeals,Woodbridge,Muffy K. German,R,1156,15.83%
Zoning Board of Appeals,Woodbridge,Robert Wiznia,R,1233,16.89%
Zoning Board of Appeals Alternate,Woodbridge,Aldon Hynes,D,1233,50.31%
Zoning Board of Appeals Alternate,Woodbridge,Lin Yang,R,1218,49.69%
Regional Board Of Education,Woodbridge,Carol Oladele,D,1320,27.04%
Regional Board Of Education,Woodbridge,Donna Schuster,D,1282,26.26%
Regional Board Of Education,Woodbridge,Roy Ivins,R,1073,21.98%
Regional Board Of Education,Woodbridge,Sanjay Gupta,R,1207,24.72%
