office,town,candidate,party,votes,vote_percent
Mayor,statewide,Curt Balzano Leng,D,3219,61.23%
Mayor,statewide,Lauren Garrett,D,2038,38.77%
Mayor,statewide,Toni N. Harp,D,5150,41.71%
Mayor,statewide,Justin Elicker,D,7198,58.29%
Town Council District 3,statewide,Paul Tavaras,D,198,88.79%
Town Council District 3,statewide,Michael H. Singh,D,25,11.21%
First Selectman,statewide,Scott Flaherty*,D,168,49.56%
First Selectman,statewide,Betti R Hellman,D,171,50.44%
Mayor,statewide,Joseph P. Ganim,D,5304,51.31%
Mayor,statewide,Marilyn Moore,D,5034,48.69%
Mayor,statewide,Luke Bronin,D,5694,57.52%
Mayor,statewide,Eddie A. Perez,D,2711,27.39%
Mayor,statewide,"Brandon L. McGee, Jr.",D,1494,15.09%
Mayor,statewide,Nancy Rossi,D,2703,49.34%
Mayor,statewide,Debbie Collins,D,1773,32.37%
Mayor,statewide,Edward O'Brien,D,1002,18.29%
Mayor,statewide,Mary A. Bartolotta,D,926,22.76%
Mayor,statewide,Benjamin D. Florsheim,D,1359,33.41%
Mayor,statewide,William J. Russo,D,1181,29.03%
Mayor,statewide,Geen G. Thazhampallath,D,602,14.80%
Fire Commissioners,statewide,Jennifer A. Caldwell,D,347,55.43%
Fire Commissioners,statewide,"Peter J. Criscuolo, Jr.",D,279,44.57%
Town Council Two Year Term,statewide,Stephanie Calhoun,D,1760,11.73%
Town Council Two Year Term,statewide,Suzette DeBeatham-Brown,D,1828,12.18%
Town Council Two Year Term,statewide,Kevin Gough,D,1706,11.37%
Town Council Two Year Term,statewide,Rickford Kirton,D,1715,11.43%
Town Council Two Year Term,statewide,David Mann,D,1895,12.63%
Town Council Two Year Term,statewide,Danielle DW Wong,D,1889,12.59%
Town Council Two Year Term,statewide,Anthony Harrington,D,1057,7.04%
Town Council Two Year Term,statewide,Jennifer A. Marshall-Nealy,D,1053,7.02%
Town Council Two Year Term,statewide,Kenneth McClary,D,1069,7.12%
Town Council Two Year Term,statewide,Vanessa B. Williams,D,1036,6.90%
Councilman District 2,statewide,"Harry Gagliardi, Jr.",D,275,58.76%
Councilman District 2,statewide,Gabriel L. Lupo,D,193,41.24%
Board of Alder Ward 3,statewide,Ron Hurt,D,212,65.03%
Board of Alder Ward 3,statewide,Maria Rodriguez,D,114,34.97%
Town Council District 5,statewide,Greg Cann,D,118,83.10%
Town Council District 5,statewide,Allison Longo-Taccogna,D,24,16.90%
Selectman,statewide,Leslie Kerwin*,D,158,46.75%
Selectman,statewide,Heather Ann Haney,D,180,53.25%
City Clerk,statewide,Lydia N. Martinez,D,5122,53.24%
City Clerk,statewide,Alma L. Maya,D,4498,46.76%
CouncilPerson,statewide,"Thomas TJ Clarke, II",D,4958,10.05%
CouncilPerson,statewide,Nick Lebron,D,5004,10.15%
CouncilPerson,statewide,Maly D. Rosado,D,4548,9.22%
CouncilPerson,statewide,Marilynn E. Rossetti,D,4853,9.84%
CouncilPerson,statewide,James B. Sanchez,D,4670,9.47%
CouncilPerson,statewide,Shirley Surgeon,D,4784,9.70%
CouncilPerson,statewide,"Edward Casares, Jr.",D,2267,4.60%
CouncilPerson,statewide,Claudette M. Graham,D,2109,4.28%
CouncilPerson,statewide,Gladys Rivera,D,2260,4.58%
CouncilPerson,statewide,Rafael Santiago,D,2080,4.22%
CouncilPerson,statewide,Simpson Ronald,D,2256,4.57%
CouncilPerson,statewide,RJO Winch,D,2247,4.56%
CouncilPerson,statewide,Susann L. Beckett,D,1277,2.59%
CouncilPerson,statewide,Frederick A. Bentley,D,1151,2.33%
CouncilPerson,statewide,Corrie Lamonte Betts,D,1304,2.64%
CouncilPerson,statewide,Gloribel Diaz,D,1118,2.27%
CouncilPerson,statewide,Tiana V. Hercules,D,1182,2.40%
CouncilPerson,statewide,Eliezer Mercado,D,1246,2.53%
Town and City Clerk,statewide,Patricia Horvath,D,2611,49.56%
Town and City Clerk,statewide,John Lewis,D,1778,33.75%
Town and City Clerk,statewide,Francis P Withington,D,879,16.69%
Common Council,statewide,"Grady Faulkner, Jr.",D,1914,6.99%
Common Council,statewide,Darnell Ford,D,1871,6.84%
Common Council,statewide,Vincent J. Loffredo,D,2053,7.50%
Common Council,statewide,Anthony Mangiafico,D,1662,6.07%
Common Council,statewide,Edward McKeon,D,1834,6.70%
Common Council,statewide,Gene Nocera,D,2291,8.37%
Common Council,statewide,Bobbye Knoll Peterson,D,1677,6.13%
Common Council,statewide,Jeanette White,D,2067,7.55%
Common Council,statewide,Meghan R. Carta,D,1695,6.19%
Common Council,statewide,"W. Vance Cotton, Sr.",D,1438,5.26%
Common Council,statewide,Gerald E. Daley,D,1661,6.07%
Common Council,statewide,Stephen DiCarlo,D,1315,4.81%
Common Council,statewide,Concettina Mejias,D,1326,4.85%
Common Council,statewide,Linda Pagano,D,1553,5.68%
Common Council,statewide,Robert P. Santangelo,D,1552,5.67%
Common Council,statewide,Sonia Santavenere,D,1455,5.32%
Councilman District 6,statewide,Cory O'Brien,D,386,44.27%
Councilman District 6,statewide,Kathleen Schomaker,D,486,55.73%
Board of Alder Ward 5,statewide,Kampton Singh,D,170,66.67%
Board of Alder Ward 5,statewide,Germano Kimbro,D,85,33.33%
Town Council District 6,statewide,Harold Watson,D,113,59.79%
Town Council District 6,statewide,Prez Palmer,D,76,40.21%
Town Clerk,statewide,Charles D. Clemons Jr.,D,5241,54.61%
Town Clerk,statewide,Christopher L. Caruso,D,4356,45.39%
City Treasurer,statewide,Adam M. Cloud,D,4901,57.31%
City Treasurer,statewide,Chance E. McQueen,D,1968,23.01%
City Treasurer,statewide,"Kenneth H. Kennedy, Jr.",D,1682,19.67%
Treasurer,statewide,Michael P Last,D,2794,54.08%
Treasurer,statewide,William Kelaher,D,1455,28.16%
Treasurer,statewide,James Mancini,D,917,17.75%
Treasurer,statewide,Steven Kovach,D,1885,54.45%
