office,town,candidate,party,votes,vote_percent
Treasurer,statewide,Steven M. Gomes,D,1577,45.55%
Board of Alder Ward 13,statewide,Rosa Ferraro-Santana,D,264,69.11%
Board of Alder Ward 13,statewide,Raymond Wallace,D,118,30.89%
Board of Education,statewide,Sybil Allen,D,5078,18.32%
Board of Education,statewide,Albert Benejan,D,4730,17.07%
Board of Education,statewide,Bobbi Brown,D,5236,18.89%
Board of Education,statewide,Eric Stewart-Alicea,D,4234,15.28%
Board of Education,statewide,Amina Brown,D,4473,16.14%
Board of Education,statewide,Dasha T. Spell,D,3963,14.30%
Constables,statewide,Mamie M. Bell,D,4730,15.14%
Constables,statewide,Ellen S. Nurse,D,4721,15.11%
Constables,statewide,Radames V. Vazquez,D,4433,14.19%
Constables,statewide,Ronnie E. Walker,D,4558,14.59%
Constables,statewide,Evelyn R. Dukes,D,2150,6.88%
Constables,statewide,Shaquasia M. Goldsby,D,1871,5.99%
Constables,statewide,Marc H. Lucier,D,1911,6.12%
Constables,statewide,Elvis R. Tejada,D,2009,6.43%
Constables,statewide,Somaries Diaz,D,1106,3.54%
Constables,statewide,Breeana R. Johnson,D,1243,3.98%
Constables,statewide,Matthew Rivera,D,1268,4.06%
Constables,statewide,Alexander C. Thomas,D,1236,3.96%
Planning & Zoning Commission,statewide,Elizabeth Emery,D,2348,20.45%
Planning & Zoning Commission,statewide,Catherine Johnson,D,2385,20.78%
Planning & Zoning Commission,statewide,Thomas Pattavina,D,2486,21.66%
Planning & Zoning Commission,statewide,Richard Pelletier,D,2466,21.48%
Planning & Zoning Commission,statewide,Kellin M. Atherton,D,1795,15.64%
Tax Collector,statewide,Dorothy Chambrelli,D,2707,52.25%
Tax Collector,statewide,Evan Mink,D,1618,31.23%
Tax Collector,statewide,Mary Ganter,D,856,16.52%
Board of Alder Ward 21,statewide,Steven Winter,D,366,77.22%
Board of Alder Ward 21,statewide,Anais Nunez,D,27,5.70%
Board of Alder Ward 21,statewide,Maceo Streater,D,81,17.09%
City Sheriffs,statewide,Stephen M. Nelson,D,5004,18.17%
City Sheriffs,statewide,Mitchell Robles,D,4750,17.25%
City Sheriffs,statewide,Dennis Scinto,D,4832,17.55%
City Sheriffs,statewide,Ernest Brown,D,4188,15.21%
City Sheriffs,statewide,Wesley J. Matthews,D,4391,15.95%
City Sheriffs,statewide,Jacqueline Richardson,D,4371,15.87%
Board of Education,statewide,Anne Heffernan,D,2717,17.80%
Board of Education,statewide,Andrea Talamelli,D,2569,16.83%
Board of Education,statewide,Caryll (Cebi) Waterfield,D,2439,15.98%
Board of Education,statewide,Patrick Leigh,D,1652,10.82%
Board of Education,statewide,Karen Pacelli,D,1662,10.89%
Board of Education,statewide,Susan Walker,D,1818,11.91%
Board of Education,statewide,Mark L Mohan,D,808,5.29%
Board of Education,statewide,Vinny Nariyani,D,749,4.91%
Board of Education,statewide,Shirley F Prendergast,D,850,5.57%
Council Members District 131,statewide,Denese Taylor-Moye,D,404,26.75%
Council Members District 131,statewide,Jorge Cruz,D,441,29.21%
Council Members District 131,statewide,Mary Bruce,D,344,22.78%
Council Members District 131,statewide,Samaris Rose,D,321,21.26%
Board of Assessment Appeals,statewide,Joseph W Harvey III,D,2559,25.29%
Board of Assessment Appeals,statewide,Mark Palmieri,D,2825,27.92%
Board of Assessment Appeals,statewide,Joe Palmucci,D,1678,16.59%
Board of Assessment Appeals,statewide,Janet Rodriguez,D,1472,14.55%
Board of Assessment Appeals,statewide,Gordon Bergman,D,794,7.85%
Board of Assessment Appeals,statewide,Christian Joel Sanchez,D,789,7.80%
Council Members District 132,statewide,M. Evette Brantley,D,512,25.33%
Council Members District 132,statewide,Marcus Brown,D,540,26.72%
Council Members District 132,statewide,Kyle Langan,D,502,24.84%
Council Members District 132,statewide,Cynthia Torres,D,467,23.11%
Councilmen at Large,statewide,Gary Donovan,D,2577,25.50%
Councilmen at Large,statewide,Ronald Quagliani,D,3105,30.72%
Councilmen at Large,statewide,Aaron Charney,D,1496,14.80%
Councilmen at Large,statewide,William Wilson,D,1270,12.57%
Councilmen at Large,statewide,Patrick Fallon,D,833,8.24%
Councilmen at Large,statewide,Wendy Memmott,D,825,8.16%
Council Members District 136,statewide,Alfredo Castillo,D,358,32.87%
Council Members District 136,statewide,Maria Zambrano Viggiano,D,361,33.15%
Council Members District 136,statewide,Carmen Nieves,D,191,17.54%
Council Members District 136,statewide,Rigoberto Giusti,D,179,16.44%
Councilman District 1,statewide,Bridgette Hoskie,D,226,52.56%
Councilman District 1,statewide,James Burwell,D,117,27.21%
Councilman District 1,statewide,Quintin Fowler,D,87,20.23%
Council Members District 138,statewide,Karen Jackson,D,536,20.26%
Council Members District 138,statewide,Nessah J. Smith,D,573,21.66%
Council Members District 138,statewide,Maria Pereira,D,667,25.21%
Council Members District 138,statewide,Samia Suliman,D,662,25.02%
Council Members District 138,statewide,Tony Barr,D,139,5.25%
Council Members District 138,statewide,Michaela Barr-Brant,D,69,2.61%
Councilman District 2,statewide,William Conlon,D,292,59.23%
Councilman District 2,statewide,James McElwaine,D,201,40.77%
Councilman District 3,statewide,Elizabeth Johnston,D,191,44.32%
Councilman District 3,statewide,Sarah J Ackbarali,D,135,31.32%
Councilman District 3,statewide,Colleen Weatherspoon,D,105,24.36%
Councilman District 4,statewide,Mitchell Gallignano,D,159,54.08%
Councilman District 4,statewide,Allen T Crosby Jr,D,47,15.99%
Councilman District 4,statewide,James Williams,D,88,29.93%
Councilman District 5,statewide,Robbin W Hamilton,D,231,67.15%
Councilman District 5,statewide,Deborah Bell,D,113,32.85%
Councilman District 6,statewide,Peter Massaro,D,221,51.40%
Councilman District 6,statewide,Carroll E Brown,D,127,29.53%
Councilman District 6,statewide,Carrie Malangone,D,82,19.07%
Councilman District 7,statewide,Trenne McGee,D,199,54.82%
Councilman District 7,statewide,Portia Bias,D,102,28.10%
Councilman District 7,statewide,Mario Bracero,D,62,17.08%
Councilman District 8,statewide,Rachel Solveira,D,315,39.57%
Councilman District 8,statewide,Thomas Eckels,D,151,18.97%
Councilman District 8,statewide,Chrystal Fanelli,D,330,41.46%
Councilman District 9,statewide,Stephen DeCrescenzo,D,310,39.09%
Councilman District 9,statewide,Robert Bruneau,D,341,43.00%
Councilman District 9,statewide,Joseph M D'Aurio,D,142,17.91%
Town Council Two Year Term,Bloomfield,Stephanie Calhoun,D,1760,11.73%
Town Council Two Year Term,Bloomfield,Suzette DeBeatham-Brown,D,1828,12.18%
Town Council Two Year Term,Bloomfield,Kevin Gough,D,1706,11.37%
Town Council Two Year Term,Bloomfield,Rickford Kirton,D,1715,11.43%
Town Council Two Year Term,Bloomfield,David Mann,D,1895,12.63%
Town Council Two Year Term,Bloomfield,Danielle DW Wong,D,1889,12.59%
Town Council Two Year Term,Bloomfield,Anthony Harrington,D,1057,7.04%
Town Council Two Year Term,Bloomfield,Jennifer A. Marshall-Nealy,D,1053,7.02%
Town Council Two Year Term,Bloomfield,Kenneth McClary,D,1069,7.12%
Town Council Two Year Term,Bloomfield,Vanessa B. Williams,D,1036,6.90%
Mayor,Bridgeport,Joseph P. Ganim,D,5304,51.31%
Mayor,Bridgeport,Marilyn Moore,D,5034,48.69%
City Clerk,Bridgeport,Lydia N. Martinez,D,5122,53.24%
City Clerk,Bridgeport,Alma L. Maya,D,4498,46.76%
Town Clerk,Bridgeport,Charles D. Clemons Jr.,D,5241,54.61%
Town Clerk,Bridgeport,Christopher L. Caruso,D,4356,45.39%
Board of Education,Bridgeport,Sybil Allen,D,5078,18.32%
Board of Education,Bridgeport,Albert Benejan,D,4730,17.07%
Board of Education,Bridgeport,Bobbi Brown,D,5236,18.89%
Board of Education,Bridgeport,Eric Stewart-Alicea,D,4234,15.28%
Board of Education,Bridgeport,Amina Brown,D,4473,16.14%
Board of Education,Bridgeport,Dasha T. Spell,D,3963,14.30%
City Sheriffs,Bridgeport,Stephen M. Nelson,D,5004,18.17%
City Sheriffs,Bridgeport,Mitchell Robles,D,4750,17.25%
City Sheriffs,Bridgeport,Dennis Scinto,D,4832,17.55%
City Sheriffs,Bridgeport,Ernest Brown,D,4188,15.21%
City Sheriffs,Bridgeport,Wesley J. Matthews,D,4391,15.95%
City Sheriffs,Bridgeport,Jacqueline Richardson,D,4371,15.87%
Council Members District 131,Bridgeport,Denese Taylor-Moye,D,404,26.75%
Council Members District 131,Bridgeport,Jorge Cruz,D,441,29.21%
Council Members District 131,Bridgeport,Mary Bruce,D,344,22.78%
Council Members District 131,Bridgeport,Samaris Rose,D,321,21.26%
Council Members District 132,Bridgeport,M. Evette Brantley,D,512,25.33%
Council Members District 132,Bridgeport,Marcus Brown,D,540,26.72%
Council Members District 132,Bridgeport,Kyle Langan,D,502,24.84%
Council Members District 132,Bridgeport,Cynthia Torres,D,467,23.11%
Council Members District 136,Bridgeport,Alfredo Castillo,D,358,32.87%
Council Members District 136,Bridgeport,Maria Zambrano Viggiano,D,361,33.15%
Council Members District 136,Bridgeport,Carmen Nieves,D,191,17.54%
Council Members District 136,Bridgeport,Rigoberto Giusti,D,179,16.44%
Council Members District 138,Bridgeport,Karen Jackson,D,536,20.26%
Council Members District 138,Bridgeport,Nessah J. Smith,D,573,21.66%
Council Members District 138,Bridgeport,Maria Pereira,D,667,25.21%
Council Members District 138,Bridgeport,Samia Suliman,D,662,25.02%
Council Members District 138,Bridgeport,Tony Barr,D,139,5.25%
Council Members District 138,Bridgeport,Michaela Barr-Brant,D,69,2.61%
Mayor,Hamden,Curt Balzano Leng,D,3219,61.23%
Mayor,Hamden,Lauren Garrett,D,2038,38.77%
Councilman District 2,Hamden,"Harry Gagliardi, Jr.",D,275,58.76%
Councilman District 2,Hamden,Gabriel L. Lupo,D,193,41.24%
Councilman District 6,Hamden,Cory O'Brien,D,386,44.27%
Councilman District 6,Hamden,Kathleen Schomaker,D,486,55.73%
Mayor,Hartford,Luke Bronin,D,5694,57.52%
Mayor,Hartford,Eddie A. Perez,D,2711,27.39%
Mayor,Hartford,"Brandon L. McGee, Jr.",D,1494,15.09%
CouncilPerson,Hartford,"Thomas TJ Clarke, II",D,4958,10.05%
CouncilPerson,Hartford,Nick Lebron,D,5004,10.15%
CouncilPerson,Hartford,Maly D. Rosado,D,4548,9.22%
CouncilPerson,Hartford,Marilynn E. Rossetti,D,4853,9.84%
CouncilPerson,Hartford,James B. Sanchez,D,4670,9.47%
CouncilPerson,Hartford,Shirley Surgeon,D,4784,9.70%
CouncilPerson,Hartford,"Edward Casares, Jr.",D,2267,4.60%
CouncilPerson,Hartford,Claudette M. Graham,D,2109,4.28%
CouncilPerson,Hartford,Gladys Rivera,D,2260,4.58%
CouncilPerson,Hartford,Rafael Santiago,D,2080,4.22%
CouncilPerson,Hartford,Simpson Ronald,D,2256,4.57%
CouncilPerson,Hartford,RJO Winch,D,2247,4.56%
CouncilPerson,Hartford,Susann L. Beckett,D,1277,2.59%
CouncilPerson,Hartford,Frederick A. Bentley,D,1151,2.33%
CouncilPerson,Hartford,Corrie Lamonte Betts,D,1304,2.64%
CouncilPerson,Hartford,Gloribel Diaz,D,1118,2.27%
CouncilPerson,Hartford,Tiana V. Hercules,D,1182,2.40%
CouncilPerson,Hartford,Eliezer Mercado,D,1246,2.53%
City Treasurer,Hartford,Adam M. Cloud,D,4901,57.31%
City Treasurer,Hartford,Chance E. McQueen,D,1968,23.01%
City Treasurer,Hartford,"Kenneth H. Kennedy, Jr.",D,1682,19.67%
Constables,Hartford,Mamie M. Bell,D,4730,15.14%
Constables,Hartford,Ellen S. Nurse,D,4721,15.11%
Constables,Hartford,Radames V. Vazquez,D,4433,14.19%
Constables,Hartford,Ronnie E. Walker,D,4558,14.59%
Constables,Hartford,Evelyn R. Dukes,D,2150,6.88%
Constables,Hartford,Shaquasia M. Goldsby,D,1871,5.99%
Constables,Hartford,Marc H. Lucier,D,1911,6.12%
Constables,Hartford,Elvis R. Tejada,D,2009,6.43%
Constables,Hartford,Somaries Diaz,D,1106,3.54%
Constables,Hartford,Breeana R. Johnson,D,1243,3.98%
Constables,Hartford,Matthew Rivera,D,1268,4.06%
Constables,Hartford,Alexander C. Thomas,D,1236,3.96%
Mayor,Middletown,Mary A. Bartolotta,D,926,22.76%
Mayor,Middletown,Benjamin D. Florsheim,D,1359,33.41%
Mayor,Middletown,William J. Russo,D,1181,29.03%
Mayor,Middletown,Geen G. Thazhampallath,D,602,14.80%
Common Council,Middletown,"Grady Faulkner, Jr.",D,1914,6.99%
Common Council,Middletown,Darnell Ford,D,1871,6.84%
Common Council,Middletown,Vincent J. Loffredo,D,2053,7.50%
Common Council,Middletown,Anthony Mangiafico,D,1662,6.07%
Common Council,Middletown,Edward McKeon,D,1834,6.70%
Common Council,Middletown,Gene Nocera,D,2291,8.37%
Common Council,Middletown,Bobbye Knoll Peterson,D,1677,6.13%
Common Council,Middletown,Jeanette White,D,2067,7.55%
Common Council,Middletown,Meghan R. Carta,D,1695,6.19%
Common Council,Middletown,"W. Vance Cotton, Sr.",D,1438,5.26%
Common Council,Middletown,Gerald E. Daley,D,1661,6.07%
Common Council,Middletown,Stephen DiCarlo,D,1315,4.81%
Common Council,Middletown,Concettina Mejias,D,1326,4.85%
Common Council,Middletown,Linda Pagano,D,1553,5.68%
Common Council,Middletown,Robert P. Santangelo,D,1552,5.67%
Common Council,Middletown,Sonia Santavenere,D,1455,5.32%
Treasurer,Middletown,Steven Kovach,D,1885,54.45%
Treasurer,Middletown,Steven M. Gomes,D,1577,45.55%
Planning & Zoning Commission,Middletown,Elizabeth Emery,D,2348,20.45%
Planning & Zoning Commission,Middletown,Catherine Johnson,D,2385,20.78%
Planning & Zoning Commission,Middletown,Thomas Pattavina,D,2486,21.66%
Planning & Zoning Commission,Middletown,Richard Pelletier,D,2466,21.48%
Planning & Zoning Commission,Middletown,Kellin M. Atherton,D,1795,15.64%
Mayor,New Haven,Toni N. Harp,D,5150,41.71%
Mayor,New Haven,Justin Elicker,D,7198,58.29%
Board of Alder Ward 3,New Haven,Ron Hurt,D,212,65.03%
Board of Alder Ward 3,New Haven,Maria Rodriguez,D,114,34.97%
Board of Alder Ward 5,New Haven,Kampton Singh,D,170,66.67%
Board of Alder Ward 5,New Haven,Germano Kimbro,D,85,33.33%
Board of Alder Ward 13,New Haven,Rosa Ferraro-Santana,D,264,69.11%
Board of Alder Ward 13,New Haven,Raymond Wallace,D,118,30.89%
Board of Alder Ward 21,New Haven,Steven Winter,D,366,77.22%
Board of Alder Ward 21,New Haven,Anais Nunez,D,27,5.70%
Board of Alder Ward 21,New Haven,Maceo Streater,D,81,17.09%
Fire Commissioners,North Haven,Jennifer A. Caldwell,D,347,55.43%
Fire Commissioners,North Haven,"Peter J. Criscuolo, Jr.",D,279,44.57%
First Selectman,Oxford,Scott Flaherty*,D,168,49.56%
First Selectman,Oxford,Betti R Hellman,D,171,50.44%
Selectman,Oxford,Leslie Kerwin*,D,158,46.75%
Selectman,Oxford,Heather Ann Haney,D,180,53.25%
Town Council District 3,Stratford,Paul Tavaras,D,198,88.79%
Town Council District 3,Stratford,Michael H. Singh,D,25,11.21%
Town Council District 5,Stratford,Greg Cann,D,118,83.10%
Town Council District 5,Stratford,Allison Longo-Taccogna,D,24,16.90%
Town Council District 6,Stratford,Harold Watson,D,113,59.79%
Town Council District 6,Stratford,Prez Palmer,D,76,40.21%
Mayor,West Haven,Nancy Rossi,D,2703,49.34%
Mayor,West Haven,Debbie Collins,D,1773,32.37%
Mayor,West Haven,Edward O'Brien,D,1002,18.29%
Town and City Clerk,West Haven,Patricia Horvath,D,2611,49.56%
Town and City Clerk,West Haven,John Lewis,D,1778,33.75%
Town and City Clerk,West Haven,Francis P Withington,D,879,16.69%
Treasurer,West Haven,Michael P Last,D,2794,54.08%
Treasurer,West Haven,William Kelaher,D,1455,28.16%
Treasurer,West Haven,James Mancini,D,917,17.75%
Tax Collector,West Haven,Dorothy Chambrelli,D,2707,52.25%
Tax Collector,West Haven,Evan Mink,D,1618,31.23%
Tax Collector,West Haven,Mary Ganter,D,856,16.52%
Board of Education,West Haven,Anne Heffernan,D,2717,17.80%
Board of Education,West Haven,Andrea Talamelli,D,2569,16.83%
Board of Education,West Haven,Caryll (Cebi) Waterfield,D,2439,15.98%
Board of Education,West Haven,Patrick Leigh,D,1652,10.82%
Board of Education,West Haven,Karen Pacelli,D,1662,10.89%
Board of Education,West Haven,Susan Walker,D,1818,11.91%
Board of Education,West Haven,Mark L Mohan,D,808,5.29%
Board of Education,West Haven,Vinny Nariyani,D,749,4.91%
Board of Education,West Haven,Shirley F Prendergast,D,850,5.57%
Board of Assessment Appeals,West Haven,Joseph W Harvey III,D,2559,25.29%
Board of Assessment Appeals,West Haven,Mark Palmieri,D,2825,27.92%
Board of Assessment Appeals,West Haven,Joe Palmucci,D,1678,16.59%
Board of Assessment Appeals,West Haven,Janet Rodriguez,D,1472,14.55%
Board of Assessment Appeals,West Haven,Gordon Bergman,D,794,7.85%
Board of Assessment Appeals,West Haven,Christian Joel Sanchez,D,789,7.80%
Councilmen at Large,West Haven,Gary Donovan,D,2577,25.50%
Councilmen at Large,West Haven,Ronald Quagliani,D,3105,30.72%
Councilmen at Large,West Haven,Aaron Charney,D,1496,14.80%
Councilmen at Large,West Haven,William Wilson,D,1270,12.57%
Councilmen at Large,West Haven,Patrick Fallon,D,833,8.24%
Councilmen at Large,West Haven,Wendy Memmott,D,825,8.16%
Councilman District 1,West Haven,Bridgette Hoskie,D,226,52.56%
Councilman District 1,West Haven,James Burwell,D,117,27.21%
Councilman District 1,West Haven,Quintin Fowler,D,87,20.23%
Councilman District 2,West Haven,William Conlon,D,292,59.23%
Councilman District 2,West Haven,James McElwaine,D,201,40.77%
Councilman District 3,West Haven,Elizabeth Johnston,D,191,44.32%
Councilman District 3,West Haven,Sarah J Ackbarali,D,135,31.32%
Councilman District 3,West Haven,Colleen Weatherspoon,D,105,24.36%
Councilman District 4,West Haven,Mitchell Gallignano,D,159,54.08%
Councilman District 4,West Haven,Allen T Crosby Jr,D,47,15.99%
Councilman District 4,West Haven,James Williams,D,88,29.93%
Councilman District 5,West Haven,Robbin W Hamilton,D,231,67.15%
Councilman District 5,West Haven,Deborah Bell,D,113,32.85%
Councilman District 6,West Haven,Peter Massaro,D,221,51.40%
Councilman District 6,West Haven,Carroll E Brown,D,127,29.53%
Councilman District 6,West Haven,Carrie Malangone,D,82,19.07%
Councilman District 7,West Haven,Trenne McGee,D,199,54.82%
Councilman District 7,West Haven,Portia Bias,D,102,28.10%
Councilman District 7,West Haven,Mario Bracero,D,62,17.08%
Councilman District 8,West Haven,Rachel Solveira,D,315,39.57%
Councilman District 8,West Haven,Thomas Eckels,D,151,18.97%
Councilman District 8,West Haven,Chrystal Fanelli,D,330,41.46%
Councilman District 9,West Haven,Stephen DeCrescenzo,D,310,39.09%
Councilman District 9,West Haven,Robert Bruneau,D,341,43.00%
Councilman District 9,West Haven,Joseph M D'Aurio,D,142,17.91%
