office,town,candidate,party,votes,vote_percent
Presidential Electors for,statewide,Harris and Walz,D,755374,54.26%
Presidential Electors for,statewide,Trump and Vance,R,612808,44.02%
Presidential Electors for,statewide,Stein and Ware,G,11210,0.81%
Presidential Electors for,statewide,Oliver and ter Maat,LI,5553,0.40%
Presidential Electors for,statewide,"Kennedy, Jr. and Shanahan",PC,6908,0.50%
Presidential Electors for,statewide,De la Cruz and Garcia,WI,135,0.01%
Presidential Electors for,statewide,Fox and McVay,WI,4,0.00%
Presidential Electors for,statewide,McNeil and McNeil,WI,0,0.00%
Presidential Electors for,statewide,Potus and Kennedy,WI,0,0.00%
Presidential Electors for,statewide,Ayyadurai and Ellis,WI,16,0.00%
Presidential Electors for,statewide,Sonski and Onak,WI,98,0.01%
Presidential Electors for,statewide,West and Abdullah,WI,69,0.00%
United States Senator,statewide,Christopher S. Murphy,D,728544,53.81%
United States Senator,statewide,Matthew M. Corey,R,566948,41.88%
United States Senator,statewide,Christopher S. Murphy,WF,35812,2.65%
United States Senator,statewide,Justin C. Paglino,G,10812,0.80%
United States Senator,statewide,Robert Finley Hyde,CGG,11710,0.86%
United States Senator,statewide,John Flynn,WI,7,0.00%
Representative in Congress 1,statewide,John B. Larson,D,136170,57.19%
Representative in Congress 1,statewide,Jim Griffin,R,89419,37.56%
Representative in Congress 1,statewide,John B. Larson,WF,7722,3.24%
Representative in Congress 1,statewide,Mary L. Sanders,G,4771,2.00%
Representative in Congress 2,statewide,Joe Courtney,D,213093,58.06%
Representative in Congress 2,statewide,Mike France,R,153907,41.94%
Representative in Congress 2,statewide,"Kenneth Kusmierski, Jr.",WI,3,0.00%
Representative in Congress 2,statewide,Jeffery Russell,WI,4,0.00%
Representative in Congress 3,statewide,Rosa L. DeLauro,D,109745,53.71%
Representative in Congress 3,statewide,Michael Massey,R,91252,44.66%
Representative in Congress 3,statewide,Michael Massey,IND,3314,1.62%
Representative in Congress 3,statewide,Leo Almoney,WI,0,0.00%
Representative in Congress 3,statewide,Omar Scott Antar,WI,1,0.00%
Representative in Congress 3,statewide,Shahd Omar,WI,14,0.01%
