office,town,candidate,party,votes,vote_percent
Board of Finance,statewide,Gerald Mullen,R,1017,28.95%
Selectman,statewide,Joe Doering,D,963,56.78%
Selectman,statewide,John Ziobro,R,733,43.22%
Selectman,statewide,Dexter S Kinsella,D,540,47.87%
Selectman,statewide,Mark Harris,R,588,52.13%
Selectmen,statewide,Sarah Neumann,D,1401,19.35%
Selectmen,statewide,David Martin,D,1324,18.28%
Selectmen,statewide,Christa Sheehan McNamara,R,2279,31.47%
Selectmen,statewide,"Charles ""Kip"" Koons",R,2238,30.90%
Councilman,statewide,Al Waters,D,1630,11.87%
Councilman,statewide,Jennifer Lepore,D,1534,11.18%
Councilman,statewide,James N. Demetriades,D,1698,12.37%
Councilman,statewide,"Edwin L. Kosinski, Jr.",D,1296,9.44%
Councilman,statewide,Jennifer Donohue,R,1997,14.55%
Councilman,statewide,Stephen Fortenbach,R,1704,12.41%
Councilman,statewide,Pat Ahlquist,R,1966,14.32%
Councilman,statewide,Jack Henehan,R,1902,13.86%
Board of Education,statewide,Richard Hersh,D,2140,25.64%
Board of Education,statewide,Kathleen M.B. Balestracci,D,2350,28.16%
Board of Education,statewide,John A. Della Ventura,D,2241,26.85%
Board of Education,statewide,Kristen Marottoli Peck,R,1615,19.35%
Selectman,statewide,Nancy E. Lefkowitz,D,8512,48.82%
Selectman,statewide,Thomas M. Flynn,R,8480,48.63%
Selectman,statewide,Thomas M. Flynn,IND,445,2.55%
Selectman,statewide,Joe Rizzo,D,1115,23.72%
Selectman,statewide,Sean Moriarty,D,1157,24.62%
Selectman,statewide,Kate Anderson,R,1747,37.17%
Selectman,statewide,Mark P. Lundgren,PC,681,14.49%
Board of Education Full Term,statewide,Courtney Langlois,D,95,33.45%
Board of Education Full Term,statewide,Holly J. Wood,R,189,66.55%
Selectmen,statewide,Wendy Mackstutis,D,3226,17.25%
Selectmen,statewide,Chris Peterson,D,3336,17.84%
Selectmen,statewide,Philip Purciello,D,2708,14.48%
Selectmen,statewide,Jackie Battos,R,2894,15.48%
Selectmen,statewide,Sean Askham,R,3175,16.98%
Selectmen,statewide,Mike Paine,R,3358,17.96%
Board of Education,statewide,Youn Su Chao,D,4279,27.43%
Board of Education,statewide,Lee Goldstein,D,4194,26.89%
Board of Education,statewide,Liz Heyer,R,3551,22.77%
Board of Education,statewide,Vik Muktavaram,R,3573,22.91%
Selectman,statewide,Heather Ann Haney,D,1094,28.78%
Selectman,statewide,Arnold Jensen,R,2707,71.22%
Selectman,statewide,Margaret (Peg) O'Donnell,D,1141,57.71%
Selectman,statewide,Michael P. Thompson,R,836,42.29%
Selectman,statewide,Matthew J. Pugliese,D,1166,41.06%
Selectman,statewide,Scott M. Giegerich,R,1674,58.94%
Selectmen,statewide,Peter Hill,D,1682,18.35%
Selectmen,statewide,Mel Chafetz,D,1655,18.06%
Selectmen,statewide,Kathie Harrington,R,2066,22.54%
Selectmen,statewide,Timothy J Reynolds,R,1971,21.51%
Selectmen,statewide,Jerry Mahoney,R,1791,19.54%
Selectmen,statewide,Thomas Hennick,D,919,40.34%
Selectmen,statewide,John Szewczyk,R,1359,59.66%
Board of Selectmen,statewide,Casey T. Flanagan,D,475,56.28%
Board of Selectmen,statewide,Dale C. Jones,R,369,43.72%
Selectman,statewide,Michelle L. Hill,D,1340,45.45%
Selectman,statewide,Scott A. Storms,R,1608,54.55%
Selectman,statewide,Gregory C Kline,D,708,39.44%
Selectman,statewide,Chandler Paquette,R,1087,60.56%
Board of Selectmen,statewide,George K. Pytlik Jr.,D,863,41.59%
Board of Selectmen,statewide,John L. Hall III,R,1212,58.41%
Selectman,statewide,David W Deakin Jr,D,425,44.32%
Selectman,statewide,Stephen F Sordi,R,391,40.77%
Selectman,statewide,Peter J. Dzielinski,PC,75,7.82%
Selectman,statewide,John Zarrella,WI,68,7.09%
Town Council,statewide,Megan Byrd,D,2955,5.83%
Town Council,statewide,David Lawson,D,3271,6.45%
Town Council,statewide,Jeffrey Winter,D,2839,5.60%
Town Council,statewide,Walter Bayer,D,3428,6.76%
Town Council,statewide,Mary Jane Lundgren,D,3181,6.27%
Town Council,statewide,Gale M. Alexander,D,2815,5.55%
Town Council,statewide,Hilary Ram,D,2881,5.68%
Town Council,statewide,Michele Shackelford,D,3081,6.08%
Town Council,statewide,Thomas V. Esposito,R,4303,8.49%
Town Council,statewide,Katy Francis,R,4437,8.75%
Town Council,statewide,Michael Gold,R,4045,7.98%
Town Council,statewide,Chris Cosgrove,R,4249,8.38%
Town Council,statewide,Douglas Skelly,R,4030,7.95%
Town Council,statewide,Michael Nahom,R,4322,8.52%
Town Council,statewide,Lisa C. Hida,WI,870,1.72%
Selectman,statewide,Richard C. Straiton,D,2652,53.54%
Selectman,statewide,Paul R. Szatkowski,R,2046,41.31%
Selectman,statewide,Paul R. Szatkowski,IND,255,5.15%
Selectman,statewide,Kevin B. Keenan,D,330,47.55%
Selectman,statewide,Robert Ostrosky,R,364,52.45%
City Treasurer,statewide,Joseph S. Tamburri,D,8425,56.46%
City Treasurer,statewide,Jerry E.Petrini,R,6496,43.54%
Selectman,statewide,Nita B. Kincaid,D,738,42.54%
Selectman,statewide,Robert A. Carlson,R,997,57.46%
Selectmen,statewide,Raymond Dunbar,D,3268,50.57%
Selectmen,statewide,"Joseph E. Higgins, Jr.",R,3194,49.43%
Selectman,statewide,Maureen Crick Owen,D,3092,54.42%
Selectman,statewide,Jeffrey Capeci,R,2590,45.58%
Selectman,statewide,Cathryn E. Silver-Smith,D,557,50.82%
Selectman,statewide,Keith A. Lipker,R,539,49.18%
Selectmen,statewide,Paul L. Madore,D,345,53.41%
Selectmen,statewide,Alexandria S. Evans,R,301,46.59%
Selectman,statewide,Kit Devereaux,D,2415,42.96%
Selectman,statewide,Nick Williams,R,3207,57.04%
Selectman,statewide,David R Barger,D,121,56.81%
Selectman,statewide,Greg D Marlowe,R,92,43.19%
Board of Selectmen,statewide,Justin Bette,D,2612,15.23%
Board of Selectmen,statewide,Catherine P. DeCarli,D,2356,13.74%
Board of Selectmen,statewide,Mike Rosen,D,2398,13.98%
Board of Selectmen,statewide,Emily P. Harrison,R,3274,19.09%
Board of Selectmen,statewide,George Bertram,R,3248,18.94%
Board of Selectmen,statewide,Jason A. Buchsbaum,R,3263,19.03%
CITY TREASURER,statewide,Bob Lally,D,4213,40.67%
CITY TREASURER,statewide,Raymond O'Leary,R,6146,59.33%
Town Treasurer,statewide,Tony Marino,R,2502,100.00%
Selectman,statewide,Stacia Rice-Libby,D,1333,58.36%
Selectman,statewide,Bruce M. Glowac,R,951,41.64%
Councilman At Large,statewide,Jennifer Calvo,D,599,8.00%
Councilman At Large,statewide,Todd Brodeur,D,556,7.42%
Councilman At Large,statewide,Joe Green,R,1215,16.22%
Councilman At Large,statewide,Susan Murawski,R,1259,16.81%
Councilman At Large,statewide,Dan Gentile,R,1323,17.67%
Councilman At Large,statewide,John Pajeski,R,1185,15.82%
Councilman At Large,statewide,Tom Zagurski,R,1352,18.05%
Selectman,statewide,Samantha Nestor,D,1339,57.05%
Selectman,statewide,Stephan Grozinger,R,1008,42.95%
Board of Selectmen,statewide,J. Scott Pempek,D,816,13.39%
Board of Selectmen,statewide,Gloria Marion,D,643,10.55%
Board of Selectmen,statewide,Owen Tarr,D,747,12.26%
Board of Selectmen,statewide,Donald Steinbrick,R,881,14.46%
Board of Selectmen,statewide,Jeffrey A. Rawson,R,1124,18.44%
Board of Selectmen,statewide,Ricky L. Hayes,R,1050,17.23%
Board of Selectmen,statewide,Roy Simmons,R,833,13.67%
Selectman,statewide,Jeffrey P. Dunn,D,518,35.19%
Selectman,statewide,Roger Perreault,R,954,64.81%
Selectman,statewide,Stephanie Bayne,D,256,26.26%
Selectman,statewide,Bob Grindle,D,410,42.05%
Selectman,statewide,Dan Meade,R,309,31.69%
Selectman,statewide,Sandy Litvack,D,7457,43.63%
Selectman,statewide,Lauren Rabin,R,9633,56.37%
Common Council,statewide,"Grady Faulkner, Jr.",D,5697,6.69%
Common Council,statewide,Bobbye Knoll Peterson,D,5107,6.00%
Common Council,statewide,Gene Nocera,D,6117,7.19%
Common Council,statewide,Darnell Ford,D,5382,6.32%
Common Council,statewide,Jeanette White,D,5904,6.94%
Common Council,statewide,Edward McKeon,D,5361,6.30%
Common Council,statewide,Meghan R. Carta,D,6088,7.15%
Common Council,statewide,Vincent J. Loffredo,D,5860,6.88%
Common Council,statewide,Philip Pessina,R,5158,6.06%
Common Council,statewide,Tony Gennaro,R,4830,5.67%
Common Council,statewide,Linda Salafia,R,4708,5.53%
Common Council,statewide,Jon Pulino,R,4539,5.33%
Common Council,statewide,"Ed Ford, Jr.",R,4770,5.60%
Common Council,statewide,Hope P. Kasper,R,4593,5.40%
Common Council,statewide,Mike Marino,R,4634,5.44%
Common Council,statewide,Matthew L. Scarrozzo,R,4568,5.37%
Common Council,statewide,Bobbye Knoll Peterson,WF,428,0.50%
Common Council,statewide,Gene Nocera,WF,517,0.61%
Common Council,statewide,Darnell Ford,WF,439,0.52%
Common Council,statewide,Edward McKeon,WF,429,0.50%
Selectman,statewide,Sally J. Buemi,D,1896,35.31%
Selectman,statewide,William J. Pieper,R,3473,64.69%
City Council,statewide,Ronna Stuller,G,751,3.93%
City Council,statewide,"Kevin L. Booker, Jr.",D,1790,9.38%
City Council,statewide,James B. Burke,D,1673,8.76%
City Council,statewide,Efrain Dominguez Jr.,D,2013,10.55%
City Council,statewide,Reona M. Dyess,D,1529,8.01%
City Council,statewide,Curtis K. Goodwin,D,1818,9.52%
City Council,statewide,Alma D. Nartatez,D,1905,9.98%
City Council,statewide,John D. Satti,D,2188,11.46%
City Council,statewide,Michael Fred Hudson,R,839,4.40%
City Council,statewide,Alexis Major,R,1256,6.58%
City Council,statewide,Karen Paul,R,908,4.76%
City Council,statewide,Adam Sprecace,R,1639,8.59%
City Council,statewide,"Kevin L. Booker, Jr.",WF,236,1.24%
City Council,statewide,James B. Burke,WF,280,1.47%
City Council,statewide,Reona M. Dyess,WF,263,1.38%
Town Council Willimantic Voting District,statewide,Roy Dingler,BL,189,4.01%
Town Council Willimantic Voting District,statewide,Jean M deSmet,G,522,11.09%
Town Council Willimantic Voting District,statewide,Charles Krich,G,344,7.31%
Town Council Willimantic Voting District,statewide,Clinton Adams,D,562,11.93%
Town Council Willimantic Voting District,statewide,Nectalis Martinez,D,588,12.49%
Town Council Willimantic Voting District,statewide,Thomas DeVivo,D,641,13.61%
Town Council Willimantic Voting District,statewide,Randall Prose,D,559,11.87%
Town Council Willimantic Voting District,statewide,Douglas Bertone Sr,R,303,6.43%
Town Council Willimantic Voting District,statewide,Gus Loukas,R,376,7.98%
Town Council Willimantic Voting District,statewide,John R McCommas,R,331,7.03%
Town Council Willimantic Voting District,statewide,Rosita Vining,R,294,6.24%
Selectmen,statewide,Liza Boritz,D,671,50.19%
Selectmen,statewide,John Blessington,R,666,49.81%
Town Council,statewide,Jason Zandri,D,6360,8.56%
Town Council,statewide,"Vincent F Testa, Jr",D,6646,8.94%
Town Council,statewide,Jeff Kohan,D,4479,6.03%
Town Council,statewide,Jesse S Reynolds,D,5190,6.98%
Town Council,statewide,Gina Morgenstein,D,5595,7.53%
Town Council,statewide,Jaime Hine,D,5245,7.06%
Town Council,statewide,Chris Shortell,R,6491,8.73%
Town Council,statewide,Vincent Cervoni,R,6692,9.00%
Town Council,statewide,Christina Tatta,R,7893,10.62%
Town Council,statewide,Joe A Marrone III,R,6080,8.18%
Town Council,statewide,Tom Laffin,R,6651,8.95%
Town Council,statewide,Craig Fishbein,R,6999,9.42%
Board of Education Full Term,statewide,Rolf Maurer,G,703,1.81%
Board of Education Full Term,statewide,Fritz G. Chery,D,7428,19.17%
Board of Education Full Term,statewide,Daniel Dauplaise,D,7650,19.75%
Board of Education Full Term,statewide,Jennienne Burke,D,8146,21.03%
Board of Education Full Term,statewide,Nicola Tarzia,R,5180,13.37%
Board of Education Full Term,statewide,Rebecca Hamman,R,4790,12.36%
Board of Education Full Term,statewide,Margaret Feeney,R,4842,12.50%
Selectman,statewide,Paul Honig,D,550,35.95%
Selectman,statewide,Evan Brunetti,R,980,64.05%
Councilman At Large,statewide,Jody E. Clouse,D,5942,12.91%
Councilman At Large,statewide,Dominique Baez,D,6119,13.29%
Councilman At Large,statewide,Berita Rowe Lewis,D,6271,13.62%
Councilman At Large,statewide,Brad Macdowall,D,6729,14.62%
Councilman At Large,statewide,"Elizabeth ""Betty"" Wetmore",R,5048,10.97%
Councilman At Large,statewide,Dian Lewis,R,3813,8.28%
Councilman At Large,statewide,Austin Cesare,R,4706,10.22%
Councilman At Large,statewide,Dolphuss Addison,R,3760,8.17%
Councilman At Large,statewide,Laurie A. Sweet,WF,1782,3.87%
Councilman At Large,statewide,Rhonda L. Caldwell,WF,1867,4.06%
Town Clerk,statewide,Cheryl A. Grist,D,584,61.47%
Town Clerk,statewide,Cheryl A. Grist,R,366,38.53%
Board of Assessment Appeals,statewide,Andrew T. Ugalde,D,950,100.00%
Board of Finance Full Term,statewide,Natalie W. Welsh,D,897,26.69%
Board of Finance Full Term,statewide,Mike Malloy,D,864,25.71%
Board of Finance Full Term,statewide,Richard Galluccio,R,809,24.07%
Board of Finance Full Term,statewide,Glenn Zaugg,R,791,23.53%
Town Clerk,statewide,Barbara L Breor,R,1033,100.00%
Town Clerk,statewide,Caryn L. DIller,R,2951,100.00%
Town Clerk,statewide,Julie C. Petrella,D,1718,48.72%
Town Clerk,statewide,JoAnn Doyle,R,1808,51.28%
Board of Finance,statewide,Robin Turpin,D,557,21.11%
Board of Finance,statewide,Charles L. Casella,R,1048,39.71%
Board of Finance,statewide,Tim G. Bobroske,R,1034,39.18%
Town Clerk,statewide,Betsy P. Browne,R,12539,100.00%
Tax Collector,statewide,Kristin Battistoni,R,2286,100.00%
Board of Education To Fill Vacancy for Four Years,statewide,Michael Rouillard,PC,181,100.00%
Board of Finance,statewide,Linda Schofield,D,4242,38.88%
Board of Finance,statewide,Arthur H. House,D,3378,30.96%
Board of Finance,statewide,Michael Doyle,R,3290,30.16%
Board of Assessment Appeals,statewide,Garson F Heller Jr,R,3738,100.00%
Town Treasurer,statewide,Vincent D. Palutis,R,3046,100.00%
Town Clerk,statewide,Michele R. Grande,D,1197,63.54%
Town Clerk,statewide,Michele R. Grande,R,687,36.46%
Town Treasurer,statewide,Robert W. Fish,R,2164,100.00%
Town Clerk,statewide,Kathy Dunai,D,2328,100.00%
Town Clerk,statewide,Kim Garvis,R,1943,100.00%
Town Treasurer,statewide,Tina M. Pitcher,D,411,66.40%
Town Treasurer,statewide,Tina M. Pitcher,R,208,33.60%
Board of Finance,statewide,Peter M Engh,D,835,26.91%
Board of Finance,statewide,David Fortin,R,1054,33.97%
Board of Finance,statewide,Michael Bernardi,R,1214,39.12%
Town Treasurer,statewide,Jane Spanilo Butterworth,R,1545,100.00%
Town Treasurer,statewide,Maryann B Butkus,D,765,100.00%
Town Clerk,statewide,Noreen Prichard,R,5717,100.00%
Town Treasurer,statewide,Cindy B. Cooper,D,1211,41.89%
Town Treasurer,statewide,Christopher P. LaTournes,R,1680,58.11%
Town Treasurer,statewide,Pat Smithwick,D,2561,51.87%
Town Treasurer,statewide,William I. Duff,R,2103,42.60%
Town Treasurer,statewide,William I. Duff,IND,273,5.53%
City Sheriff,statewide,Robert E. Burgess,D,8573,57.95%
City Sheriff,statewide,Scott Vetare,R,6220,42.05%
Town Clerk,statewide,Carol L. Havens,R,531,100.00%
Town Treasurer,statewide,Mark S. Donahue,D,877,52.05%
Town Treasurer,statewide,William A. Mason,R,808,47.95%
Town Clerk,statewide,Lisa E. Arpin,R,4370,100.00%
Council District 1,statewide,Paul Lundquist,D,1166,18.77%
Council District 1,statewide,Chris Eide,D,1004,16.16%
Council District 1,statewide,Judit DeStefano,D,1095,17.63%
Council District 1,statewide,William DeRosa,R,923,14.86%
Council District 1,statewide,Charles Gardner,R,942,15.17%
Council District 1,statewide,Cathy Reiss,R,1081,17.40%
Board of Finance,statewide,Angela Desanto,D,603,32.58%
Board of Finance,statewide,Merrill (Butch) Simpson,R,570,30.79%
Board of Finance,statewide,Carl H. Pfalzgraf,R,678,36.63%
Tax Collector,statewide,Sarah Bruso,D,319,67.58%
Tax Collector,statewide,Sarah Bruso,R,153,32.42%
Town Clerk,statewide,Claudia A. Weber,R,4350,100.00%
Treasurer,statewide,Linda S Paviol,D,133,63.03%
Treasurer,statewide,Linda S Paviol,R,78,36.97%
Board of Finance,statewide,Thomas J. Connor,D,2783,28.61%
Board of Finance,statewide,Joan E. Gillespie,D,2871,29.51%
Board of Finance,statewide,John A. Michaels,R,4075,41.89%
BOARD OF ALDERMEN-FIRST WARD,statewide,Paul Littlefield,D,1107,21.09%
BOARD OF ALDERMEN-FIRST WARD,statewide,David Gidwani,R,2074,39.52%
BOARD OF ALDERMEN-FIRST WARD,statewide,Anthony F. Simonetti,R,2067,39.39%
Town Council District 1,statewide,Linda Segal,D,681,12.37%
Town Council District 1,statewide,Dave Valletta,R,1844,33.49%
Town Council District 1,statewide,Domenic Angiolillo,R,2010,36.51%
Town Council District 1,statewide,Deborah J. Golden,PC,971,17.64%
Board of Finance,statewide,W. Campbell Hudson,D,1439,31.92%
Board of Finance,statewide,Mary-Louise Polo,D,1412,31.32%
Board of Finance,statewide,Carolyn E. Field,R,810,17.97%
Board of Finance,statewide,Philip J. Beckman,R,847,18.79%
Town Treasurer,statewide,David Mischke,R,1465,100.00%
Town Treasurer,statewide,David Mischke,R,0,0.00%
Board of Finance Full Term,statewide,Alan Grauberd,D,1582,32.99%
Board of Finance Full Term,statewide,Amy Gare,D,1628,33.95%
Board of Finance Full Term,statewide,Richard Bochinski,D,1585,33.06%
Board of Finance Full Term,statewide,Joseph Nash,D,694,21.40%
Board of Finance Full Term,statewide,Maura Higginson,D,669,20.63%
Board of Finance Full Term,statewide,David Coderre,R,1000,30.84%
Board of Finance Full Term,statewide,Michael Paquin,R,880,27.14%
Town Treasurer,statewide,Kristin Mosimann,D,766,51.41%
Town Treasurer,statewide,Ruthann Fainer,R,724,48.59%
Town Clerk,statewide,Shannon Pearl Haddad,D,340,69.96%
Town Clerk,statewide,Peggy King,WI,146,30.04%
Town Clerk,statewide,"Mary ""Molly"" Saleeby",D,7310,43.21%
Town Clerk,statewide,Carmella C. Budkins,R,9606,56.79%
Treasurer,statewide,Steven Kovach,D,6042,55.86%
Treasurer,statewide,Tami J. Kapacziewski,R,4775,44.14%
Town Clerk & Tax Collector,statewide,Kathy A. Spinato-Grant,D,1652,30.68%
Town Clerk & Tax Collector,statewide,J. Stacey Yarbrough,R,3732,69.32%
Board Of Education,statewide,Sharmaine R. Gregor,G,876,5.13%
Board Of Education,statewide,Jason L. Catala,D,1084,6.35%
Board Of Education,statewide,Elaine Maynard-Adams,D,1952,11.43%
Board Of Education,statewide,Lee Cornish-Muller,D,1841,10.78%
Board Of Education,statewide,Queenie Diaz,D,1823,10.67%
Board Of Education,statewide,Jefferey P. Hart,D,1757,10.29%
Board Of Education,statewide,Bryan Doughty,D,1939,11.35%
Board Of Education,statewide,Regina Mosley,D,1866,10.92%
Board Of Education,statewide,Robert Pero,R,1778,10.41%
Board Of Education,statewide,Susan Tierney,R,1517,8.88%
Board Of Education,statewide,Jefferey P. Hart,WF,310,1.81%
Board Of Education,statewide,Regina Mosley,WF,340,1.99%
Board of Finance,statewide,William S. Hettinger,BL,546,7.86%
Board of Finance,statewide,Anita Sebestyen,BL,858,12.36%
Board of Finance,statewide,Michael Westerfield,G,867,12.49%
Board of Finance,statewide,Tyler Griffin,D,1111,16.00%
Board of Finance,statewide,Roger Nadeau,D,1136,16.36%
Board of Finance,statewide,Kevin Donohue,D,1295,18.65%
Board of Finance,statewide,Charles Pennewill,R,1130,16.28%
Treasurer,statewide,Diane Bulick,R,957,100.00%
Board of Education,statewide,Patty Pursell,D,6460,9.14%
Board of Education,statewide,Michael J Votto Sr,D,5929,8.39%
Board of Education,statewide,Bryan Rivard,D,5325,7.54%
Board of Education,statewide,Patrick Reynolds,D,5612,7.94%
Board of Education,statewide,Kathy Castelli,D,5887,8.33%
Board of Education,statewide,Bruce Conroy,D,4797,6.79%
Board of Education,statewide,Karen A Hlavac,R,6364,9.01%
Board of Education,statewide,Raymond J Ross,R,6534,9.25%
Board of Education,statewide,Autumn Allinson,R,5842,8.27%
Board of Education,statewide,Tammy Raccio,R,6395,9.05%
Board of Education,statewide,Erin Corso,R,6300,8.92%
Board of Education,statewide,Rajan Doering,R,5197,7.36%
Board of Education Vacancy for one year,statewide,Jack Bryant,D,8231,60.24%
Board of Education Vacancy for one year,statewide,Eva Maldonado,R,5432,39.76%
Board of Assessment Appeals,statewide,Brian Wiley,D,2240,58.46%
Board of Assessment Appeals,statewide,Cindy Cartier,R,1592,41.54%
Councilman District 1,statewide,Mick McGarry,D,473,56.92%
Councilman District 1,statewide,Debra Rigney,R,358,43.08%
