office,town,candidate,party,votes,vote_percent
First Selectman,statewide,Robert Bessel,D,1366,51.45%
First Selectman,statewide,Arnie Goldman,R,1289,48.55%
Mayor,statewide,Curt Balzano Leng,D,7412,59.77%
Mayor,statewide,Jay Kaye,R,4989,40.23%
First Selectman,statewide,Maureen Nicholson,D,749,100.00%
Town Treasurer,statewide,Stephen J. Savino,D,990,100.00%
First Selectman,statewide,James M. Hayden,D,1024,59.67%
First Selectman,statewide,Todd Zessin,R,692,40.33%
First Selectman,statewide,Michael R. Criss,R,1182,100.00%
First Selectman,statewide,Robert P Valentine,R,802,68.43%
First Selectman,statewide,Thomas P Carey,PC,370,31.57%
First Selectman,statewide,Jayme Stevenson,R,2946,90.51%
First Selectman,statewide,Christian Noe,PC,309,9.49%
Mayor,statewide,J. Scott Lamberson,D,1237,34.41%
Mayor,statewide,Enzo Faienza,R,2358,65.59%
Board of Finance,statewide,Meghan Scanlon,D,2286,36.99%
Board of Finance,statewide,F. Michael Ayles,D,2207,35.71%
Board of Finance,statewide,"Robert Hartmann, Jr.",R,1687,27.30%
First Selectman,statewide,Michael C. Tetreau,D,7413,42.18%
First Selectman,statewide,Brenda Kupchick,R,9535,54.26%
First Selectman,statewide,Brenda Kupchick,IND,626,3.56%
First Selectman,statewide,Brenda Buzzi,D,1079,37.61%
First Selectman,statewide,Robert McGarry,R,1790,62.39%
Board of Finance Full Term,statewide,Charles P. Rabbitt,D,193,100.00%
First Selectman,statewide,Eric Wellman,D,3689,56.70%
First Selectman,statewide,Cheryl Cook,R,2756,42.36%
First Selectman,statewide,Robert H. Kalechman,PC,61,0.94%
Board of Finance,statewide,Nancie Dupier,D,4485,28.33%
Board of Finance,statewide,Sheri Gordon,D,4575,28.90%
Board of Finance,statewide,James A Foster,R,3389,21.40%
Board of Finance,statewide,Jay DesMarteau,R,3384,21.37%
First Selectman,statewide,Betti R. Hellman,D,923,24.13%
First Selectman,statewide,George R. Temple,R,2902,75.87%
First Selectman,statewide,Julia Pemberton,D,1202,68.22%
First Selectman,statewide,Julia Pemberton,R,560,31.78%
First Selectman,statewide,"Carl P. Fortuna, Jr.",R,2259,100.00%
First Selectman,statewide,Melissa Mack,D,1875,100.00%
First Selectman,statewide,Laura L Francis,R,1334,57.52%
First Selectman,statewide,George M Eames IV,PC,985,42.48%
First Selectman,statewide,Brent M. Colley,R,444,100.00%
First Selectman,statewide,J. Christopher Kervick,D,1577,53.15%
First Selectman,statewide,Paul M. Harrington,R,1390,46.85%
First Selectman,statewide,Frank Olah,D,690,37.91%
First Selectman,statewide,John V Swan Jr,R,1130,62.09%
First Selectman,statewide,Hiram J. Fuchs,D,899,42.87%
First Selectman,statewide,Noel G. Bishop,R,1198,57.13%
Board of Finance,statewide,Geoff Alswanger,D,8917,22.73%
Board of Finance,statewide,Mary Lou Rinaldi,D,9336,23.80%
Board of Finance,statewide,David Kooris,D,8366,21.32%
Board of Finance,statewide,Andrew Krill,R,4195,10.69%
Board of Finance,statewide,Chris Woodside,R,4262,10.86%
Board of Finance,statewide,Fritz Blau,R,4159,10.60%
First Selectman,statewide,Leonard J Assard,D,472,52.15%
First Selectman,statewide,Leonard J Assard,R,433,47.85%
First Selectman,statewide,Matthew S. Knickerbocker,D,2797,55.23%
First Selectman,statewide,Patricia A. Rist,R,1805,35.64%
First Selectman,statewide,Patricia A. Rist,IND,142,2.80%
First Selectman,statewide,"William H. Ochs, IV",PC,320,6.32%
Mayor,statewide,Tom O'Brien,D,2395,32.92%
Mayor,statewide,Pete Bass,R,4880,67.08%
Mayor,statewide,Harry W.Rilling,D,8397,53.05%
Mayor,statewide,Lisa Brinton,R,7047,44.52%
Mayor,statewide,Harry W.Rilling,WF,385,2.43%
Mayor,statewide,Colin C. Bella,WI,0,0.00%
First Selectman,statewide,Donald T. Lowe,D,560,100.00%
First Selectman,statewide,James B. Cosgrove,R,4490,100.00%
First Selectman,statewide,Michael Urgo,D,798,44.71%
First Selectman,statewide,Brett L. Mastroianni,R,878,49.19%
First Selectman,statewide,Michael Urgo,IND,109,6.11%
First Selectman,statewide,Daniel Rosenthal,D,4279,100.00%
First Selectman,statewide,Ralph H. Fletcher,D,580,51.74%
First Selectman,statewide,William A. Falletti,R,541,48.26%
First Selectman,statewide,Matthew T. Riiska,D,320,69.57%
First Selectman,statewide,Matthew T. Riiska,R,140,30.43%
First Selectman,statewide,Craig Donovan,D,2193,38.98%
First Selectman,statewide,Kevin J. Moynihan,R,3433,61.02%
First Selectman,statewide,Henry W Todd,D,134,65.37%
First Selectman,statewide,Henry W Todd,R,71,34.63%
First Selectman,statewide,Richard Boritz,D,2412,40.19%
First Selectman,statewide,Jeffrey A. Manville,R,3589,59.81%
MAYOR,statewide,John C. Harmon,D,3585,33.10%
MAYOR,statewide,Mark A. Lauretti,R,7245,66.90%
Mayor,statewide,Thomas G. Dunn,PC,2381,100.00%
First Selectman,statewide,Norman Needleman,D,1667,72.86%
First Selectman,statewide,Matthew R. Fleming,R,621,27.14%
Mayor,statewide,Jared S Liu,D,5072,41.10%
Mayor,statewide,William W Dickinson Jr.,R,7270,58.90%
Mayor,statewide,David Merchant,R,1348,100.00%
First Selectman,statewide,Chris Spaulding,D,1673,100.00%
Mayor,statewide,Jamie J. Heath,D,675,39.50%
Mayor,statewide,"Norman ""Barney"" Seney",R,1034,60.50%
First Selectman,statewide,Edmond Mone,R,1214,100.00%
First Selectman,statewide,Allan R Cahill Jr,R,409,100.00%
First Selectman,statewide,Jill Oberlander,D,7466,42.64%
First Selectman,statewide,Fred Camillo,R,10045,57.36%
Mayor,statewide,Benjamin D. Florsheim,D,5845,50.17%
Mayor,statewide,Sebastian N. Giuliano,R,5428,46.59%
Mayor,statewide,Benjamin D. Florsheim,WF,355,3.05%
Mayor,statewide,Valeka Clarke,WI,22,0.19%
First Selectman,statewide,Michael J. Freda,R,4790,100.00%
Mayor,statewide,Michael E. Passero,D,1971,54.21%
Mayor,statewide,Marty Olsen,R,1166,32.07%
Mayor,statewide,Michael E. Passero,WF,112,3.08%
Mayor,statewide,Frida Berrigan,WI,387,10.64%
Town Council Windham Voting District,statewide,Jay Handfield,BL,275,21.55%
Town Council Windham Voting District,statewide,Corey Brand Krohn,G,74,5.80%
Town Council Windham Voting District,statewide,Cindy J LaQuire,D,386,30.25%
Town Council Windham Voting District,statewide,Tony Fantoli,R,541,42.40%
First Selectman,statewide,Erika G. Wiecenski,D,705,51.88%
First Selectman,statewide,Peter Tanaka,R,654,48.12%
Town Clerk,statewide,Vera Morrison,D,9116,100.00%
Selectmen,statewide,Patrick McCarthy,D,536,54.92%
Selectmen,statewide,Ellsworth Chase,R,440,45.08%
Board of Finance,statewide,Vincent Lambri,D,709,20.18%
Board of Finance,statewide,Andrew Klimkoski,D,798,22.72%
Board of Finance,statewide,Steve Carrier,R,989,28.15%
