office,town,candidate,party,votes,vote_percent
State Representative to Fill a Vacancy 19th,statewide,Tammy Exum,D,2407,64.60%
State Representative to Fill a Vacancy 19th,statewide,Robert Margolis,R,1253,33.63%
State Representative to Fill a Vacancy 19th,statewide,Robert Margolis,IND,66,1.77%
State Representative to Fill a Vacancy 19th,Avon,Tammy Exum,D,364,50.00%
State Representative to Fill a Vacancy 19th,Avon,Robert Margolis,R,350,48.08%
State Representative to Fill a Vacancy 19th,Avon,Robert Margolis,IND,14,1.92%
State Representative to Fill a Vacancy 19th,Farmington,Tammy Exum,D,90,45.92%
State Representative to Fill a Vacancy 19th,Farmington,Robert Margolis,R,103,52.55%
State Representative to Fill a Vacancy 19th,Farmington,Robert Margolis,IND,3,1.53%
State Representative to Fill a Vacancy 19th,West Hartford,Tammy Exum,D,1953,69.70%
State Representative to Fill a Vacancy 19th,West Hartford,Robert Margolis,R,800,28.55%
State Representative to Fill a Vacancy 19th,West Hartford,Robert Margolis,IND,49,1.75%
