office,town,candidate,party,votes,vote_percent
Governor and Lieutenant Governor,statewide,Ned Lamont and Susan Bysiewicz,D,676649,48.10%
Governor and Lieutenant Governor,statewide,Bob Stefanowski and Joe Markley,R,624750,44.41%
Governor and Lieutenant Governor,statewide,Ned Lamont and Susan Bysiewicz,WF,17861,1.27%
Governor and Lieutenant Governor,statewide,Bob Stefanowski and Joe Markley,IND,25388,1.80%
Governor and Lieutenant Governor,statewide,Rodney Hanscomb and Jeffrey Thibeault,LI,6086,0.43%
Governor and Lieutenant Governor,statewide,Mark Stewart Greenstein and John Demitrus,ACL,1254,0.09%
Governor and Lieutenant Governor,statewide,Oz Griebel and Monte E Frank,GFCT,54741,3.89%
Governor and Lieutenant Governor,statewide,Lee Whitnum and Jacey Wyatt,WI,74,0.01%
United States Senator,statewide,Christopher S Murphy,D,787685,56.80%
United States Senator,statewide,Matthew Corey,R,545717,39.35%
United States Senator,statewide,Christopher S Murphy,WF,37894,2.73%
United States Senator,statewide,Richard Lion,LI,8838,0.64%
United States Senator,statewide,Jeff Russell,G,6618,0.48%
United States Senator,statewide,Fred Linck,WI,70,0.01%
United States Senator,statewide,Kristi L Talmadge,WI,18,0.00%
Representative in Congress 01,statewide,John B Larson,D,166155,60.61%
Representative in Congress 01,statewide,Jennifer T Nye,R,96024,35.03%
Representative in Congress 01,statewide,John B Larson,WF,8932,3.26%
Representative in Congress 01,statewide,Thomas McCormick,G,3029,1.10%
Representative in Congress 02,statewide,Joe Courtney,D,167659,57.99%
Representative in Congress 02,statewide,Danny Postemski Jr,R,102483,35.45%
Representative in Congress 02,statewide,Joe Courtney,WF,12072,4.18%
Representative in Congress 02,statewide,Daniel Reale,LI,3305,1.14%
Representative in Congress 02,statewide,Michelle Louise Bicking,G,3595,1.24%
Representative in Congress 03,statewide,Rosa L DeLauro,D,163211,60.40%
Representative in Congress 03,statewide,Angel Cadena,R,95667,35.40%
Representative in Congress 03,statewide,Rosa L DeLauro,WF,11361,4.20%
