office,town,candidate,party,votes,vote_percent
First Selectman,statewide,David D. Eaton,R,63,100.00%
Selectmen,statewide,David M. Heck,D,31,41.89%
Selectmen,statewide,E. John Murdock Jr.,R,43,58.11%
Town Clerk,statewide,Heidi Bradrick,R,66,100.00%
Town Treasurer,statewide,Amanda Gaug,R,59,100.00%
Tax Collector,statewide,Maureen M. Eaton,R,54,100.00%
Board of Finance Full Term,statewide,*,D,0,0.00%
Board of Finance To Fill Vacancy Two Years,statewide,Cheryl D'Amico,R,59,100.00%
Board of Finance Alternate Full Term,statewide,*,D,0,0.00%
Board of Finance Alternate To Fill Vacancy Four Years,statewide,*,D,0,0.00%
Board of Finance Alternate To Fill Vacancy Four Years,statewide,*,D,0,0.00%
Board of Education Full Term,statewide,Andrea M. Estell,D,38,34.86%
Board of Education Full Term,statewide,Edward A. Fournier,D,38,34.86%
Board of Education Full Term,statewide,James A. Kavanagh III,D,33,30.28%
Board of Education To Fill Vacancy Two Years,statewide,Emily Perkins,R,45,100.00%
Board of Assessment Appeals,statewide,Edward A. Fournier,D,43,47.78%
Board of Assessment Appeals,statewide,David M. Heck,D,47,52.22%
Planning and Zoning Term Begins 2025,statewide,Erick Ponkala,R,59,100.00%
Planning and Zoning Term Begins 2026,statewide,*,D,0,0.00%
Planning and Zoning Term Begins 2026,statewide,Barry S. Kapplan,R,59,100.00%
Zoning Board of Appeals Term Begins 2025,statewide,Eric Emhoff,R,60,100.00%
Zoning Board of Appeals Full Term Begins 2026,statewide,*,D,0,0.00%
Zoning Board of Appeals To Fill Vacancy Four Years,statewide,*,D,0,0.00%
Zoning Board of Appeals Alternate Full Term,statewide,Edward A. Fournier,D,26,39.39%
Zoning Board of Appeals Alternate Full Term,statewide,Mary Huda,R,40,60.61%
Zoning Board of Appeals Alternate To Fill Vacancy Two Years,statewide,*,D,0,0.00%
Constables,statewide,"Albert L. Goodhall, Jr.",R,60,52.63%
Constables,statewide,Albert L. Goodhall,R,54,47.37%
Library Directors Full Term,statewide,Samantha Essery,D,42,47.73%
Library Directors Full Term,statewide,Danielle Kneeland,R,46,52.27%
Library Director to Fill Vacancy for Four Years,statewide,Karen Calabrese,PC,53,100.00%
First Selectman,Union,David D. Eaton,R,63,100.00%
Selectmen,Union,David M. Heck,D,31,41.89%
Selectmen,Union,E. John Murdock Jr.,R,43,58.11%
Town Clerk,Union,Heidi Bradrick,R,66,100.00%
Town Treasurer,Union,Amanda Gaug,R,59,100.00%
Tax Collector,Union,Maureen M. Eaton,R,54,100.00%
Board of Finance Full Term,Union,*,D,0,0.00%
Board of Finance To Fill Vacancy Two Years,Union,Cheryl D'Amico,R,59,100.00%
Board of Finance Alternate Full Term,Union,*,D,0,0.00%
Board of Finance Alternate To Fill Vacancy Four Years,Union,*,D,0,0.00%
Board of Finance Alternate To Fill Vacancy Four Years,Union,*,D,0,0.00%
Board of Education Full Term,Union,Andrea M. Estell,D,38,34.86%
Board of Education Full Term,Union,Edward A. Fournier,D,38,34.86%
Board of Education Full Term,Union,James A. Kavanagh III,D,33,30.28%
Board of Education To Fill Vacancy Two Years,Union,Emily Perkins,R,45,100.00%
Board of Assessment Appeals,Union,Edward A. Fournier,D,43,47.78%
Board of Assessment Appeals,Union,David M. Heck,D,47,52.22%
Planning and Zoning Term Begins 2025,Union,Erick Ponkala,R,59,100.00%
Planning and Zoning Term Begins 2026,Union,*,D,0,0.00%
Planning and Zoning Term Begins 2026,Union,Barry S. Kapplan,R,59,100.00%
Zoning Board of Appeals Term Begins 2025,Union,Eric Emhoff,R,60,100.00%
Zoning Board of Appeals Full Term Begins 2026,Union,*,D,0,0.00%
Zoning Board of Appeals To Fill Vacancy Four Years,Union,*,D,0,0.00%
Zoning Board of Appeals Alternate Full Term,Union,Edward A. Fournier,D,26,39.39%
Zoning Board of Appeals Alternate Full Term,Union,Mary Huda,R,40,60.61%
Zoning Board of Appeals Alternate To Fill Vacancy Two Years,Union,*,D,0,0.00%
Constables,Union,"Albert L. Goodhall, Jr.",R,60,52.63%
Constables,Union,Albert L. Goodhall,R,54,47.37%
Library Directors Full Term,Union,Samantha Essery,D,42,47.73%
Library Directors Full Term,Union,Danielle Kneeland,R,46,52.27%
Library Director to Fill Vacancy for Four Years,Union,Karen Calabrese,PC,53,100.00%
