office,town,candidate,party,votes,vote_percent
Mayor,statewide,Ron Gambardella,R,5349,43.36%
Mayor,statewide,Curt Balzano Leng,WI,57,0.46%
Mayor,statewide,Albert Lotto,WI,278,2.25%
Town Council - Full Term,statewide,Louis Esposito,IND,358,2.64%
Town Council - Full Term,statewide,Gary J Lafferty,IND,418,3.08%
Town Council - Full Term,statewide,Brandon Emerick,IND,326,2.40%
Town Council - Full Term,statewide,Louis Esposito,D,1082,7.96%
Town Council - Full Term,statewide,Gary J Lafferty,D,1089,8.02%
Town Council - Full Term,statewide,Brandon Emerick,D,991,7.29%
Town Council - Full Term,statewide,Ken Demirs,R,3181,23.41%
Town Council - Full Term,statewide,Anthony M DiBona,R,3058,22.51%
Town Council - Full Term,statewide,Robert Retallick,R,3083,22.69%
Town Council,statewide,Kenneth James Trice,D,1730,9.29%
Town Council,statewide,Brenda Falusi,D,1829,9.82%
Town Council,statewide,Sami Khan,D,1916,10.29%
Town Council,statewide,Colleen Yudichak,D,1827,9.81%
Town Council,statewide,Steven Jones,D,1865,10.02%
Town Council,statewide,Tammy Nuccio,R,2135,11.47%
Town Council,statewide,William Bode III,R,1807,9.71%
Town Council,statewide,Kurt Schenher,R,1766,9.48%
Town Council,statewide,John Reagan,R,1893,10.17%
Town Council,statewide,Lou Luba,R,1851,9.94%
Selectmen,statewide,Alan Baker,D,657,21.08%
Selectmen,statewide,Marie DeSousa,D,679,21.79%
Selectmen,statewide,Charles Nordell,R,836,26.83%
Selectmen,statewide,Sarah A. Muska,R,944,30.30%
Mayor,statewide,Joe Kilduff,R,1263,100.00%
First Selectman,statewide,Theodore C. Shafer,D,1103,37.76%
First Selectman,statewide,Douglas K. Thompson,R,1379,47.21%
First Selectman,statewide,Eleanor J. Parente,PC,439,15.03%
Mayor,statewide,Laurie Boske,D,1860,37.64%
Mayor,statewide,Lisa J. Marotta,R,3081,62.36%
First Selectman,statewide,Wendy Mackstutis,D,3572,52.62%
First Selectman,statewide,Sean Askham,R,3216,47.38%
First Selectman,statewide,Kate Donnelly,D,222,30.54%
First Selectman,statewide,Kathy A. Donahue,R,152,20.91%
First Selectman,statewide,Allan R. Cahill,PC,353,48.56%
Mayor,statewide,Elain Cariati,WE,154,1.91%
Mayor,statewide,Ernestine Holloway,IND,159,1.98%
Mayor,statewide,Kevin Scarpati,D,4523,56.23%
Mayor,statewide,Elain Cariati,R,3208,39.88%
First Selectman,statewide,Daniel V. Jerram,R,1523,100.00%
Board of Finance Full Term,statewide,Molly Nolan,D,863,27.13%
Board of Finance Full Term,statewide,James C. Martinelli,R,1189,37.38%
Board of Finance Full Term,statewide,Carleton L. Stoup Sr.,R,1129,35.49%
First Selectman,statewide,Valerie J. Eastwood,D,1103,36.46%
First Selectman,statewide,Mark Fiorentino,R,1922,63.54%
First Selectman,statewide,William Kelly,D,5460,32.90%
First Selectman,statewide,Fred Camillo,R,11138,67.10%
First Selectman,statewide,Mickey Yardis,WI,0,0.00%
Mayor,statewide,Mark M. Bettencourt,D,2003,40.71%
Mayor,statewide,Peter Albert Nystrom,R,2917,59.29%
First Selectman,statewide,Julia Pemberton,D,1808,65.51%
First Selectman,statewide,John T. Shaban,R,952,34.49%
First Selectman,statewide,Matthew S. Knickerbocker,D,2848,100.00%
First Selectman,statewide,Norm Needleman,D,1294,100.00%
Mayor,statewide,Ellen Zoppo-Sassu,D,6324,47.76%
Mayor,statewide,Jeffrey Caggiano,R,6917,52.24%
Town Council,statewide,Ben Gediman,D,1624,9.01%
Town Council,statewide,Rosemary Morante,D,1709,9.48%
Town Council,statewide,Christopher J Wazorko,D,1757,9.74%
Town Council,statewide,Quinn Wazorko Christopher,D,1680,9.32%
Town Council,statewide,Jesse Gnazzo,D,1861,10.32%
Town Council,statewide,David Underwood,R,1974,10.95%
Town Council,statewide,Deborah Tompkins,R,1862,10.33%
Town Council,statewide,Jacob Rocco,R,1771,9.82%
Town Council,statewide,Kathy Pugliese,R,1961,10.88%
Town Council,statewide,Joseph Catanzaro,R,1831,10.16%
First Selectman,statewide,Melissa M. Mack,D,1928,48.88%
First Selectman,statewide,Colin Moll,R,2016,51.12%
Councilmen at Large,statewide,A. Fiona Pearson,D,3651,9.68%
Councilmen at Large,statewide,Chuck Neth,D,3643,9.66%
Councilmen at Large,statewide,Jennifer Dillon,D,3515,9.32%
Councilmen at Large,statewide,Jami Ferguson,D,3631,9.63%
Councilmen at Large,statewide,Lynn Alvey Dawson,D,3391,8.99%
Councilmen at Large,statewide,David Borowy,R,4024,10.67%
Councilmen at Large,statewide,Sandra Pavano,R,3676,9.75%
Councilmen at Large,statewide,Sylvia Nichols,R,4074,10.80%
Councilmen at Large,statewide,John Milone,R,3930,10.42%
Councilmen at Large,statewide,Tim Slocum,R,4173,11.07%
Councilor District 1,statewide,John Foxx,D,1004,46.55%
Councilor District 1,statewide,Joseph Bosco,R,1153,53.45%
First Selectman,statewide,Cheryl Allen Blanchard,R,282,100.00%
Mayor,statewide,Thomas G. Dunn,PC,2296,100.00%
First Selectman,statewide,Charlene Perkins Cutler,D,922,41.29%
First Selectman,statewide,John Swan,R,1311,58.71%
Mayor,statewide,Aigne Goldsby,D,1857,43.92%
Mayor,statewide,Allan D. Spotts,R,2010,47.54%
Mayor,statewide,Jamin Deproto,WI,361,8.54%
First Selectman,statewide,"Carl P. Fortuna, Jr.",R,2555,100.00%
Mayor,statewide,Nancy R Rossi,D,4273,50.17%
Mayor,statewide,Barry Lee Cohen,R,4244,49.83%
Mayor,statewide,David S. Cassetti,R,3006,99.80%
Mayor,statewide,Jonathan C. Krysinski,WI,6,0.20%
First Selectman,statewide,Steve Dunn,D,2669,47.53%
First Selectman,statewide,Tara Carr,R,2877,51.24%
First Selectman,statewide,Austin M Monteiro,PC,69,1.23%
First Selectman,statewide,Annmarie Drugonis,R,2042,100.00%
First Selectman,statewide,J. Christopher Kervick,D,1444,46.34%
First Selectman,statewide,Paul M. Harrington,R,1672,53.66%
First Selectman,statewide,Samantha Nestor,D,1845,66.51%
First Selectman,statewide,Kirby Brendsel,R,929,33.49%
Mayor,statewide,Sam Lomaglio,D,1996,35.12%
Mayor,statewide,Mark Kaczynski,R,3687,64.88%
First Selectman,statewide,Ken Kellogg,R,3664,100.00%
Board of Directors,statewide,Tim Bergin,D,5512,9.97%
Board of Directors,statewide,Pamela Floyd Cranford,D,5474,9.90%
Board of Directors,statewide,Sarah L. Jones,D,5514,9.97%
Board of Directors,statewide,Jay Moran,D,5961,10.78%
Board of Directors,statewide,Jessee Muniz Poland,D,5213,9.43%
Board of Directors,statewide,Dennis Schain,D,5346,9.67%
Board of Directors,statewide,Brian Marois,R,3726,6.74%
Board of Directors,statewide,Zachary Reichelt,R,3583,6.48%
Board of Directors,statewide,Jeff Sullivan,R,3679,6.65%
Board of Directors,statewide,Kelly Lierzer,R,3642,6.59%
Board of Directors,statewide,Peter Conyers,R,3948,7.14%
Board of Directors,statewide,Jacqueline Crespan,R,3702,6.69%
Town Council,statewide,Juliette Parker,D,2537,6.58%
Town Council,statewide,Melinda Cassiere,D,2527,6.56%
Town Council,statewide,Edward Jacome,D,2252,5.84%
Town Council,statewide,Bruce Jones,D,2416,6.27%
Town Council,statewide,Aundre Bumgardner,D,2667,6.92%
Town Council,statewide,David McBride,D,2527,6.56%
Town Council,statewide,Portia Bordelon,D,2891,7.50%
Town Council,statewide,Rachael Franco,D,2570,6.67%
Town Council,statewide,Juan Melendez,D,2552,6.62%
Town Council,statewide,Diane Barber,R,2249,5.84%
Town Council,statewide,Kathy Chase,R,2287,5.93%
Town Council,statewide,John Scott,R,2042,5.30%
Town Council,statewide,Robert Boris,R,2185,5.67%
Town Council,statewide,Scott Westervelt,R,2405,6.24%
Town Council,statewide,Bill Furgueson,R,2176,5.65%
Town Council,statewide,Jennifer White,R,2256,5.85%
Mayor,statewide,Benjamin Blake,D,10504,69.43%
Mayor,statewide,Peter Berube,R,4625,30.57%
First Selectman,statewide,Matthew J. Klimkosky,D,144,24.00%
First Selectman,statewide,Christopher L. Johnstone,R,358,59.67%
First Selectman,statewide,Scott T. Norton,PC,98,16.33%
Mayor,statewide,James Flores,G,196,8.07%
Mayor,statewide,Mike Desaulniers,BL,102,4.20%
Mayor,statewide,Thomas DeVivo,D,1206,49.67%
Mayor,statewide,Mike Desaulniers,R,924,38.06%
Mayor,statewide,Ted Hine,D,2022,26.90%
Mayor,statewide,Pete Bass,R,5494,73.10%
First Selectman,statewide,Curtis S. Read,D,237,100.00%
Town Council,statewide,Eric Bergman,G,941,14.66%
Town Council,statewide,Carrie Allen,D,1360,21.19%
Town Council,statewide,Christopher Michael Passante,D,1378,21.47%
Town Council,statewide,Paul Gebauer,D,1280,19.95%
Town Council,statewide,Tom Hollinger,R,1458,22.72%
First Selectman,statewide,Sandra Pierog,D,645,36.63%
First Selectman,statewide,Pamela Sawyer,R,1116,63.37%
First Selectman,statewide,Lincoln A. Cooper,D,201,23.18%
First Selectman,statewide,Lincoln A. Cooper,R,426,49.13%
First Selectman,statewide,Myron J. Joslyn,PC,240,27.68%
FIRST SELECTMAN,statewide,Sandra L. Allyn-Gauthier,D,513,100.00%
First Selectman,statewide,Deborah A Richards,D,145,36.52%
First Selectman,statewide,Deborah A Richards,R,252,63.48%
First Selectman,statewide,Sean Donlan,D,1045,38.65%
First Selectman,statewide,Robert W. McGarry,R,1659,61.35%
First Selectman,statewide,Tim Keeney,R,1972,100.00%
First Selectman,statewide,Steven Mattson,D,421,72.71%
First Selectman,statewide,Steven Mattson,R,158,27.29%
Mayor,statewide,"Norman ""Barney"" Seney",R,1062,100.00%
First Selectman,statewide,Carl M. Kordek,D,870,14.56%
First Selectman,statewide,Michael J. Freda,R,5106,85.44%
First Selectman,statewide,Pat Del Monaco,D,1972,100.00%
First Selectman,statewide,Beth A. O'Connell-Campbell,D,701,34.77%
First Selectman,statewide,Edmond Mone,R,1315,65.23%
First Selectman,statewide,Patrick Roy,D,704,65.79%
First Selectman,statewide,Bruce Tuomala,R,366,34.21%
Town Council,statewide,Tyler Flanigan,INDP,128,0.31%
Town Council,statewide,Mary Pelletier,INDP,137,0.34%
Town Council,statewide,Michael Rell,INDP,158,0.39%
Town Council,statewide,Patrick Pentalow,INDP,137,0.34%
Town Council,statewide,Daniel O'Connor,INDP,136,0.33%
Town Council,statewide,Tom Mazzarella,INDP,147,0.36%
Town Council,statewide,Ryan C. Biggs,D,3339,8.19%
Town Council,statewide,Ken Lesser,D,3435,8.43%
Town Council,statewide,Cindy Jacobs,D,3209,7.87%
Town Council,statewide,Kevin Hill,D,3386,8.31%
Town Council,statewide,Matthew Forrest,D,3405,8.35%
Town Council,statewide,Marjorie Callan Carson,D,3187,7.82%
Town Council,statewide,Tyler Flanigan,R,3206,7.86%
Town Council,statewide,Mary Pelletier,R,3312,8.12%
Town Council,statewide,Michael Rell,R,3580,8.78%
Town Council,statewide,Patrick Pentalow,R,3237,7.94%
Town Council,statewide,Daniel O'Connor,R,3249,7.97%
Town Council,statewide,Tom Mazzarella,R,3381,8.29%
Town Council,statewide,Peter Kochenburger,D,1587,15.42%
Town Council,statewide,Terry Berthelot,D,1478,14.36%
Town Council,statewide,Antonia Moran,D,1509,14.66%
Town Council,statewide,Ben Shaiken,D,1572,15.27%
Town Council,statewide,Sam Bruder,D,1550,15.06%
Town Council,statewide,Ronald Schurin,D,1533,14.89%
Town Council,statewide,Charles J. Ausburger,R,533,5.18%
Town Council,statewide,Alfred E. Fratoni,R,531,5.16%
First Selectman,statewide,David Bindelglass,D,1613,51.97%
First Selectman,statewide,Jeff Parker,R,1491,48.03%
First Selectman,statewide,Matthew T. Riiska,D,410,100.00%
First Selectman,statewide,Thomas W Weik,R,551,100.00%
Town Clerk,statewide,Sheila M. Anson,R,600,100.00%
Mayor,statewide,Chris Miner,D,3173,44.28%
Mayor,statewide,Beth Kinsey DelBuono,R,3992,55.72%
Mayor,statewide,Dean E Esposito,IND,347,2.46%
Mayor,statewide,Roberto L. Alves,WF,195,1.38%
Mayor,statewide,Roberto L. Alves,D,6708,47.59%
Mayor,statewide,Dean E Esposito,R,6846,48.57%
Mayor,statewide,Harry W.Rilling,WF,387,2.72%
Mayor,statewide,Harry W.Rilling,D,8665,60.88%
Mayor,statewide,Jonathan Riddle,R,5180,36.40%
Mayor,statewide,Kevin O'Leary,D,912,27.64%
Mayor,statewide,Robert J. Chatfield,R,2270,68.81%
Mayor,statewide,Taryn Finley,WI,117,3.55%
First Selectman,statewide,Glenn S. Pianka,D,371,49.01%
First Selectman,statewide,Jeremy Tarasevich,R,287,37.91%
First Selectman,statewide,Michael Smith,PC,99,13.08%
Council,statewide,Reona M. Dyess,WF,137,0.79%
Council,statewide,Carmen Jocelyn Rosario,WF,154,0.89%
Council,statewide,James Burke,WF,186,1.07%
Council,statewide,Martha Marx,WF,183,1.05%
Council,statewide,Kris Wraight,G,563,3.24%
Council,statewide,Eddie Long,G,462,2.66%
Council,statewide,Efrain Dominguez Jr.,D,1554,8.93%
Council,statewide,Reona M. Dyess,D,1297,7.45%
Council,statewide,Carmen Jocelyn Rosario,D,1217,6.99%
Council,statewide,John Satti,D,1723,9.90%
Council,statewide,James Burke,D,1387,7.97%
Council,statewide,Martha Marx,D,1444,8.30%
Council,statewide,Akil Peck,D,1301,7.48%
Council,statewide,John Russell,R,958,5.51%
Council,statewide,Aaron Ide,R,763,4.39%
Council,statewide,Martin Olsen,R,1178,6.77%
Council,statewide,Nancy Cole,R,740,4.25%
Council,statewide,Michael F. Hudson,R,687,3.95%
Council,statewide,Kysim L. Thompson,R,686,3.94%
Council,statewide,Rashad Umrani,R,779,4.48%
First Selectman,statewide,Charles W. Grant III,D,334,100.00%
First Selectman,statewide,Kevin J. Moynihan,R,4154,100.00%
First Selectman,statewide,Vicki Tesoro,D,5977,57.49%
First Selectman,statewide,Mark Block,R,4420,42.51%
Mayor,statewide,Immacula Cann,D,4708,37.03%
Mayor,statewide,Laura R. Hoydick,R,8007,62.97%
Mayor,statewide,David A. Eldridge,D,5500,43.65%
Mayor,statewide,Mark A. Lauretti,R,7100,56.35%
Board of Finance,statewide,Mike Rettger,D,3341,27.44%
Board of Finance,statewide,Andrew Okrongly,D,3224,26.48%
Board of Finance,statewide,Robert J. Lavelle,R,2800,23.00%
Board of Finance,statewide,Russell Porter,R,2811,23.09%
First Selectman,statewide,Tara Ochman,D,2692,38.69%
First Selectman,statewide,Monica M. McNally,R,4245,61.01%
First Selectman,statewide,Christian Noe,PC,21,0.30%
Town Council,statewide,Mary McGrattan,D,1727,9.67%
Town Council,statewide,Nicole Cruz-Glacken,D,1495,8.37%
Town Council,statewide,Naomi Rodriguez,D,1600,8.96%
Town Council,statewide,Bill Saums,D,1802,10.09%
Town Council,statewide,Hilary Evans,D,1526,8.55%
Town Council,statewide,John Marshall,R,1556,8.72%
Town Council,statewide,Gary Paul,R,1539,8.62%
Town Council,statewide,Tim Ryan,R,1569,8.79%
Town Council,statewide,Kevin Dombrowski,R,1615,9.05%
Town Council,statewide,Andra Ingalls,R,1572,8.81%
Town Council,statewide,Linda Davis,R,1851,10.37%
Town Council Two Year Term,statewide,Rickford Kirton,D,2780,12.87%
Town Council Two Year Term,statewide,Danielle DW Wong,D,3085,14.28%
Town Council Two Year Term,statewide,"Anthony ""Tony"" Harrington",D,2985,13.82%
Town Council Two Year Term,statewide,Greg Davis,D,2997,13.87%
Town Council Two Year Term,statewide,Kenneth L. McClary,D,2933,13.58%
Town Council Two Year Term,statewide,Suzette DeBeatham-Brown,D,2792,12.92%
Town Council Two Year Term,statewide,Shamar A. Mahon,R,783,3.62%
Town Council Two Year Term,statewide,Thomas Stanley Moore,R,509,2.36%
Town Council Two Year Term,statewide,Joseph Merritt,R,898,4.16%
Town Council Two Year Term,statewide,Quentin Johnson,R,543,2.51%
Town Council Two Year Term,statewide,C. Francis Politis,R,744,3.44%
Town Council Two Year Term,statewide,Seth M. Pitts,R,554,2.56%
Town Council,statewide,Matthew Kyer,D,2097,10.89%
Town Council,statewide,Jonathan B Hand,D,2083,10.82%
Town Council,statewide,Robyn Elise Gallagher,D,1940,10.07%
Town Council,statewide,Marty Milkovic,D,1928,10.01%
Town Council,statewide,Lisa D Thomas,D,2135,11.09%
Town Council,statewide,Carol Chipkin,R,1747,9.07%
Town Council,statewide,Matthew O'Brien Jr,R,1754,9.11%
Town Council,statewide,Julie Blanchard,R,1984,10.30%
Town Council,statewide,John French,R,1859,9.65%
Town Council,statewide,Matthew O'Brien Sr,R,1731,8.99%
Town Council,statewide,James Pete Brown,D,1609,9.64%
Town Council,statewide,Barbara Moore,D,1539,9.22%
Town Council,statewide,Dean Markham,D,1552,9.30%
Town Council,statewide,Kevin Reich,D,1639,9.82%
Town Council,statewide,Derek Johnson,D,1433,8.59%
Town Council,statewide,Mark Philhower,R,1823,10.93%
Town Council,statewide,Brandon Goff,R,1784,10.69%
Town Council,statewide,Eric Peterson,R,1764,10.57%
Town Council,statewide,Tim Feegel,R,1817,10.89%
Town Council,statewide,Alison Walck,R,1724,10.33%
Town Council,statewide,Jacob McChesney,D,4903,7.49%
Town Council,statewide,Thomas Gullotta,D,5737,8.77%
Town Council,statewide,Jennifer Wang,D,5479,8.38%
Town Council,statewide,Larry Niland,D,5493,8.40%
Town Council,statewide,Deborah A. Carroll,D,5659,8.65%
Town Council,statewide,Mary LaChance,D,5626,8.60%
Town Council,statewide,Lillian Tanski,R,4674,7.14%
Town Council,statewide,Whit Osgood,R,5144,7.86%
Town Council,statewide,Kurt P. Cavanaugh,R,5428,8.30%
Town Council,statewide,Rachna Khanna,R,4715,7.21%
Town Council,statewide,John Cavanna,R,5126,7.84%
Town Council,statewide,Chris Haaf,R,4522,6.91%
Town Council,statewide,"Stewart Chip Beckett, III",PC,2911,4.45%
Board of Education,statewide,Lacey Luneau,D,1069,13.09%
Board of Education,statewide,Jennifer C. Horner,D,1074,13.15%
Board of Education,statewide,Susan Lannon,D,1098,13.44%
Board of Education,statewide,Janice Joly,R,1512,18.51%
Board of Education,statewide,Kelly Martin,R,1586,19.42%
Board of Education,statewide,Kyle Napierata,R,1547,18.94%
Board of Education,statewide,Brandon Cooper Gaudreau,PC,282,3.45%
Mayor,statewide,Caroline Simmons,IND,680,2.30%
Mayor,statewide,Caroline Simmons,D,14885,50.24%
Mayor,statewide,Bobby Valentine,PC,14060,47.46%
Mayor,statewide,Jesse Schoolnik,D,1952,36.60%
Mayor,statewide,Daniel A. Champagne,R,3381,63.40%
Board of Selectmen,statewide,Tiffany V. Thiele,D,1259,40.76%
Board of Selectmen,statewide,Daniel E. Larson,R,1830,59.24%
Mayor,statewide,"Robert ""Bobby"" Sanchez",WF,150,1.61%
Mayor,statewide,"Robert ""Bobby"" Sanchez",D,3314,35.51%
Mayor,statewide,Erin E. Stewart,R,5854,62.72%
Mayor,statewide,Alfred P. Mayo,PC,15,0.16%
Selectman,statewide,Dexter Kinsella,D,630,49.80%
Selectman,statewide,Mark Harris,R,635,50.20%
Selectman,statewide,George W. Hale III,D,1233,49.66%
Selectman,statewide,Karen E. Reddington-Hughes,R,1250,50.34%
Selectman,statewide,Joe Pinto,D,292,44.51%
Selectman,statewide,Kenneth P. Fortier,R,364,55.49%
Selectman,statewide,Gregory Sottile,D,159,24.16%
Selectman,statewide,Scott M. Levan,R,499,75.84%
Selectman,statewide,Christian E. Williams,D,799,65.28%
Selectman,statewide,Don Mayland,R,425,34.72%
Selectman,statewide,June D. Strunk,D,2467,60.70%
Selectman,statewide,Deborah Motycka Downie,R,1597,39.30%
Selectman,statewide,Charlene O. Janecek,D,649,73.25%
Selectman,statewide,Tommy Englert,R,237,26.75%
Selectman,statewide,Raymond Butkus,D,470,45.68%
Selectman,statewide,George J. Rehkamp,R,559,54.32%
Selectman,statewide,Natalie Welsh,D,873,46.31%
Selectman,statewide,Steven Hall,R,1012,53.69%
Selectmen,statewide,Aliza Boritz,D,790,52.28%
Selectmen,statewide,Jim Bulick,R,721,47.72%
Board of Selectmen,statewide,Joe Voccio,D,727,42.89%
Board of Selectmen,statewide,"Lou ""Butch"" Brodeur",R,968,57.11%
Board of Finance,statewide,Carl Gisnarian,D,2966,14.42%
Board of Finance,statewide,Houston Putnam Lowry,D,2960,14.39%
Board of Finance,statewide,Charles Harvell,D,2990,14.54%
Board of Finance,statewide,Ken Birk,R,2894,14.07%
Board of Finance,statewide,David Cavanaugh,R,2904,14.12%
Board of Finance,statewide,Margaret Bratton,R,2958,14.38%
Board of Finance,statewide,Brian R Loveless,R,2898,14.09%
Selectman,statewide,David R Barger,D,184,68.15%
Selectman,statewide,Greg D Marlowe,R,86,31.85%
Selectman,statewide,Scott P Gardiner,D,986,35.84%
Selectman,statewide,Arthur W Gagne,R,1765,64.16%
Selectman,statewide,Matthew-Alan Herman,D,886,37.93%
Selectman,statewide,Susanne L. Witkowski,R,1450,62.07%
Selectmen,statewide,Carol L Bufithis,D,577,40.41%
Selectmen,statewide,Robert C Yamartino,R,851,59.59%
Selectman,statewide,Glenn Sanchez,D,755,100.00%
Selectmen,statewide,Mitchell R. Goldblatt,D,2416,16.41%
Selectmen,statewide,Rosanna Cappetta,D,1867,12.68%
Selectmen,statewide,Charles Flynn,D,1857,12.61%
Selectmen,statewide,Judy Wright Williams,R,2866,19.47%
Selectmen,statewide,Ralph G. Okenquist,R,2830,19.22%
Selectmen,statewide,John Carangelo,R,2887,19.61%
Selectman,statewide,Jonathan Lane,D,301,31.19%
Selectman,statewide,Mark Weeks,R,664,68.81%
Selectmen,statewide,Patrick McCarthy,D,452,52.80%
Selectmen,statewide,Ellsworth Chase,R,404,47.20%
Town Clerk,statewide,Karimah Mickens,D,7620,95.45%
Town Clerk,statewide,Melinda LaVelle Saller,WI,363,4.55%
Board of Finance,statewide,George Michna,D,649,27.70%
Board of Finance,statewide,Nichole DeSousa,D,732,31.24%
Board of Finance,statewide,Tom Talamini,R,962,41.06%
Board of Education,statewide,Brent T Davenport,D,1658,15.70%
Board of Education,statewide,Becky Tyrrell,D,1720,16.28%
Board of Education,statewide,Dayna R Snell,D,1589,15.04%
Board of Education,statewide,Lori Consalvo,R,1852,17.53%
Board of Education,statewide,Rachel Buchanan,R,1893,17.92%
Board of Education,statewide,Cassandra Clark,R,1851,17.52%
Board of Assessment Appeals,statewide,Nancy Grandelski,D,1016,36.34%
Board of Assessment Appeals,statewide,Kevin Gaudreau,R,1780,63.66%
Councilman At Large,statewide,Peter A. Gianesini Sr.,D,502,6.26%
Councilman At Large,statewide,Jerry A. Fedorovich,D,495,6.18%
Councilman At Large,statewide,Brett Festa,D,535,6.67%
Councilman At Large,statewide,Lynn Rugh,D,482,6.01%
Councilman At Large,statewide,Susan Boilard,D,536,6.69%
Councilman At Large,statewide,Dan Gentile,R,1130,14.10%
Councilman At Large,statewide,Ron Tiscia,R,1006,12.55%
Councilman At Large,statewide,Roxanne McCann,R,1098,13.70%
Councilman At Large,statewide,Joe Green,R,1124,14.02%
Councilman At Large,statewide,Nate Brown,R,1108,13.82%
Selectman,statewide,John Tillinghast,D,392,33.65%
Selectman,statewide,Bob Grindle,D,486,41.72%
Selectman,statewide,Jessie Loew Samios,R,287,24.64%
Councilor Area 1,statewide,Nolberto Gonzalez,WE,22,2.28%
Councilor Area 1,statewide,Richard  Cordero,IND,52,5.39%
Councilor Area 1,statewide,Richard Cordero,LI,23,2.39%
Councilor Area 1,statewide,Yvette Cortez,D,561,58.20%
Councilor Area 1,statewide,Nolberto Gonzalez,R,306,31.74%
Selectman,statewide,Laura Garay,D,767,38.14%
Selectman,statewide,Alesia Kennerson,R,1244,61.86%
Board of Finance To Fill Vacancy for Four-Years,statewide,Eileen Buckheit,D,865,27.37%
Board of Finance To Fill Vacancy for Four-Years,statewide,Robert S. Guynn,R,1084,34.30%
Board of Finance To Fill Vacancy for Four-Years,statewide,Chuck Stengel,R,1211,38.32%
Selectman,statewide,Sally King,D,1303,22.04%
Selectman,statewide,Frederick Moffa,D,1340,22.67%
Selectman,statewide,Mark Neumann,R,1662,28.11%
Selectman,statewide,Kelly O. Rome,R,1607,27.18%
