office,town,candidate,party,votes,vote_percent
Mayor,statewide,Joseph L. DiMartino,D,1382,49.15%
Mayor,statewide,Richard Dziekan,R,1430,50.85%
First Selectman,statewide,Lambros Lambrinides,AIP,11,0.30%
First Selectman,statewide,Ryan J. Curley,BTB,27,0.73%
First Selectman,statewide,James K. Tripp,D,1545,41.84%
First Selectman,statewide,Ryan J. Curley,R,2110,57.14%
First Selectman,statewide,Peter Kujawski,D,586,46.69%
First Selectman,statewide,Todd Carusillo,R,669,53.31%
First Selectman,statewide,Barbara K Perkinson,R,1479,100.00%
First Selectman,statewide,Bob Carlson,R,1253,100.00%
First Selectman,statewide,Andrew Daniels,D,263,39.67%
First Selectman,statewide,Juan Roman III,R,400,60.33%
First Selectman,statewide,Magi Winslow,D,522,79.82%
First Selectman,statewide,"Peter Sevetz, Jr.",R,132,20.18%
First Selectman,statewide,Hugh E. McKenney,D,619,44.34%
First Selectman,statewide,Ed Chmielewski,R,777,55.66%
First Selectman,statewide,Curtis Rand,D,854,100.00%
First Selectman,statewide,Danielle A. Chesebrough,D,2545,64.87%
First Selectman,statewide,Danielle A. Chesebrough,R,1378,35.13%
First Selectman,statewide,Lauren S. Gister,D,682,85.46%
First Selectman,statewide,Joe Cohen,WI,116,14.54%
First Selectman,statewide,Richard Mastroianni,D,352,34.61%
First Selectman,statewide,Stephen F. Sordi,R,665,65.39%
First Selectman,statewide,Joe Doering,D,905,47.66%
First Selectman,statewide,Eden Wimpfheimer,R,994,52.34%
First Selectman,statewide,Erika G. Wiecenski,D,820,53.59%
First Selectman,statewide,Matt Clark,R,710,46.41%
"Town Council, Chair",statewide,Dave Wlodkowski,D,3306,47.53%
"Town Council, Chair",statewide,CJ Thomas,R,3650,52.47%
First Selectman,statewide,Richard Ives,D,726,42.61%
First Selectman,statewide,Austin Tanner,R,978,57.39%
Town Council,statewide,Daniel Polhamus,D,3052,12.73%
Town Council,statewide,Barbara Ausiello,D,3099,12.93%
Town Council,statewide,Jason Indomenico,D,3069,12.80%
Town Council,statewide,Anthony Weber,D,3073,12.82%
Town Council,statewide,Heather Maguire,R,3147,13.13%
Town Council,statewide,James Speich,R,2891,12.06%
Town Council,statewide,Jeff Bernetich,R,2838,11.84%
Town Council,statewide,James Beaudoin,R,2800,11.68%
First Selectman,statewide,Henry W Todd,D,144,64.29%
First Selectman,statewide,Henry W Todd,R,80,35.71%
FIRST SELECTMAN,statewide,Tom Brockett,D,3165,39.04%
FIRST SELECTMAN,statewide,James B. Cosgrove,R,4942,60.96%
First Selectman,statewide,Daniel Reale,LI,71,2.55%
First Selectman,statewide,Mary Ann Chinatti,D,804,28.88%
First Selectman,statewide,Kevin M Cunningham,R,1909,68.57%
First Selectman,statewide,Ken Beausoleil,D,926,39.10%
First Selectman,statewide,Amy St. Onge,R,1442,60.90%
First Selectman,statewide,Steven M Everett,R,1082,100.00%
First Selectman,statewide,Mary E Johnson,D,476,32.74%
First Selectman,statewide,Edward P Bailey,R,978,67.26%
First Selectman,statewide,Jean Speck,D,469,41.80%
First Selectman,statewide,Edward Matson,R,202,18.00%
First Selectman,statewide,Rufus P DeRham,PC,404,36.01%
First Selectman,statewide,James E Rundall,PC,47,4.19%
First Selectman,statewide,Connor Deane,D,2003,39.73%
First Selectman,statewide,James Zeoli,R,3039,60.27%
First Selectman,statewide,Ray Shinkiewicz,D,293,30.14%
First Selectman,statewide,Christopher Lippke,R,679,69.86%
First Selectman,statewide,Maureen Nicholson,D,609,100.00%
First Selectman,statewide,Brent M. Colley,R,331,100.00%
First Selectman,statewide,Matthew T. Hoey III,D,7376,100.00%
Mayor,statewide,Lauren Garrett,D,6653,53.93%
