office,town,candidate,party,votes,vote_percent
State Senator 21,statewide,"Anthony ""Tony"" Afriyie",D,5950,46.52%
State Senator 21,statewide,Jason Perillo,R,6839,53.47%
State Senator 21,statewide,Matthew Hallock,WI,0,0.00%
State Senator 21,statewide,Dawson Shyne-Appignani,WI,1,0.01%
State Senator 21,Monroe,"Anthony ""Tony"" Afriyie",D,694,49.22%
State Senator 21,Monroe,Jason Perillo,R,716,50.78%
State Senator 21,Monroe,Matthew Hallock,WI,0,0.00%
State Senator 21,Monroe,Dawson Shyne-Appignani,WI,0,0.00%
State Senator 21,Seymour,"Anthony ""Tony"" Afriyie",D,175,35.35%
State Senator 21,Seymour,Jason Perillo,R,320,64.65%
State Senator 21,Seymour,Matthew Hallock,WI,0,0.00%
State Senator 21,Seymour,Dawson Shyne-Appignani,WI,0,0.00%
State Senator 21,Shelton,"Anthony ""Tony"" Afriyie",D,1907,35.17%
State Senator 21,Shelton,Jason Perillo,R,3515,64.82%
State Senator 21,Shelton,Matthew Hallock,WI,0,0.00%
State Senator 21,Shelton,Dawson Shyne-Appignani,WI,1,0.02%
State Senator 21,Stratford,"Anthony ""Tony"" Afriyie",D,3174,58.11%
State Senator 21,Stratford,Jason Perillo,R,2288,41.89%
State Senator 21,Stratford,Matthew Hallock,WI,0,0.00%
State Senator 21,Stratford,Dawson Shyne-Appignani,WI,0,0.00%
