office,town,candidate,party,votes,vote_percent
State Senator 2,statewide,Douglas McCrory,D,0,0.00%
State Senator 2,statewide,Shellye Davis,D,0,0.00%
State Senator 2,statewide,Ayana Taylor,D,0,0.00%
State Senator 7,statewide,Cynthia Mangini,D,0,0.00%
State Senator 7,statewide,Nathan Wolliston,D,0,0.00%
State Senator 22,statewide,No Party Endorsement,D,0,0.00%
State Senator 22,statewide,Scott Burns,D,0,0.00%
State Senator 22,statewide,William A. Finch,D,0,0.00%
State Senator 22,statewide,Tyler Mack,D,0,0.00%
State Senator 22,statewide,Sujata Gadkar-Wilcox,D,0,0.00%
State Senator 23,statewide,Herron Gaston,D,0,0.00%
State Senator 23,statewide,"Ernest E. Newton, II",D,0,0.00%
State Representative 15,statewide,Jennifer A. Marshall-Nealy,D,0,0.00%
State Representative 15,statewide,Bobby Gibson,D,0,0.00%
State Representative 26,statewide,David DeFronzo,D,0,0.00%
State Representative 26,statewide,Aram Ayalon,D,0,0.00%
State Representative 58,statewide,John Santanella,D,0,0.00%
State Representative 58,statewide,David Alexander,D,0,0.00%
State Representative 88,statewide,Joshua Elliott,D,0,0.00%
State Representative 88,statewide,Dan Garrett,D,0,0.00%
State Representative 91,statewide,Jennifer Pope,D,0,0.00%
State Representative 91,statewide,Laurie Sweet,D,0,0.00%
State Representative 94,statewide,Steven B. Winter,D,0,0.00%
State Representative 94,statewide,Tarolyn Moore,D,0,0.00%
State Representative 94,statewide,Abdul Osmanu,D,0,0.00%
State Representative 110,statewide,Bob Godfrey,D,0,0.00%
State Representative 110,statewide,Melissa B. Santana,D,0,0.00%
State Representative 124,statewide,Eneida Martinez,D,0,0.00%
State Representative 124,statewide,"Andre Baker, Jr.",D,0,0.00%
State Representative 146,statewide,Eilish Collins Main,D,0,0.00%
State Representative 146,statewide,David Michel,D,0,0.00%
State Representative 148,statewide,Jonathan Jacobson,D,0,0.00%
State Representative 148,statewide,Anabel Figueroa,D,0,0.00%
Judge of Probate 28 To Fill Vacancy,statewide,Mathew Olkin,D,0,0.00%
Judge of Probate 28 To Fill Vacancy,statewide,George A. Baker,D,0,0.00%
Judge of Probate 37 To Fill Vacancy,statewide,Michael Dolan,D,0,0.00%
Judge of Probate 37 To Fill Vacancy,statewide,Karolyn Papacoda,D,0,0.00%
State Representative 140,statewide,No Party Endorsement,D,0,0.00%
State Representative 140,statewide,Carleton Giles,D,0,0.00%
State Representative 140,statewide,Travis Simms,D,0,0.00%
Judge of Probate 37 To Fill Vacancy,Bethany,Michael Dolan,D,0,0.00%
Judge of Probate 37 To Fill Vacancy,Bethany,Karolyn Papacoda,D,0,0.00%
State Senator 2,Bloomfield,Douglas McCrory,D,0,0.00%
State Senator 2,Bloomfield,Shellye Davis,D,0,0.00%
State Senator 2,Bloomfield,Ayana Taylor,D,0,0.00%
State Representative 15,Bloomfield,Jennifer A. Marshall-Nealy,D,0,0.00%
State Representative 15,Bloomfield,Bobby Gibson,D,0,0.00%
State Senator 22,Bridgeport,No Party Endorsement,D,0,0.00%
State Senator 22,Bridgeport,Scott Burns,D,0,0.00%
State Senator 22,Bridgeport,William A. Finch,D,0,0.00%
State Senator 22,Bridgeport,Tyler Mack,D,0,0.00%
State Senator 22,Bridgeport,Sujata Gadkar-Wilcox,D,0,0.00%
State Senator 23,Bridgeport,Herron Gaston,D,0,0.00%
State Senator 23,Bridgeport,"Ernest E. Newton, II",D,0,0.00%
State Representative 124,Bridgeport,Eneida Martinez,D,0,0.00%
State Representative 124,Bridgeport,"Andre Baker, Jr.",D,0,0.00%
Judge of Probate 28 To Fill Vacancy,Chaplin,Mathew Olkin,D,0,0.00%
Judge of Probate 28 To Fill Vacancy,Chaplin,George A. Baker,D,0,0.00%
Judge of Probate 28 To Fill Vacancy,Colchester,Mathew Olkin,D,0,0.00%
Judge of Probate 28 To Fill Vacancy,Colchester,George A. Baker,D,0,0.00%
State Representative 110,Danbury,Bob Godfrey,D,0,0.00%
State Representative 110,Danbury,Melissa B. Santana,D,0,0.00%
State Senator 7,East Granby,Cynthia Mangini,D,0,0.00%
State Senator 7,East Granby,Nathan Wolliston,D,0,0.00%
State Senator 7,Ellington,Cynthia Mangini,D,0,0.00%
State Senator 7,Ellington,Nathan Wolliston,D,0,0.00%
State Senator 7,Enfield,Cynthia Mangini,D,0,0.00%
State Senator 7,Enfield,Nathan Wolliston,D,0,0.00%
State Representative 58,Enfield,John Santanella,D,0,0.00%
State Representative 58,Enfield,David Alexander,D,0,0.00%
State Senator 7,Granby,Cynthia Mangini,D,0,0.00%
State Senator 7,Granby,Nathan Wolliston,D,0,0.00%
State Representative 88,Hamden,Joshua Elliott,D,0,0.00%
State Representative 88,Hamden,Dan Garrett,D,0,0.00%
State Representative 91,Hamden,Jennifer Pope,D,0,0.00%
State Representative 91,Hamden,Laurie Sweet,D,0,0.00%
State Representative 94,Hamden,Steven B. Winter,D,0,0.00%
State Representative 94,Hamden,Tarolyn Moore,D,0,0.00%
State Representative 94,Hamden,Abdul Osmanu,D,0,0.00%
Judge of Probate 37 To Fill Vacancy,Hamden,Michael Dolan,D,0,0.00%
Judge of Probate 37 To Fill Vacancy,Hamden,Karolyn Papacoda,D,0,0.00%
Judge of Probate 28 To Fill Vacancy,Hampton,Mathew Olkin,D,0,0.00%
Judge of Probate 28 To Fill Vacancy,Hampton,George A. Baker,D,0,0.00%
State Senator 2,Hartford,Douglas McCrory,D,0,0.00%
State Senator 2,Hartford,Shellye Davis,D,0,0.00%
State Senator 2,Hartford,Ayana Taylor,D,0,0.00%
Judge of Probate 28 To Fill Vacancy,Lebanon,Mathew Olkin,D,0,0.00%
Judge of Probate 28 To Fill Vacancy,Lebanon,George A. Baker,D,0,0.00%
State Senator 22,Monroe,No Party Endorsement,D,0,0.00%
State Senator 22,Monroe,Scott Burns,D,0,0.00%
State Senator 22,Monroe,William A. Finch,D,0,0.00%
State Senator 22,Monroe,Tyler Mack,D,0,0.00%
State Senator 22,Monroe,Sujata Gadkar-Wilcox,D,0,0.00%
State Representative 26,New Britain,David DeFronzo,D,0,0.00%
State Representative 26,New Britain,Aram Ayalon,D,0,0.00%
State Representative 94,New Haven,Steven B. Winter,D,0,0.00%
State Representative 94,New Haven,Tarolyn Moore,D,0,0.00%
State Representative 94,New Haven,Abdul Osmanu,D,0,0.00%
State Representative 140,Norwalk,No Party Endorsement,D,0,0.00%
State Representative 140,Norwalk,Carleton Giles,D,0,0.00%
State Representative 140,Norwalk,Travis Simms,D,0,0.00%
Judge of Probate 28 To Fill Vacancy,Scotland,Mathew Olkin,D,0,0.00%
Judge of Probate 28 To Fill Vacancy,Scotland,George A. Baker,D,0,0.00%
State Senator 7,Somers,Cynthia Mangini,D,0,0.00%
State Senator 7,Somers,Nathan Wolliston,D,0,0.00%
State Representative 146,Stamford,Eilish Collins Main,D,0,0.00%
State Representative 146,Stamford,David Michel,D,0,0.00%
State Representative 148,Stamford,Jonathan Jacobson,D,0,0.00%
State Representative 148,Stamford,Anabel Figueroa,D,0,0.00%
State Senator 23,Stratford,Herron Gaston,D,0,0.00%
State Senator 23,Stratford,"Ernest E. Newton, II",D,0,0.00%
State Senator 7,Suffield,Cynthia Mangini,D,0,0.00%
State Senator 7,Suffield,Nathan Wolliston,D,0,0.00%
State Senator 22,Trumbull,No Party Endorsement,D,0,0.00%
State Senator 22,Trumbull,Scott Burns,D,0,0.00%
State Senator 22,Trumbull,William A. Finch,D,0,0.00%
State Senator 22,Trumbull,Tyler Mack,D,0,0.00%
State Senator 22,Trumbull,Sujata Gadkar-Wilcox,D,0,0.00%
State Representative 15,West Hartford,Jennifer A. Marshall-Nealy,D,0,0.00%
State Representative 15,West Hartford,Bobby Gibson,D,0,0.00%
Judge of Probate 28 To Fill Vacancy,Windham,Mathew Olkin,D,0,0.00%
Judge of Probate 28 To Fill Vacancy,Windham,George A. Baker,D,0,0.00%
State Senator 2,Windsor,Douglas McCrory,D,0,0.00%
State Senator 2,Windsor,Shellye Davis,D,0,0.00%
State Senator 2,Windsor,Ayana Taylor,D,0,0.00%
State Senator 7,Windsor,Cynthia Mangini,D,0,0.00%
State Senator 7,Windsor,Nathan Wolliston,D,0,0.00%
