office,town,candidate,party,votes,vote_percent
State Representative to Fill a Vacancy 130th,statewide,Antonio Felipe,D,466,47.21%
State Representative to Fill a Vacancy 130th,statewide,Josh Parrow,R,39,3.95%
State Representative to Fill a Vacancy 130th,statewide,Christina M. Tita Ayala,PC,72,7.29%
State Representative to Fill a Vacancy 130th,statewide,Hector A. Diaz,PC,67,6.79%
State Representative to Fill a Vacancy 130th,statewide,Kate Rivera,PC,343,34.75%
State Representative to Fill a Vacancy 130th,Bridgeport,Antonio Felipe,D,466,47.21%
State Representative to Fill a Vacancy 130th,Bridgeport,Josh Parrow,R,39,3.95%
State Representative to Fill a Vacancy 130th,Bridgeport,Christina M. Tita Ayala,PC,72,7.29%
State Representative to Fill a Vacancy 130th,Bridgeport,Hector A. Diaz,PC,67,6.79%
State Representative to Fill a Vacancy 130th,Bridgeport,Kate Rivera,PC,343,34.75%
