office,town,candidate,party,votes,vote_percent
Alderperson Ward 4,statewide,John H. McNamara,D,194,39.19%
Alderperson Ward 4,statewide,Luz Ortiz-Luna,D,161,32.53%
Alderperson Ward 4,statewide,Neil P. Connors,D,140,28.28%
Town Council,statewide,Ola Aina,D,1097,8.10%
Town Council,statewide,Todd Cooper,D,1141,8.43%
Town Council,statewide,Darrell Goodwin,D,1172,8.66%
Town Council,statewide,Anthony (Tony) Harrington,D,1340,9.90%
Town Council,statewide,Cindi Lloyd,D,1214,8.97%
Town Council,statewide,Michael Oliver,D,1188,8.78%
Town Council,statewide,Suzette DeBeatham-Brown,D,1155,8.53%
Town Council,statewide,Rickford Kirton,D,1068,7.89%
Town Council,statewide,Stephan Richmond,D,1012,7.48%
Town Council,statewide,Mark Sanderson,D,998,7.37%
Town Council,statewide,"Sydney ""Syd"" Schulman",D,1123,8.30%
Town Council,statewide,Joseph Washington,D,1029,7.60%
Board of Representatives District 5,statewide,Nicole Beckham,D,122,44.20%
Board of Representatives District 5,statewide,Kierra Dorsey,D,103,37.32%
Board of Representatives District 5,statewide,Bonnie Kim Campbell,D,51,18.48%
Board of Alder Ward 1,statewide,Norah V. Laughter,D,165,36.03%
Board of Alder Ward 1,statewide,Rhea McTiernan Huge,D,3,0.66%
Board of Alder Ward 1,statewide,Elias A. Theodore,D,290,63.32%
Mayor,statewide,David Chess,D,1618,86.71%
Mayor,statewide,Linda Manos,D,248,13.29%
Council Members District 137,statewide,Aidee Nieves,D,0,0.00%
Council Members District 137,statewide,Maria Ines Valle,D,0,0.00%
Council Members District 137,statewide,Isaac Dickerson,D,0,0.00%
Council Members District 137,statewide,Ismael Sanchez Jr.,D,0,0.00%
Selectman,statewide,DAVID COHEN,D,767,72.02%
Selectman,statewide,SALLY BUEMI,D,298,27.98%
Mayor,statewide,Dominique Baez,D,1144,21.62%
Mayor,statewide,Peter Cyr,D,507,9.58%
Mayor,statewide,Lushonda D. Howard,D,544,10.28%
Mayor,statewide,Walter L. Morton IV,D,632,11.94%
Mayor,statewide,Adam Sendroff,D,2464,46.57%
Council,statewide,Christopher Clouet,D,601,12.55%
Council,statewide,Jefferey Hart,D,543,11.34%
Council,statewide,Efrain Dominguez Jr.,D,565,11.80%
Council,statewide,Reona Dyess,D,514,10.74%
Council,statewide,Shineika Fareus,D,770,16.08%
Council,statewide,Victoria Mueller,D,662,13.83%
Council,statewide,Akil Peck,D,536,11.19%
Council,statewide,John Satti,D,597,12.47%
First Selectman,statewide,Cynthia Lignar,D,438,80.51%
First Selectman,statewide,Joe Cohen,D,106,19.49%
Mayor,statewide,Barbara Smyth,D,1506,51.31%
Mayor,statewide,Darlene Young,D,1429,48.69%
Board of Education Four Year Term,statewide,Kim Dunbar,D,1190,26.62%
Board of Education Four Year Term,statewide,Tiffany Mack-Mohammed,D,1181,26.41%
Board of Education Four Year Term,statewide,Nicola Poplin,D,997,22.30%
Board of Education Four Year Term,statewide,Wendy Williams,D,1103,24.67%
Board of Representatives District 6,statewide,Ryan Hughes,D,149,44.35%
Board of Representatives District 6,statewide,Parker Johnson,D,130,38.69%
Board of Representatives District 6,statewide,Lindsey Miller,D,33,9.82%
Board of Representatives District 6,statewide,Denis W. Patterson,D,24,7.14%
Board of Alder Ward 3,statewide,Angel M. Hubbard,D,203,57.51%
Board of Alder Ward 3,statewide,Miguel Wright Pittman,D,150,42.49%
Town Council District 3,statewide,William M. Boyd,D,145,54.72%
Town Council District 3,statewide,Alvin L. O'Neal,D,120,45.28%
Council Members District 138,statewide,Kevin Monks,D,303,23.38%
Council Members District 138,statewide,Samia Suliman,D,314,24.23%
Council Members District 138,statewide,Keyla Medina,D,339,26.16%
Council Members District 138,statewide,Maria Pereira,D,340,26.23%
Councilmen-At-Large,statewide,Maurine Crouch,D,2608,17.56%
Councilmen-At-Large,statewide,Douglas J Foley,D,2645,17.81%
Councilmen-At-Large,statewide,Tasha Hunt,D,3117,20.98%
Councilmen-At-Large,statewide,Katie Kiely,D,3097,20.85%
Councilmen-At-Large,statewide,Delroy Crawford,D,1539,10.36%
Councilmen-At-Large,statewide,Marion Regina Mullings,D,1848,12.44%
Board of Education Two Year Term,statewide,Howard Steven Frydman,D,1158,52.21%
Board of Education Two Year Term,statewide,Mavis Anthony-Marquis,D,1060,47.79%
Board of Representatives District 8,statewide,Theodore Gross,D,85,39.17%
Board of Representatives District 8,statewide,Matthew Yeager,D,87,40.09%
Board of Representatives District 8,statewide,Anabel D. Figueroa,D,45,20.74%
Town Council District 4,statewide,Rene M. Gibson,D,86,67.19%
Town Council District 4,statewide,David Harden,D,42,32.81%
Councilman District 6,statewide,Renee Hoff,D,388,46.30%
Councilman District 6,statewide,Grace Teodosio,D,450,53.70%
Board of Representatives District 10,statewide,Felix Gardner,D,138,39.32%
Board of Representatives District 10,statewide,Stephanie Sylvestre,D,127,36.18%
Board of Representatives District 10,statewide,Brittany Lawrence,D,86,24.50%
Board of Alder Ward 18,statewide,Leland John Moore,D,295,83.81%
Board of Alder Ward 18,statewide,Zelema V. Harris,D,57,16.19%
Councilman District 7,statewide,Adrian Webber,D,324,63.65%
Councilman District 7,statewide,Kathleen Muolo,D,185,36.35%
Town Plan & Zoning Commission,statewide,Kevin Gough,D,1124,24.96%
Town Plan & Zoning Commission,statewide,Renae A. James,D,1180,26.20%
Town Plan & Zoning Commission,statewide,Maxine Martin,D,1091,24.23%
Town Plan & Zoning Commission,statewide,Troy Mitchell,D,1108,24.61%
Board of Representatives District 13,statewide,Amiel Goldberg,D,280,47.62%
Board of Representatives District 13,statewide,Eric Morson,D,284,48.30%
Board of Representatives District 13,statewide,Dave Adams,D,24,4.08%
Councilman District 8,statewide,Ted Stevens,D,299,57.95%
Councilman District 8,statewide,James Baker,D,217,42.05%
Town Plan & Zoning Commission Alternate,statewide,Roger J. O'Brien,D,1190,53.17%
Town Plan & Zoning Commission Alternate,statewide,Anthony Seay,D,1048,46.83%
Library Trustees,statewide,Sherry-Ann Chance,D,1284,35.36%
Library Trustees,statewide,Harvey Leon Frydman,D,1196,32.94%
Library Trustees,statewide,Ava Biffer,D,1151,31.70%
Board of Representatives District 17,statewide,Lewis Finkel,D,157,38.11%
Board of Representatives District 17,statewide,Bobby Pavia,D,168,40.78%
Board of Representatives District 17,statewide,Sean Boeger,D,38,9.22%
Board of Representatives District 17,statewide,Rosa Colon,D,49,11.89%
Councilman District 9,statewide,Tameeka Parks,D,220,50.23%
Councilman District 9,statewide,Barbara Walker,D,218,49.77%
Town Council,Bloomfield,Ola Aina,D,1097,8.10%
Town Council,Bloomfield,Todd Cooper,D,1141,8.43%
Town Council,Bloomfield,Darrell Goodwin,D,1172,8.66%
Town Council,Bloomfield,Anthony (Tony) Harrington,D,1340,9.90%
Town Council,Bloomfield,Cindi Lloyd,D,1214,8.97%
Town Council,Bloomfield,Michael Oliver,D,1188,8.78%
Town Council,Bloomfield,Suzette DeBeatham-Brown,D,1155,8.53%
Town Council,Bloomfield,Rickford Kirton,D,1068,7.89%
Town Council,Bloomfield,Stephan Richmond,D,1012,7.48%
Town Council,Bloomfield,Mark Sanderson,D,998,7.37%
Town Council,Bloomfield,"Sydney ""Syd"" Schulman",D,1123,8.30%
Town Council,Bloomfield,Joseph Washington,D,1029,7.60%
Board of Education Four Year Term,Bloomfield,Kim Dunbar,D,1190,26.62%
Board of Education Four Year Term,Bloomfield,Tiffany Mack-Mohammed,D,1181,26.41%
Board of Education Four Year Term,Bloomfield,Nicola Poplin,D,997,22.30%
Board of Education Four Year Term,Bloomfield,Wendy Williams,D,1103,24.67%
Board of Education Two Year Term,Bloomfield,Howard Steven Frydman,D,1158,52.21%
Board of Education Two Year Term,Bloomfield,Mavis Anthony-Marquis,D,1060,47.79%
Town Plan & Zoning Commission,Bloomfield,Kevin Gough,D,1124,24.96%
Town Plan & Zoning Commission,Bloomfield,Renae A. James,D,1180,26.20%
Town Plan & Zoning Commission,Bloomfield,Maxine Martin,D,1091,24.23%
Town Plan & Zoning Commission,Bloomfield,Troy Mitchell,D,1108,24.61%
Town Plan & Zoning Commission Alternate,Bloomfield,Roger J. O'Brien,D,1190,53.17%
Town Plan & Zoning Commission Alternate,Bloomfield,Anthony Seay,D,1048,46.83%
Library Trustees,Bloomfield,Sherry-Ann Chance,D,1284,35.36%
