office,town,candidate,party,votes,vote_percent
Library Trustees,Bloomfield,Harvey Leon Frydman,D,1196,32.94%
Library Trustees,Bloomfield,Ava Biffer,D,1151,31.70%
Council Members District 137,Bridgeport,Aidee Nieves,D,0,0.00%
Council Members District 137,Bridgeport,Maria Ines Valle,D,0,0.00%
Council Members District 137,Bridgeport,Isaac Dickerson,D,0,0.00%
Council Members District 137,Bridgeport,Ismael Sanchez Jr.,D,0,0.00%
Council Members District 138,Bridgeport,Kevin Monks,D,303,23.38%
Council Members District 138,Bridgeport,Samia Suliman,D,314,24.23%
Council Members District 138,Bridgeport,Keyla Medina,D,339,26.16%
Council Members District 138,Bridgeport,Maria Pereira,D,340,26.23%
First Selectman,Chester,Cynthia Lignar,D,438,80.51%
First Selectman,Chester,Joe Cohen,D,106,19.49%
Mayor,Hamden,Dominique Baez,D,1144,21.62%
Mayor,Hamden,Peter Cyr,D,507,9.58%
Mayor,Hamden,Lushonda D. Howard,D,544,10.28%
Mayor,Hamden,Walter L. Morton IV,D,632,11.94%
Mayor,Hamden,Adam Sendroff,D,2464,46.57%
Councilmen-At-Large,Hamden,Maurine Crouch,D,2608,17.56%
Councilmen-At-Large,Hamden,Douglas J Foley,D,2645,17.81%
Councilmen-At-Large,Hamden,Tasha Hunt,D,3117,20.98%
Councilmen-At-Large,Hamden,Katie Kiely,D,3097,20.85%
Councilmen-At-Large,Hamden,Delroy Crawford,D,1539,10.36%
Councilmen-At-Large,Hamden,Marion Regina Mullings,D,1848,12.44%
Councilman District 6,Hamden,Renee Hoff,D,388,46.30%
Councilman District 6,Hamden,Grace Teodosio,D,450,53.70%
Councilman District 7,Hamden,Adrian Webber,D,324,63.65%
Councilman District 7,Hamden,Kathleen Muolo,D,185,36.35%
Councilman District 8,Hamden,Ted Stevens,D,299,57.95%
Councilman District 8,Hamden,James Baker,D,217,42.05%
Councilman District 9,Hamden,Tameeka Parks,D,220,50.23%
Councilman District 9,Hamden,Barbara Walker,D,218,49.77%
Alderperson Ward 4,New Britain,John H. McNamara,D,194,39.19%
Alderperson Ward 4,New Britain,Luz Ortiz-Luna,D,161,32.53%
Alderperson Ward 4,New Britain,Neil P. Connors,D,140,28.28%
Board of Alder Ward 1,New Haven,Norah V. Laughter,D,165,36.03%
Board of Alder Ward 1,New Haven,Rhea McTiernan Huge,D,3,0.66%
Board of Alder Ward 1,New Haven,Elias A. Theodore,D,290,63.32%
Board of Alder Ward 3,New Haven,Angel M. Hubbard,D,203,57.51%
Board of Alder Ward 3,New Haven,Miguel Wright Pittman,D,150,42.49%
Board of Alder Ward 18,New Haven,Leland John Moore,D,295,83.81%
Board of Alder Ward 18,New Haven,Zelema V. Harris,D,57,16.19%
Council,New London,Christopher Clouet,D,601,12.55%
Council,New London,Jefferey Hart,D,543,11.34%
Council,New London,Efrain Dominguez Jr.,D,565,11.80%
Council,New London,Reona Dyess,D,514,10.74%
Council,New London,Shineika Fareus,D,770,16.08%
Council,New London,Victoria Mueller,D,662,13.83%
Council,New London,Akil Peck,D,536,11.19%
Council,New London,John Satti,D,597,12.47%
Selectman,North Haven,DAVID COHEN,D,767,72.02%
Selectman,North Haven,SALLY BUEMI,D,298,27.98%
Mayor,Norwalk,Barbara Smyth,D,1506,51.31%
Mayor,Norwalk,Darlene Young,D,1429,48.69%
Board of Representatives District 5,Stamford,Nicole Beckham,D,122,44.20%
Board of Representatives District 5,Stamford,Kierra Dorsey,D,103,37.32%
Board of Representatives District 5,Stamford,Bonnie Kim Campbell,D,51,18.48%
Board of Representatives District 6,Stamford,Ryan Hughes,D,149,44.35%
Board of Representatives District 6,Stamford,Parker Johnson,D,130,38.69%
Board of Representatives District 6,Stamford,Lindsey Miller,D,33,9.82%
Board of Representatives District 6,Stamford,Denis W. Patterson,D,24,7.14%
Board of Representatives District 8,Stamford,Theodore Gross,D,85,39.17%
Board of Representatives District 8,Stamford,Matthew Yeager,D,87,40.09%
Board of Representatives District 8,Stamford,Anabel D. Figueroa,D,45,20.74%
Board of Representatives District 10,Stamford,Felix Gardner,D,138,39.32%
Board of Representatives District 10,Stamford,Stephanie Sylvestre,D,127,36.18%
Board of Representatives District 10,Stamford,Brittany Lawrence,D,86,24.50%
Board of Representatives District 13,Stamford,Amiel Goldberg,D,280,47.62%
Board of Representatives District 13,Stamford,Eric Morson,D,284,48.30%
Board of Representatives District 13,Stamford,Dave Adams,D,24,4.08%
Board of Representatives District 17,Stamford,Lewis Finkel,D,157,38.11%
Board of Representatives District 17,Stamford,Bobby Pavia,D,168,40.78%
Board of Representatives District 17,Stamford,Sean Boeger,D,38,9.22%
Board of Representatives District 17,Stamford,Rosa Colon,D,49,11.89%
Mayor,Stratford,David Chess,D,1618,86.71%
Mayor,Stratford,Linda Manos,D,248,13.29%
Town Council District 3,Stratford,William M. Boyd,D,145,54.72%
Town Council District 3,Stratford,Alvin L. O'Neal,D,120,45.28%
Town Council District 4,Stratford,Rene M. Gibson,D,86,67.19%
Town Council District 4,Stratford,David Harden,D,42,32.81%
